,ENSG00000200648.1,ENSG00000206869.1,>ENST00000434580.1,>ENST00000508378.1,>ENST00000483806.1,>ENST00000559765.1,ENSG00000216056.1,>ENST00000423852.4,>ENST00000434110.1,>ENST00000634759.1
ENSG00000200648.1,0.0,7.0,10.0,8.0,8.0,9.0,6.0,9.0,10.0,9.0
ENSG00000206869.1,7.0,0.0,8.0,7.0,7.0,8.0,6.0,11.0,10.0,11.0
>ENST00000434580.1,10.0,8.0,0.0,10.0,10.0,10.0,8.0,11.0,9.0,10.0
>ENST00000508378.1,8.0,7.0,10.0,0.0,10.0,8.0,6.0,12.0,11.0,8.0
>ENST00000483806.1,8.0,7.0,10.0,10.0,0.0,9.0,8.0,13.0,11.0,10.0
>ENST00000559765.1,9.0,8.0,10.0,8.0,9.0,0.0,8.0,12.0,13.0,10.0
ENSG00000216056.1,6.0,6.0,8.0,6.0,8.0,8.0,0.0,8.0,9.0,8.0
>ENST00000423852.4,9.0,11.0,11.0,12.0,13.0,12.0,8.0,0.0,10.0,10.0
>ENST00000434110.1,10.0,10.0,9.0,11.0,11.0,13.0,9.0,10.0,0.0,10.0
>ENST00000634759.1,9.0,11.0,10.0,8.0,10.0,10.0,8.0,10.0,10.0,0.0
