,>ENST00000530883.1,>ENST00000512569.1,>ENST00000525705.1,>ENST00000402742.1,>ENST00000461163.2,>ENST00000514397.1,>ENST00000454088.2,ENSG00000200665.1,>ENST00000560685.1,>ENST00000455103.1,ENSG00000239195.1,>ENST00000414578.1,ENSG00000278435.1,>ENST00000474389.1,>ENST00000532901.1,>ENST00000569060.1,>ENST00000518368.1,>ENST00000406313.1,>ENST00000510247.1,>ENST00000421372.1,>ENST00000404904.1,>ENST00000573767.1,>ENST00000604640.1,>ENST00000509863.1,>ENST00000515470.1,>ENST00000442875.1,>ENST00000559812.1,>ENST00000451950.2,>ENST00000415505.1,>ENST00000619668.1,>ENST00000323387.5,>ENST00000458433.1,>ENST00000454851.1,>ENST00000494644.1,>ENST00000407538.2,>ENST00000452925.1,>ENST00000457562.1,>ENST00000523141.1,>ENST00000432430.2,>ENST00000416729.2,>ENST00000531260.1,>ENST00000486088.1,>ENST00000572774.1
>ENST00000530883.1,0.0,8.0,10.0,10.0,8.0,9.0,10.0,8.0,10.0,10.0,9.0,8.0,8.0,11.0,9.0,14.0,10.0,11.0,8.0,10.0,10.0,9.0,11.0,13.0,8.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,12.0,11.0,8.0,10.0,10.0,10.0,11.0
>ENST00000512569.1,8.0,0.0,9.0,15.0,8.0,7.0,10.0,7.0,9.0,9.0,6.0,8.0,8.0,9.0,11.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,8.0,11.0,9.0,8.0,10.0,12.0,11.0,10.0
>ENST00000525705.1,10.0,9.0,0.0,13.0,9.0,9.0,9.0,8.0,10.0,12.0,9.0,11.0,9.0,11.0,11.0,8.0,10.0,10.0,8.0,11.0,10.0,11.0,10.0,9.0,9.0,13.0,9.0,10.0,12.0,8.0,14.0,9.0,10.0,10.0,9.0,11.0,12.0,10.0,8.0,11.0,11.0,8.0,11.0
>ENST00000402742.1,10.0,15.0,13.0,0.0,10.0,9.0,11.0,8.0,12.0,10.0,11.0,12.0,8.0,11.0,9.0,9.0,11.0,13.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,11.0,8.0,11.0,12.0,9.0,11.0,12.0,11.0,12.0,9.0,13.0,10.0,10.0,10.0,9.0
>ENST00000461163.2,8.0,8.0,9.0,10.0,0.0,6.0,10.0,8.0,14.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,12.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,13.0,10.0,8.0,8.0
>ENST00000514397.1,9.0,7.0,9.0,9.0,6.0,0.0,9.0,7.0,9.0,38.0,7.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,7.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,7.0,9.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,10.0,8.0,7.0,9.0,10.0,9.0,8.0
>ENST00000454088.2,10.0,10.0,9.0,11.0,10.0,9.0,0.0,8.0,12.0,10.0,11.0,11.0,10.0,11.0,11.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,10.0,12.0,10.0,9.0,9.0,11.0,10.0,9.0,12.0,10.0,13.0,13.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,9.0,11.0
ENSG00000200665.1,8.0,7.0,8.0,8.0,8.0,7.0,8.0,0.0,8.0,7.0,6.0,9.0,6.0,10.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,9.0,9.0,7.0,6.0,7.0,7.0,8.0,8.0,8.0,11.0,10.0,8.0,7.0,8.0,9.0,10.0,10.0,10.0,7.0,14.0,6.0,7.0
>ENST00000560685.1,10.0,9.0,10.0,12.0,14.0,9.0,12.0,8.0,0.0,9.0,11.0,10.0,10.0,11.0,10.0,9.0,12.0,10.0,9.0,8.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,12.0,10.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,12.0,12.0,9.0
>ENST00000455103.1,10.0,9.0,12.0,10.0,7.0,38.0,10.0,7.0,9.0,0.0,8.0,10.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,13.0,10.0,9.0,9.0,8.0,10.0,10.0,8.0,13.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,8.0,8.0
ENSG00000239195.1,9.0,6.0,9.0,11.0,7.0,7.0,11.0,6.0,11.0,8.0,0.0,6.0,6.0,8.0,9.0,7.0,9.0,8.0,5.0,7.0,8.0,8.0,6.0,7.0,6.0,7.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,6.0,7.0,10.0,10.0,8.0
>ENST00000414578.1,8.0,8.0,11.0,12.0,7.0,8.0,11.0,9.0,10.0,10.0,6.0,0.0,6.0,10.0,8.0,6.0,9.0,8.0,8.0,7.0,8.0,7.0,8.0,10.0,8.0,8.0,7.0,8.0,11.0,7.0,11.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0
ENSG00000278435.1,8.0,8.0,9.0,8.0,9.0,7.0,10.0,6.0,10.0,9.0,6.0,6.0,0.0,10.0,9.0,6.0,8.0,7.0,6.0,8.0,8.0,8.0,9.0,7.0,9.0,6.0,9.0,8.0,8.0,6.0,9.0,7.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,8.0,9.0,8.0
>ENST00000474389.1,11.0,9.0,11.0,11.0,9.0,9.0,11.0,10.0,11.0,11.0,8.0,10.0,10.0,0.0,13.0,9.0,12.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,9.0,11.0,11.0,13.0,13.0,10.0,10.0,12.0,11.0,11.0,12.0,11.0,10.0,10.0,11.0,9.0,11.0
>ENST00000532901.1,9.0,11.0,11.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,8.0,9.0,13.0,0.0,12.0,9.0,15.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,9.0,9.0,12.0,11.0,10.0,9.0
