,>ENST00000366454.2,>ENST00000620690.1,>ENST00000468470.1,>ENST00000532209.1,>ENST00000566500.1,>ENST00000415916.1,>ENST00000544433.1,>ENST00000497656.2,>ENST00000582878.1,>ENST00000436649.1,>ENST00000441642.1,>ENST00000332359.5,>ENST00000462398.1,>ENST00000478598.1,>ENST00000526762.1,>ENST00000447547.1,ENSG00000252870.1,>ENST00000431358.2,>ENST00000458096.1,>ENST00000522107.1,>ENST00000412845.1,>ENST00000528866.1,>ENST00000433775.2,ENSG00000172150.4,>ENST00000422618.6,>ENST00000443768.1
>ENST00000366454.2,0.0,10.0,8.0,7.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,14.0,9.0,7.0,9.0,10.0,7.0,11.0,10.0,12.0,10.0,8.0,9.0,9.0,7.0,10.0
>ENST00000620690.1,10.0,0.0,9.0,9.0,8.0,8.0,11.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,11.0,7.0,9.0,12.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0
>ENST00000468470.1,8.0,9.0,0.0,10.0,10.0,8.0,9.0,12.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,7.0,10.0,11.0,8.0,10.0
>ENST00000532209.1,7.0,9.0,10.0,0.0,8.0,6.0,8.0,8.0,9.0,7.0,8.0,8.0,8.0,9.0,7.0,9.0,6.0,8.0,8.0,7.0,13.0,7.0,7.0,8.0,6.0,8.0
>ENST00000566500.1,10.0,8.0,10.0,8.0,0.0,11.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,11.0,11.0,9.0,11.0,7.0,10.0,10.0,9.0,12.0
>ENST00000415916.1,9.0,8.0,8.0,6.0,11.0,0.0,8.0,7.0,9.0,9.0,11.0,11.0,10.0,7.0,9.0,8.0,7.0,9.0,9.0,7.0,10.0,6.0,9.0,8.0,7.0,10.0
>ENST00000544433.1,10.0,11.0,9.0,8.0,9.0,8.0,0.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,10.0,10.0,10.0,11.0,8.0,8.0,9.0,8.0,10.0
>ENST00000497656.2,10.0,9.0,12.0,8.0,8.0,7.0,9.0,0.0,9.0,8.0,9.0,9.0,8.0,13.0,8.0,9.0,7.0,11.0,9.0,8.0,11.0,6.0,11.0,10.0,7.0,9.0
>ENST00000582878.1,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,0.0,9.0,8.0,11.0,8.0,8.0,11.0,10.0,8.0,10.0,10.0,9.0,9.0,7.0,10.0,10.0,8.0,11.0
>ENST00000436649.1,9.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,0.0,10.0,10.0,10.0,8.0,11.0,13.0,12.0,9.0,8.0,13.0,13.0,7.0,9.0,9.0,9.0,9.0
>ENST00000441642.1,9.0,9.0,9.0,8.0,10.0,11.0,9.0,9.0,8.0,10.0,0.0,10.0,11.0,12.0,8.0,9.0,7.0,184.0,9.0,10.0,12.0,6.0,10.0,9.0,9.0,10.0
>ENST00000332359.5,14.0,9.0,11.0,8.0,10.0,11.0,10.0,9.0,11.0,10.0,10.0,0.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,12.0,9.0,10.0,10.0,10.0,11.0
>ENST00000462398.1,9.0,9.0,10.0,8.0,10.0,10.0,10.0,8.0,8.0,10.0,11.0,9.0,0.0,9.0,9.0,9.0,11.0,10.0,11.0,8.0,9.0,7.0,9.0,9.0,8.0,10.0
>ENST00000478598.1,7.0,8.0,9.0,9.0,9.0,7.0,10.0,13.0,8.0,8.0,12.0,9.0,9.0,0.0,11.0,11.0,7.0,10.0,9.0,9.0,12.0,6.0,9.0,9.0,8.0,10.0
>ENST00000526762.1,9.0,9.0,10.0,7.0,9.0,9.0,8.0,8.0,11.0,11.0,8.0,10.0,9.0,11.0,0.0,8.0,8.0,10.0,10.0,8.0,11.0,6.0,8.0,8.0,8.0,10.0
>ENST00000447547.1,10.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,13.0,9.0,12.0,9.0,11.0,8.0,0.0,10.0,10.0,10.0,9.0,12.0,8.0,9.0,11.0,10.0,9.0
ENSG00000252870.1,7.0,7.0,9.0,6.0,8.0,7.0,9.0,7.0,8.0,12.0,7.0,9.0,11.0,7.0,8.0,10.0,0.0,7.0,9.0,8.0,10.0,7.0,8.0,9.0,7.0,10.0
>ENST00000431358.2,11.0,9.0,9.0,8.0,11.0,9.0,10.0,11.0,10.0,9.0,184.0,10.0,10.0,10.0,10.0,10.0,7.0,0.0,10.0,9.0,12.0,8.0,10.0,10.0,10.0,11.0
>ENST00000458096.1,10.0,12.0,9.0,8.0,11.0,9.0,10.0,9.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,10.0,0.0,8.0,11.0,7.0,10.0,9.0,9.0,11.0
>ENST00000522107.1,12.0,9.0,9.0,7.0,9.0,7.0,10.0,8.0,9.0,13.0,10.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,0.0,10.0,7.0,9.0,10.0,8.0,10.0
>ENST00000412845.1,10.0,9.0,10.0,13.0,11.0,10.0,11.0,11.0,9.0,13.0,12.0,12.0,9.0,12.0,11.0,12.0,10.0,12.0,11.0,10.0,0.0,8.0,10.0,11.0,10.0,11.0
>ENST00000528866.1,8.0,7.0,7.0,7.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,9.0,7.0,6.0,6.0,8.0,7.0,8.0,7.0,7.0,8.0,0.0,6.0,7.0,7.0,7.0
>ENST00000433775.2,9.0,10.0,10.0,7.0,10.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,6.0,0.0,10.0,8.0,10.0
ENSG00000172150.4,9.0,9.0,11.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,9.0,10.0,11.0,7.0,10.0,0.0,11.0,9.0
>ENST00000422618.6,7.0,8.0,8.0,6.0,9.0,7.0,8.0,7.0,8.0,9.0,9.0,10.0,8.0,8.0,8.0,10.0,7.0,10.0,9.0,8.0,10.0,7.0,8.0,11.0,0.0,10.0
>ENST00000443768.1,10.0,10.0,10.0,8.0,12.0,10.0,10.0,9.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,11.0,7.0,10.0,9.0,10.0,0.0
