,>ENST00000521506.1,>ENST00000519770.1,>ENST00000450970.1,ENSG00000275127.1,>ENST00000583271.5,>ENST00000481968.1
>ENST00000521506.1,0.0,8.0,9.0,9.0,10.0,8.0
>ENST00000519770.1,8.0,0.0,9.0,7.0,12.0,11.0
>ENST00000450970.1,9.0,9.0,0.0,7.0,11.0,11.0
ENSG00000275127.1,9.0,7.0,7.0,0.0,8.0,6.0
>ENST00000583271.5,10.0,12.0,11.0,8.0,0.0,10.0
>ENST00000481968.1,8.0,11.0,11.0,6.0,10.0,0.0
