,ENSG00000201545.1,>ENST00000613775.1,>ENST00000313754.4,>ENST00000529536.1,>ENST00000430550.1,>ENST00000547384.1,>ENST00000424783.1,>ENST00000456388.1,>ENST00000531301.1,>ENST00000407696.2,>ENST00000612686.1,>ENST00000560455.2,>ENST00000520293.2,>ENST00000473537.1,>ENST00000448683.1,>ENST00000623131.1,>ENST00000428070.1,>ENST00000522979.2,>ENST00000575193.1,>ENST00000604771.1,>ENST00000419201.1,>ENST00000415117.1,>ENST00000434461.1,>ENST00000515450.1,>ENST00000596753.1,>ENST00000522218.1,>ENST00000397729.2,>ENST00000407496.2,>ENST00000582245.1,>ENST00000414742.1,>ENST00000452091.1,>ENST00000541449.1,>ENST00000419980.1,>ENST00000445194.2,>ENST00000590142.1
ENSG00000201545.1,0.0,7.0,8.0,6.0,6.0,8.0,8.0,6.0,9.0,7.0,7.0,6.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,9.0,9.0,8.0,10.0,6.0,7.0,9.0,7.0,6.0,9.0,9.0,8.0,9.0,9.0
>ENST00000613775.1,7.0,0.0,8.0,7.0,8.0,7.0,8.0,8.0,11.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,12.0,8.0,8.0,8.0,8.0,12.0,7.0
>ENST00000313754.4,8.0,8.0,0.0,8.0,10.0,9.0,10.0,8.0,12.0,10.0,10.0,9.0,10.0,13.0,11.0,12.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,9.0,10.0,14.0,9.0,10.0,10.0,10.0,12.0,9.0
>ENST00000529536.1,6.0,7.0,8.0,0.0,8.0,7.0,9.0,7.0,10.0,8.0,7.0,7.0,9.0,11.0,8.0,7.0,8.0,8.0,10.0,7.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,8.0,7.0,8.0,7.0,9.0,7.0,9.0,7.0
>ENST00000430550.1,6.0,8.0,10.0,8.0,0.0,9.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,10.0,8.0,11.0,7.0,9.0,9.0,8.0,10.0,9.0,7.0,8.0,8.0,8.0,9.0,6.0
>ENST00000547384.1,8.0,7.0,9.0,7.0,9.0,0.0,10.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,10.0,8.0,12.0,10.0,10.0,10.0,9.0,12.0,8.0,9.0,12.0,10.0,9.0,12.0,9.0,7.0,11.0,10.0
>ENST00000424783.1,8.0,8.0,10.0,9.0,8.0,10.0,0.0,10.0,9.0,9.0,8.0,8.0,8.0,10.0,16.0,12.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,8.0,10.0,18.0
>ENST00000456388.1,6.0,8.0,8.0,7.0,10.0,10.0,10.0,0.0,9.0,8.0,7.0,8.0,8.0,11.0,8.0,8.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,8.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0
>ENST00000531301.1,9.0,11.0,12.0,10.0,9.0,10.0,9.0,9.0,0.0,9.0,11.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,11.0,13.0,10.0,14.0,10.0,10.0,8.0,9.0,11.0,11.0,9.0,11.0,12.0,8.0,11.0,10.0
>ENST00000407696.2,7.0,7.0,10.0,8.0,9.0,11.0,9.0,8.0,9.0,0.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,9.0,8.0,10.0,11.0,10.0,11.0,10.0,11.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,7.0,10.0,7.0
>ENST00000612686.1,7.0,8.0,10.0,7.0,11.0,9.0,8.0,7.0,11.0,8.0,0.0,9.0,10.0,8.0,9.0,12.0,7.0,9.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,8.0
>ENST00000560455.2,6.0,8.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,0.0,7.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,9.0,8.0,7.0,8.0,9.0,7.0,7.0,8.0,6.0,12.0,10.0
>ENST00000520293.2,8.0,9.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,10.0,7.0,0.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,10.0,10.0,8.0,7.0,9.0,7.0,8.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,7.0
>ENST00000473537.1,8.0,9.0,13.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,0.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,12.0,12.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,10.0,11.0
>ENST00000448683.1,8.0,8.0,11.0,8.0,10.0,10.0,16.0,8.0,11.0,10.0,9.0,11.0,9.0,10.0,0.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,10.0,11.0,12.0,9.0,9.0,12.0,9.0,9.0,7.0,10.0,8.0,11.0,8.0
>ENST00000623131.1,8.0,9.0,12.0,7.0,10.0,10.0,12.0,8.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,0.0,9.0,10.0,10.0,10.0,13.0,11.0,12.0,11.0,9.0,9.0,9.0,11.0,12.0,9.0,11.0,9.0,9.0,11.0,7.0
>ENST00000428070.1,7.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,0.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,8.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0
>ENST00000522979.2,7.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,7.0,11.0,8.0,10.0,8.0,0.0,11.0,10.0,9.0,9.0,13.0,8.0,11.0,8.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,7.0
>ENST00000575193.1,8.0,11.0,9.0,10.0,10.0,8.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,0.0,11.0,12.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,11.0
>ENST00000604771.1,8.0,9.0,9.0,7.0,10.0,12.0,9.0,8.0,11.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,8.0,10.0,11.0,0.0,13.0,11.0,10.0,8.0,11.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0
>ENST00000419201.1,7.0,9.0,10.0,9.0,10.0,10.0,10.0,8.0,13.0,11.0,10.0,10.0,10.0,9.0,10.0,13.0,9.0,9.0,12.0,13.0,0.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,14.0,8.0,9.0,10.0,9.0,10.0,9.0
>ENST00000415117.1,9.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,12.0,10.0,11.0,8.0,9.0,11.0,11.0,10.0,0.0,11.0,9.0,11.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,8.0
>ENST00000434461.1,9.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,14.0,11.0,9.0,11.0,8.0,12.0,10.0,12.0,9.0,13.0,10.0,10.0,10.0,11.0,0.0,10.0,11.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,12.0
>ENST00000515450.1,8.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,7.0,10.0,11.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,10.0,0.0,10.0,8.0,10.0,10.0,13.0,8.0,10.0,10.0,8.0,10.0,8.0
>ENST00000596753.1,10.0,9.0,10.0,9.0,9.0,12.0,11.0,10.0,10.0,11.0,9.0,9.0,9.0,9.0,12.0,9.0,9.0,11.0,10.0,11.0,10.0,11.0,11.0,10.0,0.0,9.0,10.0,10.0,10.0,11.0,12.0,10.0,9.0,10.0,10.0
>ENST00000522218.1,6.0,10.0,8.0,7.0,9.0,8.0,9.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,0.0,8.0,11.0,9.0,9.0,9.0,10.0,8.0,10.0,7.0
>ENST00000397729.2,7.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,8.0,0.0,11.0,10.0,9.0,9.0,8.0,7.0,13.0,10.0
>ENST00000407496.2,9.0,10.0,10.0,8.0,10.0,12.0,10.0,8.0,11.0,10.0,10.0,8.0,10.0,10.0,12.0,11.0,8.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,11.0,0.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0
>ENST00000582245.1,7.0,12.0,14.0,7.0,9.0,10.0,11.0,10.0,11.0,8.0,9.0,9.0,9.0,11.0,9.0,12.0,10.0,10.0,10.0,9.0,14.0,9.0,10.0,13.0,10.0,9.0,10.0,10.0,0.0,9.0,10.0,8.0,10.0,11.0,7.0
>ENST00000414742.1,6.0,8.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,10.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,10.0,8.0,8.0,11.0,9.0,9.0,9.0,9.0,0.0,10.0,10.0,7.0,8.0,10.0
>ENST00000452091.1,9.0,8.0,10.0,7.0,8.0,12.0,9.0,9.0,11.0,9.0,9.0,7.0,11.0,9.0,7.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,12.0,9.0,9.0,10.0,10.0,10.0,0.0,11.0,10.0,11.0,8.0
>ENST00000541449.1,9.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,12.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,10.0,11.0,0.0,10.0,9.0,9.0
>ENST00000419980.1,8.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,8.0,7.0,10.0,6.0,9.0,8.0,8.0,9.0,8.0,9.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,7.0,8.0,10.0,7.0,10.0,10.0,0.0,8.0,7.0
>ENST00000445194.2,9.0,12.0,12.0,9.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,12.0,10.0,10.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,13.0,11.0,11.0,8.0,11.0,9.0,8.0,0.0,9.0
