,>ENST00000450301.2,>ENST00000436691.1,>ENST00000397288.2,>ENST00000492121.1,>ENST00000505831.1,>ENST00000471227.3,>ENST00000604339.1,>ENST00000413813.1,ENSG00000006659.12,>ENST00000524329.1,>ENST00000451006.1,>ENST00000426952.2,>ENST00000617925.1,>ENST00000444248.1,>ENST00000522888.1,>ENST00000563131.2,>ENST00000457252.2,>ENST00000512835.1,>ENST00000430567.2,>ENST00000618350.1,>ENST00000510713.2,>ENST00000430953.1,>ENST00000535708.2,>ENST00000432746.1,>ENST00000407115.2,>ENST00000554427.1,>ENST00000559128.1,>ENST00000407594.2,>ENST00000562500.1,>ENST00000445572.5,>ENST00000567242.1,>ENST00000631993.1,>ENST00000472008.1,>ENST00000616876.1,>ENST00000393647.2,>ENST00000484625.2,>ENST00000422137.1,>ENST00000424687.1,>ENST00000574288.2,>ENST00000528485.1
>ENST00000450301.2,0.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,13.0,8.0,12.0,9.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,12.0,9.0,11.0,10.0,9.0,11.0,11.0,8.0,9.0,8.0,10.0,10.0,8.0,9.0,8.0,11.0,10.0,12.0,9.0
>ENST00000436691.1,9.0,0.0,9.0,9.0,9.0,7.0,8.0,8.0,10.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,9.0,6.0,8.0,8.0,9.0,9.0,10.0,8.0,8.0,10.0,6.0,9.0,7.0,8.0,8.0,7.0,8.0,10.0,8.0,9.0,8.0,9.0
>ENST00000397288.2,10.0,9.0,0.0,11.0,11.0,11.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,12.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,7.0,10.0,9.0,9.0,11.0,9.0,9.0,12.0,10.0,11.0
>ENST00000492121.1,9.0,9.0,11.0,0.0,11.0,11.0,10.0,11.0,13.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,13.0,9.0,9.0,10.0,8.0,11.0,12.0,12.0,8.0,9.0,11.0,8.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,11.0,9.0,9.0
>ENST00000505831.1,9.0,9.0,11.0,11.0,0.0,11.0,12.0,11.0,13.0,10.0,9.0,11.0,11.0,12.0,9.0,10.0,10.0,11.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0
>ENST00000471227.3,12.0,7.0,11.0,11.0,11.0,0.0,9.0,10.0,10.0,10.0,12.0,9.0,9.0,11.0,12.0,10.0,8.0,10.0,13.0,13.0,10.0,10.0,9.0,12.0,10.0,9.0,11.0,10.0,13.0,10.0,10.0,9.0,10.0,8.0,9.0,9.0,11.0,11.0,8.0,9.0
>ENST00000604339.1,10.0,8.0,10.0,10.0,12.0,9.0,0.0,10.0,10.0,11.0,10.0,13.0,9.0,9.0,8.0,9.0,11.0,11.0,10.0,9.0,10.0,8.0,9.0,11.0,11.0,9.0,9.0,11.0,11.0,8.0,9.0,8.0,9.0,12.0,9.0,8.0,9.0,9.0,9.0,9.0
>ENST00000413813.1,10.0,8.0,8.0,11.0,11.0,10.0,10.0,0.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,20.0,11.0,11.0,8.0,9.0,8.0,10.0,11.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0
ENSG00000006659.12,13.0,10.0,11.0,13.0,13.0,10.0,10.0,10.0,0.0,14.0,10.0,12.0,11.0,13.0,12.0,10.0,12.0,12.0,11.0,10.0,11.0,10.0,12.0,11.0,12.0,11.0,12.0,10.0,11.0,12.0,10.0,11.0,10.0,12.0,10.0,11.0,15.0,12.0,11.0,14.0
>ENST00000524329.1,8.0,7.0,10.0,10.0,10.0,10.0,11.0,10.0,14.0,0.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,11.0,8.0,9.0,11.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0
