,>ENST00000433774.1,>ENST00000442662.2,>ENST00000550326.1,>ENST00000554078.1,>ENST00000566760.1,>ENST00000600494.1,>ENSTR0000436474.6,>ENST00000417397.2,>ENST00000568138.2,>ENST00000605304.1,>ENST00000567922.1,>ENST00000528255.1,>ENST00000531359.1,>ENST00000521488.1,>ENST00000525394.1,>ENST00000426701.1,ENSG00000199924.1,>ENST00000555786.1,>ENST00000491732.1,>ENST00000563247.1,>ENST00000603420.1,>ENST00000423948.1
>ENST00000433774.1,0.0,9.0,10.0,8.0,7.0,13.0,8.0,11.0,8.0,9.0,8.0,14.0,8.0,7.0,11.0,8.0,7.0,9.0,9.0,7.0,9.0,9.0
>ENST00000442662.2,9.0,0.0,9.0,8.0,8.0,7.0,10.0,9.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,9.0,10.0
>ENST00000550326.1,10.0,9.0,0.0,7.0,10.0,7.0,8.0,10.0,9.0,8.0,7.0,9.0,10.0,8.0,10.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0
>ENST00000554078.1,8.0,8.0,7.0,0.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,10.0,7.0,10.0,9.0,8.0,10.0,10.0
>ENST00000566760.1,7.0,8.0,10.0,8.0,0.0,7.0,8.0,10.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,8.0,9.0
>ENST00000600494.1,13.0,7.0,7.0,7.0,7.0,0.0,8.0,12.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0,7.0,7.0,9.0,8.0
>ENSTR0000436474.6,8.0,10.0,8.0,8.0,8.0,8.0,0.0,11.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,7.0,11.0,10.0,9.0,8.0,10.0
>ENST00000417397.2,11.0,9.0,10.0,9.0,10.0,12.0,11.0,0.0,9.0,10.0,8.0,10.0,12.0,10.0,11.0,9.0,8.0,10.0,11.0,10.0,12.0,11.0
>ENST00000568138.2,8.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0,0.0,8.0,8.0,9.0,10.0,18.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0
>ENST00000605304.1,9.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,8.0,0.0,8.0,10.0,9.0,8.0,13.0,9.0,9.0,11.0,10.0,8.0,10.0,10.0
>ENST00000567922.1,8.0,8.0,7.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,0.0,8.0,8.0,9.0,10.0,8.0,8.0,8.0,7.0,7.0,10.0,10.0
>ENST00000528255.1,14.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,0.0,10.0,9.0,10.0,8.0,8.0,11.0,8.0,8.0,10.0,10.0
>ENST00000531359.1,8.0,9.0,10.0,9.0,8.0,8.0,9.0,12.0,10.0,9.0,8.0,10.0,0.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,10.0
>ENST00000521488.1,7.0,8.0,8.0,8.0,9.0,8.0,8.0,10.0,18.0,8.0,9.0,9.0,10.0,0.0,8.0,9.0,8.0,8.0,8.0,8.0,11.0,12.0
>ENST00000525394.1,11.0,9.0,10.0,9.0,8.0,9.0,9.0,11.0,9.0,13.0,10.0,10.0,10.0,8.0,0.0,10.0,10.0,10.0,8.0,9.0,11.0,10.0
>ENST00000426701.1,8.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,0.0,8.0,9.0,9.0,9.0,10.0,10.0
ENSG00000199924.1,7.0,8.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,8.0,0.0,7.0,8.0,6.0,9.0,8.0
>ENST00000555786.1,9.0,8.0,9.0,10.0,9.0,7.0,11.0,10.0,9.0,11.0,8.0,11.0,9.0,8.0,10.0,9.0,7.0,0.0,10.0,8.0,12.0,9.0
>ENST00000491732.1,9.0,10.0,8.0,9.0,9.0,7.0,10.0,11.0,8.0,10.0,7.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,0.0,8.0,10.0,9.0
>ENST00000563247.1,7.0,7.0,10.0,8.0,7.0,7.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,6.0,8.0,8.0,0.0,8.0,9.0
>ENST00000603420.1,9.0,9.0,8.0,10.0,8.0,9.0,8.0,12.0,8.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,12.0,10.0,8.0,0.0,9.0
>ENST00000423948.1,9.0,10.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,0.0
