,>ENST00000398588.2,>ENST00000457982.3,>ENST00000492080.1,>ENST00000570019.1,>ENST00000463506.1,>ENST00000596612.1,>ENST00000605001.1,>ENST00000566048.1,>ENST00000510606.1,>ENST00000604810.1,>ENST00000472609.1,>ENST00000413438.1,>ENST00000502948.1,>ENST00000514120.1,>ENST00000455437.2,>ENST00000456361.1,>ENST00000562099.1,ENSG00000266082.1,>ENST00000538830.1,>ENST00000416640.2,>ENST00000480448.1,>ENST00000450915.1,ENSG00000252008.1,>ENST00000604416.1,>ENST00000553543.2,>ENST00000416720.2,>ENST00000526403.1,>ENST00000589887.1,>ENST00000447588.1,>ENST00000499853.2,>ENST00000422608.1,>ENST00000424692.3,>ENST00000508746.1,>ENST00000568401.1,>ENST00000468715.1,>ENST00000468519.1,>ENST00000526721.2,>ENST00000529628.1,>ENST00000580924.1,>ENST00000419730.1,>ENST00000522530.1,>ENST00000620271.1,>ENST00000443135.1,>ENST00000580926.1,>ENST00000521595.1,>ENST00000461458.1,>ENST00000407698.1,>ENST00000503442.1,>ENST00000460975.1,>ENST00000421233.6,>ENST00000525280.1,>ENST00000454810.1,>ENST00000451877.1,>ENST00000523309.2,>ENST00000433225.1,>ENST00000478954.1,>ENST00000603779.1,>ENST00000521259.1,>ENST00000399480.2
>ENST00000398588.2,0.0,11.0,11.0,12.0,10.0,13.0,11.0,11.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,11.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,8.0,8.0,11.0,11.0,11.0,10.0,10.0,13.0,11.0,9.0,9.0,12.0,8.0,11.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,12.0,9.0,10.0,10.0,10.0,9.0
>ENST00000457982.3,11.0,0.0,13.0,11.0,9.0,9.0,10.0,10.0,10.0,8.0,10.0,12.0,8.0,8.0,11.0,11.0,10.0,9.0,10.0,11.0,10.0,11.0,8.0,10.0,10.0,9.0,9.0,12.0,12.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,11.0,13.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,13.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,10.0
>ENST00000492080.1,11.0,13.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,12.0,9.0,7.0,9.0,9.0,9.0,7.0,9.0,12.0,10.0,11.0,7.0,9.0,11.0,10.0,11.0,11.0,11.0,10.0,8.0,8.0,8.0,8.0,10.0,10.0,11.0,9.0,8.0,10.0,11.0,10.0,8.0,9.0,11.0,9.0,12.0,11.0,10.0,10.0,7.0,10.0,10.0,10.0,8.0,10.0,9.0,10.0,12.0
>ENST00000570019.1,12.0,11.0,10.0,0.0,9.0,10.0,9.0,9.0,11.0,15.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,7.0,9.0,11.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,13.0,10.0,9.0,11.0,10.0,11.0,9.0,11.0,9.0,11.0,8.0,8.0,9.0,13.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,10.0,12.0
>ENST00000463506.1,10.0,9.0,9.0,9.0,0.0,9.0,12.0,8.0,9.0,14.0,8.0,9.0,9.0,12.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0,8.0,9.0,8.0,10.0,11.0,8.0,10.0,10.0,8.0,11.0,8.0,11.0,10.0,8.0,142.0,11.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0
>ENST00000596612.1,13.0,9.0,10.0,10.0,9.0,0.0,10.0,11.0,9.0,8.0,10.0,9.0,8.0,8.0,11.0,10.0,10.0,7.0,9.0,12.0,9.0,10.0,6.0,8.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0
>ENST00000605001.1,11.0,10.0,10.0,9.0,12.0,10.0,0.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,12.0,10.0,11.0,10.0,12.0,10.0,10.0,12.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,10.0,8.0,10.0,9.0,10.0,15.0,11.0,9.0
>ENST00000566048.1,11.0,10.0,9.0,9.0,8.0,11.0,9.0,0.0,9.0,9.0,6.0,9.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,7.0,8.0,7.0,7.0,11.0,7.0,7.0,11.0,10.0,10.0,8.0,8.0,10.0,8.0,7.0,12.0,9.0,8.0,9.0,8.0,10.0,8.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,9.0,9.0,8.0
>ENST00000510606.1,11.0,10.0,10.0,11.0,9.0,9.0,10.0,9.0,0.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,10.0,7.0,10.0,12.0,9.0,11.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,11.0,13.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,11.0,13.0,9.0,9.0
>ENST00000604810.1,10.0,8.0,9.0,15.0,14.0,8.0,11.0,9.0,9.0,0.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,8.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0
