,>ENST00000537369.1,>ENST00000549557.1,>ENST00000405276.2,ENSG00000252580.1,ENSG00000196123.12,>ENST00000510973.1,>ENST00000540920.1
>ENST00000537369.1,0.0,9.0,9.0,7.0,11.0,9.0,10.0
>ENST00000549557.1,9.0,0.0,9.0,7.0,10.0,10.0,10.0
>ENST00000405276.2,9.0,9.0,0.0,9.0,12.0,9.0,11.0
ENSG00000252580.1,7.0,7.0,9.0,0.0,10.0,9.0,9.0
ENSG00000196123.12,11.0,10.0,12.0,10.0,0.0,12.0,13.0
>ENST00000510973.1,9.0,10.0,9.0,9.0,12.0,0.0,10.0
>ENST00000540920.1,10.0,10.0,11.0,9.0,13.0,10.0,0.0
