,>ENST00000555068.1,>ENST00000551366.2,ENSG00000206858.1,ENSG00000207086.1,>ENST00000526868.1,>ENST00000556149.2,>ENST00000515248.1,>ENST00000509542.1,ENSG00000181698.3,>ENST00000534576.1,>ENST00000432935.1,>ENST00000438508.1,>ENST00000458319.1,>ENST00000604759.1,>ENST00000598627.1,>ENST00000455482.1,>ENST00000427731.2,>ENST00000521304.1,ENSG00000252361.1,>ENST00000455561.1,ENSG00000202410.1,ENSG00000211724.3
>ENST00000555068.1,0.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,11.0,10.0,8.0,10.0,9.0,10.0,12.0,10.0,9.0,9.0,8.0,10.0,7.0,10.0
>ENST00000551366.2,9.0,0.0,8.0,8.0,17.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,9.0,12.0,12.0,11.0,9.0,10.0,9.0,9.0,8.0,11.0
ENSG00000206858.1,8.0,8.0,0.0,10.0,11.0,8.0,8.0,8.0,8.0,9.0,8.0,6.0,10.0,7.0,9.0,8.0,10.0,9.0,6.0,7.0,27.0,7.0
ENSG00000207086.1,8.0,8.0,10.0,0.0,8.0,7.0,7.0,8.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,7.0,9.0,6.0,6.0,7.0,8.0,8.0
>ENST00000526868.1,10.0,17.0,11.0,8.0,0.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0,11.0,10.0,10.0,11.0,8.0,10.0,8.0,9.0,8.0,10.0
>ENST00000556149.2,8.0,9.0,8.0,7.0,10.0,0.0,9.0,9.0,10.0,11.0,25.0,12.0,11.0,9.0,9.0,11.0,8.0,9.0,11.0,10.0,7.0,8.0
>ENST00000515248.1,9.0,10.0,8.0,7.0,10.0,9.0,0.0,9.0,9.0,10.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,9.0,8.0,9.0,10.0,11.0
>ENST00000509542.1,9.0,10.0,8.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,11.0,8.0,11.0,10.0,12.0,9.0,9.0,10.0,8.0,9.0,7.0,10.0
ENSG00000181698.3,11.0,10.0,8.0,8.0,11.0,10.0,9.0,9.0,0.0,9.0,8.0,10.0,10.0,10.0,12.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0
>ENST00000534576.1,10.0,11.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,0.0,10.0,11.0,12.0,10.0,12.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0
>ENST00000432935.1,8.0,9.0,8.0,6.0,8.0,25.0,8.0,11.0,8.0,10.0,0.0,13.0,9.0,8.0,9.0,10.0,8.0,8.0,7.0,8.0,6.0,8.0
>ENST00000438508.1,10.0,8.0,6.0,7.0,10.0,12.0,9.0,8.0,10.0,11.0,13.0,0.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0
>ENST00000458319.1,9.0,9.0,10.0,8.0,11.0,11.0,10.0,11.0,10.0,12.0,9.0,9.0,0.0,10.0,13.0,10.0,13.0,9.0,8.0,10.0,8.0,12.0
>ENST00000604759.1,10.0,12.0,7.0,7.0,10.0,9.0,11.0,10.0,10.0,10.0,8.0,10.0,10.0,0.0,11.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0
>ENST00000598627.1,12.0,12.0,9.0,8.0,10.0,9.0,11.0,12.0,12.0,12.0,9.0,10.0,13.0,11.0,0.0,10.0,11.0,10.0,11.0,9.0,10.0,8.0
>ENST00000455482.1,10.0,11.0,8.0,7.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,0.0,11.0,11.0,10.0,9.0,8.0,10.0
>ENST00000427731.2,9.0,9.0,10.0,9.0,8.0,8.0,11.0,9.0,10.0,9.0,8.0,9.0,13.0,9.0,11.0,11.0,0.0,10.0,7.0,8.0,7.0,9.0
>ENST00000521304.1,9.0,10.0,9.0,6.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,0.0,6.0,9.0,7.0,9.0
ENSG00000252361.1,8.0,9.0,6.0,6.0,8.0,11.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,11.0,10.0,7.0,6.0,0.0,7.0,6.0,7.0
>ENST00000455561.1,10.0,9.0,7.0,7.0,9.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,7.0,0.0,8.0,7.0
ENSG00000202410.1,7.0,8.0,27.0,8.0,8.0,7.0,10.0,7.0,8.0,8.0,6.0,7.0,8.0,8.0,10.0,8.0,7.0,7.0,6.0,8.0,0.0,8.0
ENSG00000211724.3,10.0,11.0,7.0,8.0,10.0,8.0,11.0,10.0,10.0,9.0,8.0,8.0,12.0,10.0,8.0,10.0,9.0,9.0,7.0,7.0,8.0,0.0
