,>ENST00000616889.1,>ENST00000576706.1,>ENST00000547237.1,>ENST00000427029.1,>ENST00000494052.2,>ENST00000445813.1,>ENST00000605614.1,>ENST00000408034.1,>ENST00000425635.1,>ENST00000449315.1,>ENST00000525269.1,>ENST00000504507.1,>ENST00000446960.1,>ENST00000597285.1,>ENST00000620111.1,>ENST00000398621.3,>ENST00000450724.1,>ENST00000445390.1,>ENST00000340697.4
>ENST00000616889.1,0.0,7.0,11.0,8.0,8.0,9.0,8.0,10.0,7.0,8.0,10.0,7.0,8.0,9.0,7.0,10.0,8.0,10.0,7.0
>ENST00000576706.1,7.0,0.0,12.0,11.0,10.0,12.0,10.0,10.0,8.0,8.0,10.0,9.0,9.0,8.0,9.0,11.0,9.0,10.0,10.0
>ENST00000547237.1,11.0,12.0,0.0,11.0,10.0,12.0,8.0,11.0,9.0,9.0,11.0,12.0,9.0,9.0,9.0,11.0,9.0,11.0,14.0
>ENST00000427029.1,8.0,11.0,11.0,0.0,11.0,11.0,9.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0
>ENST00000494052.2,8.0,10.0,10.0,11.0,0.0,10.0,9.0,9.0,9.0,8.0,11.0,11.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0
>ENST00000445813.1,9.0,12.0,12.0,11.0,10.0,0.0,11.0,10.0,9.0,10.0,12.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,11.0
>ENST00000605614.1,8.0,10.0,8.0,9.0,9.0,11.0,0.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,7.0,11.0,10.0,11.0,8.0
>ENST00000408034.1,10.0,10.0,11.0,11.0,9.0,10.0,9.0,0.0,9.0,11.0,11.0,9.0,14.0,11.0,10.0,11.0,10.0,13.0,11.0
>ENST00000425635.1,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,8.0,9.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0,9.0
>ENST00000449315.1,8.0,8.0,9.0,11.0,8.0,10.0,10.0,11.0,8.0,0.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,11.0
>ENST00000525269.1,10.0,10.0,11.0,10.0,11.0,12.0,9.0,11.0,9.0,9.0,0.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0
>ENST00000504507.1,7.0,9.0,12.0,11.0,11.0,8.0,8.0,9.0,10.0,9.0,10.0,0.0,8.0,9.0,9.0,9.0,9.0,9.0,8.0
>ENST00000446960.1,8.0,9.0,9.0,10.0,8.0,10.0,9.0,14.0,9.0,9.0,9.0,8.0,0.0,8.0,10.0,9.0,8.0,12.0,8.0
>ENST00000597285.1,9.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,9.0,11.0,9.0,8.0,0.0,9.0,12.0,9.0,9.0,9.0
>ENST00000620111.1,7.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,7.0,8.0,8.0,9.0,10.0,9.0,0.0,7.0,9.0,8.0,9.0
>ENST00000398621.3,10.0,11.0,11.0,10.0,9.0,9.0,11.0,11.0,8.0,10.0,10.0,9.0,9.0,12.0,7.0,0.0,10.0,9.0,10.0
>ENST00000450724.1,8.0,9.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,10.0,0.0,10.0,10.0
>ENST00000445390.1,10.0,10.0,11.0,11.0,9.0,10.0,11.0,13.0,10.0,10.0,9.0,9.0,12.0,9.0,8.0,9.0,10.0,0.0,10.0
>ENST00000340697.4,7.0,10.0,14.0,11.0,9.0,11.0,8.0,11.0,9.0,11.0,10.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,0.0
