,>ENST00000622403.1,>ENST00000450665.1,>ENST00000453425.1,>ENST00000420708.1,>ENST00000469924.1,>ENST00000441327.1,>ENST00000528334.1,>ENST00000511127.1,>ENST00000493458.2,>ENST00000453276.1,>ENST00000414485.1,>ENST00000530590.1,>ENST00000414690.2,>ENST00000527291.1,ENSG00000149507.6,>ENST00000605229.1,>ENST00000435222.1,>ENST00000416803.1,>ENST00000422717.1,ENSG00000189252.4,>ENST00000417266.1,>ENST00000453267.1,>ENST00000438233.2,>ENST00000532912.1,>ENST00000423705.1,>ENST00000604734.1
>ENST00000622403.1,0.0,9.0,11.0,13.0,9.0,12.0,11.0,11.0,10.0,10.0,10.0,8.0,10.0,14.0,12.0,9.0,10.0,11.0,10.0,12.0,11.0,11.0,10.0,11.0,10.0,10.0
>ENST00000450665.1,9.0,0.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,7.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,13.0,11.0,10.0,9.0,16.0,8.0,10.0
>ENST00000453425.1,11.0,9.0,0.0,9.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,14.0,8.0,9.0,12.0,9.0,11.0,9.0,8.0,8.0,9.0,9.0,9.0
>ENST00000420708.1,13.0,9.0,9.0,0.0,10.0,9.0,9.0,11.0,11.0,11.0,8.0,7.0,10.0,10.0,11.0,9.0,8.0,10.0,10.0,11.0,11.0,8.0,8.0,10.0,8.0,9.0
>ENST00000469924.1,9.0,9.0,9.0,10.0,0.0,9.0,11.0,10.0,39.0,9.0,9.0,8.0,8.0,8.0,14.0,10.0,10.0,10.0,8.0,13.0,10.0,9.0,9.0,11.0,9.0,11.0
>ENST00000441327.1,12.0,9.0,9.0,9.0,9.0,0.0,9.0,10.0,8.0,12.0,8.0,8.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0
>ENST00000528334.1,11.0,10.0,11.0,9.0,11.0,9.0,0.0,11.0,11.0,11.0,9.0,7.0,11.0,9.0,10.0,10.0,9.0,11.0,12.0,13.0,11.0,10.0,10.0,12.0,10.0,11.0
>ENST00000511127.1,11.0,10.0,10.0,11.0,10.0,10.0,11.0,0.0,11.0,11.0,10.0,8.0,10.0,10.0,13.0,10.0,11.0,10.0,10.0,12.0,11.0,11.0,9.0,12.0,10.0,10.0
>ENST00000493458.2,10.0,9.0,9.0,11.0,39.0,8.0,11.0,11.0,0.0,8.0,9.0,8.0,8.0,9.0,12.0,9.0,12.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,9.0,10.0
>ENST00000453276.1,10.0,10.0,9.0,11.0,9.0,12.0,11.0,11.0,8.0,0.0,8.0,7.0,11.0,8.0,13.0,9.0,13.0,13.0,9.0,10.0,9.0,9.0,9.0,12.0,10.0,9.0
>ENST00000414485.1,10.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,8.0,0.0,7.0,11.0,8.0,10.0,12.0,8.0,9.0,10.0,11.0,9.0,7.0,116.0,10.0,9.0,10.0
>ENST00000530590.1,8.0,7.0,10.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,0.0,8.0,8.0,11.0,8.0,8.0,10.0,9.0,9.0,8.0,7.0,10.0,11.0,8.0,9.0
>ENST00000414690.2,10.0,9.0,11.0,10.0,8.0,10.0,11.0,10.0,8.0,11.0,11.0,8.0,0.0,10.0,15.0,9.0,10.0,11.0,14.0,12.0,10.0,9.0,10.0,12.0,12.0,10.0
>ENST00000527291.1,14.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,0.0,11.0,9.0,11.0,10.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0
ENSG00000149507.6,12.0,11.0,14.0,11.0,14.0,10.0,10.0,13.0,12.0,13.0,10.0,11.0,15.0,11.0,0.0,11.0,10.0,15.0,13.0,14.0,11.0,10.0,10.0,11.0,11.0,12.0
>ENST00000605229.1,9.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,12.0,8.0,9.0,9.0,11.0,0.0,10.0,11.0,10.0,12.0,10.0,9.0,11.0,11.0,13.0,9.0
>ENST00000435222.1,10.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,12.0,13.0,8.0,8.0,10.0,11.0,10.0,10.0,0.0,12.0,9.0,11.0,10.0,8.0,10.0,11.0,8.0,10.0
>ENST00000416803.1,11.0,9.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,13.0,9.0,10.0,11.0,10.0,15.0,11.0,12.0,0.0,11.0,11.0,11.0,10.0,9.0,12.0,10.0,11.0
>ENST00000422717.1,10.0,10.0,9.0,10.0,8.0,9.0,12.0,10.0,10.0,9.0,10.0,9.0,14.0,10.0,13.0,10.0,9.0,11.0,0.0,11.0,9.0,8.0,9.0,11.0,10.0,11.0
ENSG00000189252.4,12.0,13.0,11.0,11.0,13.0,10.0,13.0,12.0,11.0,10.0,11.0,9.0,12.0,11.0,14.0,12.0,11.0,11.0,11.0,0.0,12.0,12.0,12.0,11.0,13.0,12.0
>ENST00000417266.1,11.0,11.0,9.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,12.0,0.0,9.0,9.0,10.0,10.0,8.0
>ENST00000453267.1,11.0,10.0,8.0,8.0,9.0,12.0,10.0,11.0,9.0,9.0,7.0,7.0,9.0,9.0,10.0,9.0,8.0,10.0,8.0,12.0,9.0,0.0,10.0,9.0,9.0,11.0
>ENST00000438233.2,10.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,9.0,116.0,10.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0,12.0,9.0,10.0,0.0,9.0,9.0,10.0
>ENST00000532912.1,11.0,16.0,9.0,10.0,11.0,10.0,12.0,12.0,10.0,12.0,10.0,11.0,12.0,10.0,11.0,11.0,11.0,12.0,11.0,11.0,10.0,9.0,9.0,0.0,11.0,11.0
>ENST00000423705.1,10.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,12.0,10.0,11.0,13.0,8.0,10.0,10.0,13.0,10.0,9.0,9.0,11.0,0.0,9.0
