,ENSG00000244425.3,>ENST00000576210.1,>ENST00000605635.1,>ENST00000555951.1,>ENST00000424742.1,>ENST00000436684.2,>ENST00000482625.1,>ENST00000457409.1,>ENST00000417432.1,>ENST00000545710.1,>ENST00000423226.1,>ENST00000563784.2,>ENST00000440243.2,>ENST00000605877.1,>ENST00000433603.1,>ENST00000453145.1,>ENST00000513434.1,>ENST00000623922.1,>ENST00000416120.1,>ENST00000406139.1,>ENST00000412799.3,>ENST00000344740.4,>ENST00000439851.1,>ENST00000514607.1,>ENST00000498256.1,>ENST00000603262.1,>ENST00000299512.2,>ENST00000453414.1,>ENST00000605362.1,>ENST00000412817.1,>ENST00000575306.1,>ENST00000423257.1,>ENST00000485881.1,>ENST00000445918.1,>ENST00000554452.5,>ENST00000458710.2,>ENST00000514436.1,>ENST00000509077.1,>ENST00000511357.2,>ENST00000559987.2,>ENST00000402375.1,>ENST00000590085.1,>ENST00000549244.1,>ENST00000440041.1
ENSG00000244425.3,0.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,7.0,10.0,9.0,8.0,11.0,11.0,10.0,10.0,7.0,9.0,9.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,11.0,9.0,8.0,10.0,11.0,10.0,9.0,8.0,8.0,10.0,8.0,8.0
>ENST00000576210.1,8.0,0.0,9.0,13.0,10.0,11.0,10.0,12.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,9.0,11.0,11.0,10.0,11.0,10.0,11.0,11.0,12.0,10.0,7.0,11.0,10.0,10.0,10.0,8.0,11.0,10.0,9.0,11.0,9.0,10.0,10.0,10.0,11.0,12.0,9.0,9.0,9.0
>ENST00000605635.1,9.0,9.0,0.0,8.0,10.0,8.0,11.0,8.0,9.0,11.0,10.0,10.0,12.0,7.0,9.0,8.0,8.0,10.0,11.0,8.0,8.0,10.0,7.0,9.0,11.0,7.0,9.0,8.0,8.0,9.0,8.0,12.0,11.0,8.0,12.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0,7.0,11.0
>ENST00000555951.1,9.0,13.0,8.0,0.0,10.0,10.0,10.0,11.0,9.0,11.0,10.0,12.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,13.0,10.0,10.0,7.0,10.0,9.0,8.0,10.0,8.0,9.0,10.0,10.0,9.0,13.0,10.0,10.0,9.0,9.0,13.0,9.0,9.0,11.0,9.0,9.0,12.0
>ENST00000424742.1,10.0,10.0,10.0,10.0,0.0,9.0,12.0,10.0,13.0,12.0,10.0,10.0,11.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,8.0,10.0,8.0,13.0,11.0,9.0,11.0,9.0,8.0,9.0,11.0,9.0,11.0,10.0,10.0,11.0,14.0,11.0,11.0,11.0,10.0,9.0,11.0,9.0
>ENST00000436684.2,10.0,11.0,8.0,10.0,9.0,0.0,11.0,8.0,8.0,11.0,13.0,11.0,11.0,7.0,9.0,8.0,10.0,9.0,10.0,8.0,8.0,8.0,7.0,8.0,12.0,7.0,10.0,8.0,10.0,7.0,7.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,11.0,12.0,8.0,9.0,7.0,10.0
>ENST00000482625.1,10.0,10.0,11.0,10.0,12.0,11.0,0.0,9.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,8.0,32.0,11.0,112.0,10.0,9.0,10.0,7.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,8.0,11.0,10.0,12.0,10.0,8.0,9.0,11.0,10.0,10.0,11.0,9.0,8.0,11.0
>ENST00000457409.1,9.0,12.0,8.0,11.0,10.0,8.0,9.0,0.0,10.0,9.0,9.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,11.0,9.0,13.0,11.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,8.0,10.0
>ENST00000417432.1,11.0,10.0,9.0,9.0,13.0,8.0,10.0,10.0,0.0,11.0,10.0,9.0,11.0,8.0,10.0,8.0,11.0,10.0,9.0,10.0,9.0,11.0,8.0,10.0,11.0,8.0,13.0,10.0,10.0,8.0,10.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0
>ENST00000545710.1,10.0,10.0,11.0,11.0,12.0,11.0,11.0,9.0,11.0,0.0,11.0,11.0,12.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,9.0,9.0,10.0,8.0,10.0,11.0,13.0,11.0,9.0,10.0,11.0,12.0,11.0,9.0,8.0,9.0,10.0
