,>ENST00000581995.1,ENSG00000215996.2,>ENST00000431854.2,>ENST00000605217.1,>ENST00000503825.1,>ENST00000401022.2,>ENST00000634896.1,>ENST00000418187.1,>ENST00000487776.1,>ENST00000393266.2,>ENST00000403848.2,>ENST00000509872.1,>ENST00000461561.1,>ENST00000465850.1,>ENST00000424229.2,>ENST00000507324.1,>ENST00000402854.2,ENSG00000272096.2,>ENST00000456300.2,>ENST00000480579.2,>ENST00000604248.1,>ENST00000399253.3,>ENST00000447970.1,>ENST00000423648.1,>ENST00000500401.2,>ENST00000429712.5,>ENST00000622736.1,>ENST00000392354.4,>ENST00000601004.1,>ENST00000618346.1,>ENST00000429656.1,>ENST00000559984.2,>ENST00000414541.1,>ENST00000491760.2,>ENST00000426217.1,>ENST00000530817.1,>ENST00000604752.1,>ENST00000577873.1,>ENST00000465940.1,>ENST00000592961.1,>ENST00000549191.1,>ENST00000454801.2,>ENST00000431702.2,>ENST00000565839.2,>ENST00000425027.2,>ENST00000418112.2,>ENST00000565308.1,>ENST00000403591.1,>ENST00000603236.1,>ENST00000442571.1,>ENST00000418151.1,>ENST00000560329.1,>ENST00000428759.2
>ENST00000581995.1,0.0,5.0,8.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,12.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,11.0,10.0,11.0,10.0,7.0,8.0,9.0,8.0,9.0,11.0,9.0,8.0,8.0,10.0,7.0,10.0,10.0,10.0,9.0,8.0,11.0,9.0,11.0,11.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0
ENSG00000215996.2,5.0,0.0,7.0,7.0,8.0,6.0,7.0,7.0,6.0,10.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,6.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,6.0,5.0,7.0,8.0,7.0,8.0,8.0,10.0,7.0,8.0,9.0,7.0,6.0,9.0,7.0,9.0,8.0
>ENST00000431854.2,8.0,7.0,0.0,9.0,11.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,13.0,13.0,13.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,12.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,12.0,10.0,11.0,11.0,11.0,13.0,9.0
>ENST00000605217.1,10.0,7.0,9.0,0.0,11.0,11.0,8.0,9.0,7.0,11.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,7.0,12.0,8.0,10.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0
>ENST00000503825.1,10.0,8.0,11.0,11.0,0.0,10.0,11.0,10.0,9.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,12.0,9.0,11.0,9.0,13.0,10.0,13.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0
>ENST00000401022.2,9.0,6.0,10.0,11.0,10.0,0.0,9.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,9.0,12.0,10.0,10.0,8.0,9.0,7.0,8.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0
>ENST00000634896.1,8.0,7.0,9.0,8.0,11.0,9.0,0.0,10.0,8.0,8.0,9.0,10.0,10.0,9.0,11.0,9.0,17.0,8.0,10.0,10.0,9.0,8.0,7.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,9.0,7.0,7.0,10.0,9.0,7.0,8.0,9.0,9.0,11.0,10.0,10.0,10.0,8.0,8.0,8.0,12.0,9.0
>ENST00000418187.1,9.0,7.0,10.0,9.0,10.0,9.0,10.0,0.0,8.0,10.0,11.0,10.0,9.0,9.0,10.0,9.0,12.0,9.0,11.0,8.0,11.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0,10.0,11.0,9.0,11.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,10.0,13.0,10.0,10.0,11.0,10.0,10.0,9.0,10.0
>ENST00000487776.1,8.0,6.0,11.0,7.0,9.0,11.0,8.0,8.0,0.0,9.0,8.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,8.0,11.0,7.0,9.0,8.0,11.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,9.0
>ENST00000393266.2,8.0,10.0,9.0,11.0,8.0,12.0,8.0,10.0,9.0,0.0,10.0,11.0,10.0,11.0,9.0,11.0,11.0,8.0,8.0,10.0,10.0,9.0,9.0,8.0,9.0,12.0,8.0,7.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,10.0,9.0,8.0,13.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0
