,>ENST00000614376.1,>ENST00000502691.1,>ENST00000451274.1,>ENST00000414124.1,>ENST00000587732.1,>ENST00000326971.2,>ENST00000456768.1,>ENST00000507006.1,>ENST00000453854.1,>ENST00000510070.1,>ENST00000434630.1,>ENST00000451609.1,ENSG00000237261.2,>ENST00000579888.1,>ENST00000400583.2,>ENST00000441433.1,>ENST00000458195.1,>ENST00000451620.2,>ENST00000434481.1,>ENST00000426437.1,>ENST00000592457.1,>ENST00000414449.1,>ENST00000443536.1,>ENST00000511688.1,>ENST00000402839.1,>ENST00000513734.1
>ENST00000614376.1,0.0,9.0,8.0,8.0,8.0,7.0,8.0,9.0,7.0,10.0,7.0,10.0,9.0,7.0,9.0,8.0,10.0,8.0,8.0,9.0,5.0,9.0,7.0,8.0,6.0,7.0
>ENST00000502691.1,9.0,0.0,12.0,10.0,9.0,9.0,13.0,10.0,9.0,12.0,8.0,10.0,9.0,10.0,11.0,12.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,9.0,14.0
>ENST00000451274.1,8.0,12.0,0.0,10.0,11.0,8.0,12.0,12.0,12.0,13.0,10.0,10.0,10.0,11.0,12.0,12.0,10.0,10.0,12.0,13.0,11.0,11.0,11.0,10.0,9.0,12.0
>ENST00000414124.1,8.0,10.0,10.0,0.0,8.0,9.0,10.0,10.0,9.0,11.0,11.0,10.0,10.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,10.0,9.0,10.0
>ENST00000587732.1,8.0,9.0,11.0,8.0,0.0,8.0,10.0,9.0,11.0,13.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,8.0,13.0,10.0,9.0,23.0,9.0,11.0,10.0,8.0
>ENST00000326971.2,7.0,9.0,8.0,9.0,8.0,0.0,10.0,10.0,8.0,10.0,8.0,11.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0,12.0,8.0,9.0
>ENST00000456768.1,8.0,13.0,12.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,11.0,10.0,12.0,12.0,11.0,11.0,11.0,10.0,9.0,8.0
>ENST00000507006.1,9.0,10.0,12.0,10.0,9.0,10.0,10.0,0.0,9.0,10.0,10.0,11.0,9.0,9.0,10.0,10.0,12.0,9.0,10.0,10.0,10.0,13.0,10.0,9.0,9.0,9.0
>ENST00000453854.1,7.0,9.0,12.0,9.0,11.0,8.0,10.0,9.0,0.0,10.0,8.0,9.0,9.0,8.0,12.0,9.0,9.0,8.0,11.0,10.0,7.0,10.0,9.0,10.0,8.0,8.0
>ENST00000510070.1,10.0,12.0,13.0,11.0,13.0,10.0,10.0,10.0,10.0,0.0,11.0,11.0,11.0,9.0,11.0,10.0,11.0,10.0,11.0,13.0,10.0,11.0,11.0,11.0,10.0,11.0
