,>ENST00000458172.1,>ENST00000446109.1,>ENST00000527287.1,>ENST00000503482.1,>ENST00000454101.1,>ENST00000411806.1,>ENST00000505182.1,>ENST00000482972.1,>ENST00000504097.1,>ENST00000437189.1,>ENST00000616142.1,>ENST00000504215.1,>ENST00000481228.1,>ENST00000578745.1,>ENST00000453379.1,>ENST00000494700.1,>ENST00000489875.3,>ENST00000428328.1,>ENST00000494289.1,>ENST00000424448.2,>ENST00000443068.1,>ENST00000509905.1,>ENST00000608210.5,>ENST00000510231.1,>ENST00000424882.2,>ENST00000402309.1,>ENST00000464866.1,>ENST00000514909.1,>ENST00000458200.2,>ENST00000455252.1,>ENST00000506031.2,>ENST00000411576.2,>ENST00000425003.2,>ENST00000594588.1,>ENST00000558168.1,>ENST00000522128.1,>ENST00000567850.1,>ENST00000523708.1,>ENST00000445336.2,>ENST00000455643.1,>ENST00000426382.2,>ENST00000457867.1,>ENST00000554408.1,ENSG00000241392.3,>ENST00000553295.2,>ENST00000526979.1,>ENST00000605152.1,>ENST00000504523.2,>ENST00000618202.1,>ENST00000443208.1,>ENST00000623392.3,>ENST00000440620.1
>ENST00000458172.1,0.0,8.0,9.0,10.0,9.0,9.0,7.0,9.0,10.0,8.0,7.0,11.0,9.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,7.0,8.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,8.0,119.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,8.0,7.0,9.0,8.0,9.0,7.0
>ENST00000446109.1,8.0,0.0,12.0,11.0,10.0,9.0,8.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,8.0,12.0,13.0,7.0,7.0,9.0,8.0,9.0,10.0,8.0,9.0,11.0,12.0,11.0,8.0,12.0,8.0,10.0,9.0,8.0,11.0,8.0,10.0,8.0,8.0,10.0,9.0,11.0,9.0,9.0,9.0,8.0
>ENST00000527287.1,9.0,12.0,0.0,9.0,12.0,8.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,7.0,11.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,9.0,8.0,10.0,9.0,13.0,10.0,11.0,12.0,9.0,9.0,11.0,12.0,10.0,8.0,8.0,11.0,10.0,10.0,9.0
>ENST00000503482.1,10.0,11.0,9.0,0.0,9.0,8.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,11.0,8.0,9.0,10.0,11.0,9.0,8.0,6.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,12.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,8.0,9.0,8.0,9.0,9.0,7.0,9.0,11.0,10.0,10.0,9.0
>ENST00000454101.1,9.0,10.0,12.0,9.0,0.0,8.0,8.0,12.0,10.0,10.0,8.0,11.0,11.0,9.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,11.0,10.0,8.0,10.0,11.0,11.0,8.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0,10.0,9.0,10.0,11.0
>ENST00000411806.1,9.0,9.0,8.0,8.0,8.0,0.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,9.0,9.0,11.0,9.0,8.0,8.0,8.0,9.0,10.0,7.0,9.0,11.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,10.0,8.0,9.0,7.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,7.0
>ENST00000505182.1,7.0,8.0,8.0,9.0,8.0,8.0,0.0,9.0,7.0,9.0,7.0,9.0,9.0,10.0,9.0,7.0,10.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,5.0,10.0,8.0,9.0,9.0,9.0,10.0,8.0,11.0,7.0,8.0,7.0,8.0,9.0,12.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,6.0,7.0,8.0,10.0,11.0,8.0
>ENST00000482972.1,9.0,11.0,10.0,9.0,12.0,10.0,9.0,0.0,8.0,10.0,10.0,11.0,14.0,12.0,10.0,8.0,12.0,9.0,9.0,8.0,11.0,11.0,12.0,9.0,8.0,11.0,8.0,9.0,9.0,11.0,11.0,11.0,10.0,8.0,10.0,11.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,11.0,8.0
>ENST00000504097.1,10.0,9.0,9.0,7.0,10.0,9.0,7.0,8.0,0.0,9.0,7.0,9.0,9.0,8.0,7.0,8.0,9.0,10.0,8.0,10.0,6.0,8.0,8.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,9.0,9.0,9.0,7.0,9.0,7.0,7.0,8.0,10.0,8.0,9.0,8.0,8.0,8.0,7.0,9.0,7.0,6.0,9.0,10.0,9.0,11.0
>ENST00000437189.1,8.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,0.0,11.0,10.0,11.0,13.0,10.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,11.0,9.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,10.0,9.0,9.0,9.0,11.0,9.0,13.0,9.0,9.0,9.0,8.0,9.0
