,>ENST00000535634.1,>ENST00000604899.1,>ENST00000564410.1,>ENST00000525031.2,>ENST00000411913.1,>ENST00000429404.1,>ENST00000416050.1,>ENST00000525935.1,>ENST00000437175.1,>ENST00000522529.1,>ENST00000520351.1,>ENST00000434717.1,>ENST00000508796.1,>ENST00000434853.1,>ENST00000439042.1,>ENST00000504766.1,>ENST00000405613.1
>ENST00000535634.1,0.0,11.0,10.0,11.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0
>ENST00000604899.1,11.0,0.0,9.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,13.0,8.0,8.0,8.0,9.0,10.0,11.0
>ENST00000564410.1,10.0,9.0,0.0,9.0,10.0,9.0,7.0,8.0,9.0,7.0,10.0,7.0,9.0,7.0,8.0,9.0,8.0
>ENST00000525031.2,11.0,9.0,9.0,0.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,11.0,10.0,10.0,10.0,10.0
>ENST00000411913.1,10.0,10.0,10.0,10.0,0.0,10.0,8.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,9.0,10.0
>ENST00000429404.1,12.0,10.0,9.0,10.0,10.0,0.0,10.0,11.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0
>ENST00000416050.1,9.0,8.0,7.0,10.0,8.0,10.0,0.0,10.0,9.0,8.0,10.0,8.0,11.0,11.0,10.0,9.0,10.0
>ENST00000525935.1,10.0,9.0,8.0,10.0,9.0,11.0,10.0,0.0,10.0,10.0,9.0,9.0,9.0,8.0,13.0,9.0,8.0
>ENST00000437175.1,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,0.0,11.0,10.0,8.0,12.0,8.0,9.0,8.0,9.0
>ENST00000522529.1,9.0,10.0,7.0,9.0,9.0,9.0,8.0,10.0,11.0,0.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0
>ENST00000520351.1,9.0,13.0,10.0,11.0,12.0,11.0,10.0,9.0,10.0,8.0,0.0,8.0,9.0,9.0,10.0,8.0,9.0
>ENST00000434717.1,9.0,8.0,7.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,8.0,0.0,10.0,8.0,10.0,10.0,10.0
>ENST00000508796.1,9.0,8.0,9.0,11.0,10.0,11.0,11.0,9.0,12.0,8.0,9.0,10.0,0.0,9.0,8.0,10.0,9.0
>ENST00000434853.1,10.0,8.0,7.0,10.0,10.0,10.0,11.0,8.0,8.0,8.0,9.0,8.0,9.0,0.0,11.0,9.0,11.0
>ENST00000439042.1,10.0,9.0,8.0,10.0,10.0,10.0,10.0,13.0,9.0,8.0,10.0,10.0,8.0,11.0,0.0,10.0,9.0
>ENST00000504766.1,10.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,0.0,10.0
>ENST00000405613.1,9.0,11.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,0.0
