,>ENST00000487833.2,>ENST00000451661.1,>ENST00000604105.1,>ENST00000523697.1,>ENST00000431810.1,>ENST00000413187.2,>ENST00000429574.1,>ENST00000603829.1,>ENST00000508771.2,>ENST00000393996.2,>ENST00000446367.1,>ENST00000588646.1,>ENST00000460233.5,ENSG00000184155.8,>ENST00000414297.1,>ENST00000441896.1,>ENST00000547032.1,>ENST00000441281.1,>ENST00000427009.1,>ENST00000446267.1,>ENST00000480875.1
>ENST00000487833.2,0.0,12.0,10.0,8.0,11.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,10.0,12.0,9.0,9.0,9.0,8.0
>ENST00000451661.1,12.0,0.0,10.0,8.0,11.0,10.0,9.0,9.0,11.0,11.0,9.0,11.0,10.0,13.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0
>ENST00000604105.1,10.0,10.0,0.0,9.0,11.0,11.0,12.0,10.0,9.0,11.0,11.0,11.0,11.0,10.0,9.0,11.0,12.0,10.0,9.0,10.0,10.0
>ENST00000523697.1,8.0,8.0,9.0,0.0,9.0,7.0,9.0,8.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0,8.0,8.0,9.0
>ENST00000431810.1,11.0,11.0,11.0,9.0,0.0,11.0,12.0,11.0,11.0,9.0,11.0,10.0,11.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,9.0
>ENST00000413187.2,11.0,10.0,11.0,7.0,11.0,0.0,9.0,10.0,11.0,9.0,9.0,10.0,14.0,12.0,8.0,10.0,10.0,9.0,8.0,9.0,11.0
>ENST00000429574.1,8.0,9.0,12.0,9.0,12.0,9.0,0.0,11.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,11.0,8.0,8.0,7.0,9.0,8.0
>ENST00000603829.1,9.0,9.0,10.0,8.0,11.0,10.0,11.0,0.0,10.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,8.0,8.0,11.0,9.0,8.0
>ENST00000508771.2,9.0,11.0,9.0,9.0,11.0,11.0,8.0,10.0,0.0,9.0,9.0,11.0,11.0,10.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0
>ENST00000393996.2,10.0,11.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,0.0,8.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,8.0,9.0,7.0
>ENST00000446367.1,8.0,9.0,11.0,8.0,11.0,9.0,8.0,10.0,9.0,8.0,0.0,8.0,9.0,8.0,9.0,9.0,11.0,9.0,7.0,8.0,7.0
>ENST00000588646.1,9.0,11.0,11.0,10.0,10.0,10.0,9.0,8.0,11.0,10.0,8.0,0.0,9.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0
>ENST00000460233.5,10.0,10.0,11.0,11.0,11.0,14.0,9.0,11.0,11.0,10.0,9.0,9.0,0.0,11.0,10.0,13.0,10.0,8.0,9.0,10.0,10.0
ENSG00000184155.8,10.0,13.0,10.0,9.0,10.0,12.0,8.0,10.0,10.0,10.0,8.0,11.0,11.0,0.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0
>ENST00000414297.1,11.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,0.0,11.0,11.0,9.0,9.0,11.0,8.0
>ENST00000441896.1,10.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,11.0,9.0,11.0,13.0,9.0,11.0,0.0,12.0,9.0,9.0,10.0,10.0
>ENST00000547032.1,12.0,9.0,12.0,9.0,10.0,10.0,8.0,8.0,10.0,11.0,11.0,11.0,10.0,8.0,11.0,12.0,0.0,8.0,9.0,8.0,8.0
>ENST00000441281.1,9.0,8.0,10.0,10.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,8.0,0.0,8.0,7.0,7.0
>ENST00000427009.1,9.0,9.0,9.0,8.0,9.0,8.0,7.0,11.0,8.0,8.0,7.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,0.0,10.0,7.0
>ENST00000446267.1,9.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,11.0,10.0,8.0,7.0,10.0,0.0,8.0
>ENST00000480875.1,8.0,8.0,10.0,9.0,9.0,11.0,8.0,8.0,9.0,7.0,7.0,9.0,10.0,8.0,8.0,10.0,8.0,7.0,7.0,8.0,0.0
