,>ENST00000285383.6,>ENST00000425147.1,>ENST00000473644.1,>ENST00000603201.1,>ENST00000433276.1,>ENST00000449099.1,>ENST00000520478.1,>ENST00000496412.1,>ENST00000610982.1,>ENST00000414044.1,>ENST00000495472.1,ENSG00000150269.1,>ENST00000531233.2,>ENST00000561698.1,>ENST00000525475.1,>ENST00000546905.1,ENSG00000186393.5,>ENST00000445529.1,>ENST00000603877.1,>ENST00000418346.1,>ENST00000425411.1,>ENST00000413308.1,>ENST00000521579.2,>ENST00000584100.1,>ENST00000437993.1,>ENST00000446969.1,>ENST00000422812.1
>ENST00000285383.6,0.0,10.0,10.0,12.0,8.0,9.0,9.0,10.0,11.0,11.0,10.0,9.0,9.0,8.0,9.0,10.0,11.0,9.0,12.0,8.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0
>ENST00000425147.1,10.0,0.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,9.0,10.0,12.0,8.0,10.0,8.0,13.0,10.0,13.0,11.0,7.0,8.0,9.0
>ENST00000473644.1,10.0,9.0,0.0,10.0,9.0,10.0,8.0,10.0,10.0,13.0,9.0,11.0,10.0,10.0,8.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,8.0,8.0,8.0,8.0
>ENST00000603201.1,12.0,8.0,10.0,0.0,10.0,10.0,7.0,8.0,9.0,10.0,9.0,11.0,11.0,10.0,8.0,9.0,11.0,9.0,10.0,7.0,11.0,11.0,8.0,9.0,9.0,8.0,8.0
>ENST00000433276.1,8.0,9.0,9.0,10.0,0.0,11.0,7.0,9.0,11.0,9.0,11.0,10.0,9.0,9.0,8.0,11.0,11.0,13.0,11.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0
>ENST00000449099.1,9.0,10.0,10.0,10.0,11.0,0.0,8.0,12.0,10.0,10.0,9.0,13.0,11.0,9.0,9.0,10.0,13.0,8.0,9.0,9.0,10.0,12.0,10.0,10.0,8.0,9.0,10.0
>ENST00000520478.1,9.0,9.0,8.0,7.0,7.0,8.0,0.0,8.0,8.0,7.0,8.0,7.0,8.0,8.0,7.0,9.0,14.0,11.0,10.0,7.0,8.0,7.0,8.0,10.0,9.0,6.0,7.0
>ENST00000496412.1,10.0,10.0,10.0,8.0,9.0,12.0,8.0,0.0,10.0,9.0,11.0,8.0,9.0,13.0,9.0,11.0,11.0,9.0,10.0,8.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0
>ENST00000610982.1,11.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0,0.0,10.0,8.0,9.0,12.0,9.0,9.0,10.0,11.0,10.0,10.0,10.0,11.0,12.0,12.0,10.0,10.0,10.0,9.0
>ENST00000414044.1,11.0,9.0,13.0,10.0,9.0,10.0,7.0,9.0,10.0,0.0,9.0,9.0,10.0,10.0,9.0,13.0,13.0,9.0,11.0,9.0,10.0,10.0,11.0,9.0,8.0,9.0,8.0
>ENST00000495472.1,10.0,8.0,9.0,9.0,11.0,9.0,8.0,11.0,8.0,9.0,0.0,10.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,8.0,10.0,8.0,8.0,11.0,9.0,8.0,9.0
ENSG00000150269.1,9.0,10.0,11.0,11.0,10.0,13.0,7.0,8.0,9.0,9.0,10.0,0.0,11.0,13.0,10.0,10.0,11.0,20.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,9.0
>ENST00000531233.2,9.0,10.0,10.0,11.0,9.0,11.0,8.0,9.0,12.0,10.0,9.0,11.0,0.0,10.0,9.0,10.0,12.0,10.0,11.0,9.0,10.0,11.0,10.0,9.0,11.0,9.0,9.0
>ENST00000561698.1,8.0,10.0,10.0,10.0,9.0,9.0,8.0,13.0,9.0,10.0,10.0,13.0,10.0,0.0,11.0,10.0,12.0,11.0,13.0,9.0,11.0,11.0,10.0,10.0,9.0,10.0,10.0
>ENST00000525475.1,9.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,9.0,8.0,10.0,9.0,11.0,0.0,10.0,9.0,9.0,10.0,6.0,10.0,8.0,9.0,9.0,9.0,11.0,8.0
>ENST00000546905.1,10.0,10.0,10.0,9.0,11.0,10.0,9.0,11.0,10.0,13.0,9.0,10.0,10.0,10.0,10.0,0.0,12.0,13.0,12.0,12.0,13.0,11.0,12.0,11.0,10.0,9.0,10.0
ENSG00000186393.5,11.0,12.0,11.0,11.0,11.0,13.0,14.0,11.0,11.0,13.0,11.0,11.0,12.0,12.0,9.0,12.0,0.0,11.0,14.0,9.0,11.0,11.0,10.0,11.0,11.0,11.0,12.0
>ENST00000445529.1,9.0,8.0,10.0,9.0,13.0,8.0,11.0,9.0,10.0,9.0,9.0,20.0,10.0,11.0,9.0,13.0,11.0,0.0,11.0,9.0,11.0,11.0,9.0,9.0,10.0,9.0,8.0
>ENST00000603877.1,12.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,13.0,10.0,12.0,14.0,11.0,0.0,10.0,10.0,11.0,12.0,12.0,9.0,10.0,9.0
>ENST00000418346.1,8.0,8.0,9.0,7.0,8.0,9.0,7.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,6.0,12.0,9.0,9.0,10.0,0.0,9.0,17.0,8.0,11.0,9.0,7.0,8.0
>ENST00000425411.1,10.0,13.0,11.0,11.0,9.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,11.0,10.0,13.0,11.0,11.0,10.0,9.0,0.0,9.0,10.0,10.0,9.0,9.0,10.0
>ENST00000413308.1,9.0,10.0,10.0,11.0,10.0,12.0,7.0,9.0,12.0,10.0,8.0,9.0,11.0,11.0,8.0,11.0,11.0,11.0,11.0,17.0,9.0,0.0,14.0,11.0,10.0,11.0,9.0
>ENST00000521579.2,11.0,13.0,9.0,8.0,10.0,10.0,8.0,12.0,12.0,11.0,8.0,11.0,10.0,10.0,9.0,12.0,10.0,9.0,12.0,8.0,10.0,14.0,0.0,10.0,10.0,12.0,9.0
>ENST00000584100.1,11.0,11.0,8.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,12.0,11.0,10.0,11.0,10.0,0.0,10.0,8.0,10.0
>ENST00000437993.1,10.0,7.0,8.0,9.0,10.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,11.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,0.0,8.0,9.0
>ENST00000446969.1,8.0,8.0,8.0,8.0,10.0,9.0,6.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,11.0,9.0,10.0,7.0,9.0,11.0,12.0,8.0,8.0,0.0,8.0
>ENST00000422812.1,9.0,9.0,8.0,8.0,10.0,10.0,7.0,10.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,10.0,12.0,8.0,9.0,8.0,10.0,9.0,9.0,10.0,9.0,8.0,0.0
