,>ENST00000522430.1,>ENST00000472975.1,>ENST00000377712.3,>ENST00000555221.3,>ENST00000414048.1,>ENST00000455491.1,>ENST00000456143.1,>ENST00000481459.2,>ENST00000509187.2,>ENST00000514311.2,>ENST00000484182.1,>ENST00000428627.1,>ENST00000440916.1,>ENST00000473402.1,>ENST00000403958.1,>ENST00000454157.1,>ENST00000471393.1,>ENST00000432048.1,>ENST00000589460.1,>ENST00000548856.1
>ENST00000522430.1,0.0,10.0,9.0,10.0,11.0,9.0,12.0,10.0,11.0,13.0,8.0,8.0,9.0,8.0,11.0,11.0,10.0,10.0,9.0,12.0
>ENST00000472975.1,10.0,0.0,9.0,13.0,11.0,8.0,9.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,247.0,9.0,9.0,11.0
>ENST00000377712.3,9.0,9.0,0.0,10.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,8.0,12.0,9.0,10.0,8.0,10.0,12.0,11.0
>ENST00000555221.3,10.0,13.0,10.0,0.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,13.0,8.0,8.0,9.0
>ENST00000414048.1,11.0,11.0,10.0,8.0,0.0,9.0,9.0,11.0,8.0,11.0,8.0,8.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,11.0
>ENST00000455491.1,9.0,8.0,8.0,10.0,9.0,0.0,9.0,9.0,12.0,9.0,9.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,8.0,9.0
>ENST00000456143.1,12.0,9.0,10.0,11.0,9.0,9.0,0.0,10.0,10.0,10.0,13.0,9.0,10.0,9.0,9.0,10.0,11.0,9.0,10.0,10.0
>ENST00000481459.2,10.0,10.0,10.0,9.0,11.0,9.0,10.0,0.0,10.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,8.0,9.0,9.0,14.0
>ENST00000509187.2,11.0,11.0,8.0,9.0,8.0,12.0,10.0,10.0,0.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,12.0
>ENST00000514311.2,13.0,10.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,0.0,11.0,8.0,11.0,9.0,10.0,9.0,9.0,10.0,8.0,13.0
>ENST00000484182.1,8.0,10.0,9.0,8.0,8.0,9.0,13.0,9.0,9.0,11.0,0.0,8.0,8.0,9.0,9.0,8.0,8.0,12.0,8.0,10.0
>ENST00000428627.1,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,0.0,9.0,8.0,8.0,10.0,8.0,8.0,8.0,9.0
>ENST00000440916.1,9.0,10.0,8.0,8.0,11.0,9.0,10.0,11.0,8.0,11.0,8.0,9.0,0.0,7.0,9.0,8.0,8.0,7.0,8.0,10.0
>ENST00000473402.1,8.0,10.0,12.0,8.0,9.0,7.0,9.0,11.0,9.0,9.0,9.0,8.0,7.0,0.0,9.0,11.0,7.0,9.0,10.0,9.0
>ENST00000403958.1,11.0,8.0,9.0,10.0,8.0,7.0,9.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,0.0,9.0,8.0,9.0,8.0,11.0
>ENST00000454157.1,11.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,10.0,8.0,11.0,9.0,0.0,10.0,11.0,11.0,13.0
>ENST00000471393.1,10.0,247.0,8.0,13.0,8.0,9.0,11.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,8.0,10.0,0.0,9.0,11.0,11.0
>ENST00000432048.1,10.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,12.0,8.0,7.0,9.0,9.0,11.0,9.0,0.0,8.0,11.0
>ENST00000589460.1,9.0,9.0,12.0,8.0,10.0,8.0,10.0,9.0,10.0,8.0,8.0,8.0,8.0,10.0,8.0,11.0,11.0,8.0,0.0,11.0
>ENST00000548856.1,12.0,11.0,11.0,9.0,11.0,9.0,10.0,14.0,12.0,13.0,10.0,9.0,10.0,9.0,11.0,13.0,11.0,11.0,11.0,0.0
