,>ENST00000505520.1,>ENST00000395181.2,>ENST00000427435.1,>ENST00000494902.1,>ENST00000415059.1,>ENST00000414613.1,>ENST00000325612.5,ENSG00000255690.2,>ENST00000509986.1,ENSG00000201744.1,>ENST00000614131.1,>ENST00000462872.1,>ENST00000436212.1,>ENST00000428076.1,>ENST00000473586.1,>ENST00000429127.2,>ENST00000504783.1,>ENST00000512554.1,>ENST00000560953.2,>ENST00000509378.1,>ENST00000472952.2,>ENST00000604227.1,>ENST00000557166.1
>ENST00000505520.1,0.0,10.0,7.0,9.0,9.0,9.0,9.0,10.0,9.0,7.0,11.0,10.0,10.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0
>ENST00000395181.2,10.0,0.0,9.0,7.0,9.0,10.0,8.0,12.0,10.0,8.0,10.0,9.0,9.0,10.0,7.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0
>ENST00000427435.1,7.0,9.0,0.0,8.0,8.0,9.0,8.0,11.0,8.0,7.0,8.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,11.0,7.0,8.0,9.0
>ENST00000494902.1,9.0,7.0,8.0,0.0,9.0,13.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,7.0,9.0,8.0,10.0,8.0,13.0,10.0,8.0,9.0
>ENST00000415059.1,9.0,9.0,8.0,9.0,0.0,9.0,10.0,12.0,11.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0
>ENST00000414613.1,9.0,10.0,9.0,13.0,9.0,0.0,9.0,12.0,11.0,8.0,9.0,10.0,11.0,11.0,8.0,11.0,10.0,10.0,9.0,13.0,9.0,10.0,12.0
>ENST00000325612.5,9.0,8.0,8.0,10.0,10.0,9.0,0.0,10.0,10.0,7.0,8.0,10.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,10.0,10.0,9.0,10.0
ENSG00000255690.2,10.0,12.0,11.0,10.0,12.0,12.0,10.0,0.0,11.0,11.0,11.0,11.0,10.0,12.0,9.0,10.0,9.0,9.0,11.0,11.0,11.0,9.0,12.0
>ENST00000509986.1,9.0,10.0,8.0,10.0,11.0,11.0,10.0,11.0,0.0,8.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,8.0,12.0,10.0,10.0,10.0
ENSG00000201744.1,7.0,8.0,7.0,8.0,8.0,8.0,7.0,11.0,8.0,0.0,7.0,8.0,8.0,8.0,6.0,12.0,9.0,7.0,6.0,8.0,7.0,8.0,7.0
>ENST00000614131.1,11.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,7.0,0.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,10.0,9.0,9.0,8.0
>ENST00000462872.1,10.0,9.0,7.0,9.0,8.0,10.0,10.0,11.0,9.0,8.0,9.0,0.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0,10.0,10.0,13.0,10.0
>ENST00000436212.1,10.0,9.0,7.0,9.0,8.0,11.0,9.0,10.0,9.0,8.0,8.0,10.0,0.0,9.0,8.0,10.0,8.0,9.0,9.0,10.0,10.0,12.0,9.0
>ENST00000428076.1,8.0,10.0,7.0,9.0,9.0,11.0,9.0,12.0,9.0,8.0,9.0,10.0,9.0,0.0,8.0,10.0,8.0,10.0,8.0,10.0,8.0,8.0,9.0
>ENST00000473586.1,8.0,7.0,6.0,7.0,8.0,8.0,8.0,9.0,8.0,6.0,9.0,8.0,8.0,8.0,0.0,9.0,8.0,7.0,6.0,9.0,9.0,7.0,10.0
>ENST00000429127.2,9.0,10.0,7.0,9.0,10.0,11.0,9.0,10.0,11.0,12.0,9.0,11.0,10.0,10.0,9.0,0.0,10.0,13.0,10.0,12.0,10.0,9.0,10.0
>ENST00000504783.1,9.0,9.0,7.0,8.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,0.0,9.0,8.0,10.0,9.0,9.0,9.0
>ENST00000512554.1,9.0,10.0,7.0,10.0,9.0,10.0,8.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,7.0,13.0,9.0,0.0,7.0,10.0,9.0,11.0,9.0
>ENST00000560953.2,9.0,9.0,7.0,8.0,10.0,9.0,9.0,11.0,8.0,6.0,8.0,9.0,9.0,8.0,6.0,10.0,8.0,7.0,0.0,10.0,9.0,9.0,10.0
>ENST00000509378.1,10.0,9.0,11.0,13.0,9.0,13.0,10.0,11.0,12.0,8.0,10.0,10.0,10.0,10.0,9.0,12.0,10.0,10.0,10.0,0.0,11.0,10.0,11.0
>ENST00000472952.2,10.0,9.0,7.0,10.0,9.0,9.0,10.0,11.0,10.0,7.0,9.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,11.0,0.0,9.0,12.0
>ENST00000604227.1,8.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,8.0,9.0,13.0,12.0,8.0,7.0,9.0,9.0,11.0,9.0,10.0,9.0,0.0,9.0
>ENST00000557166.1,9.0,10.0,9.0,9.0,9.0,12.0,10.0,12.0,10.0,7.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,11.0,12.0,9.0,0.0
