,>ENST00000518953.1,>ENST00000600416.1,>ENST00000490892.1,>ENST00000474462.1,>ENST00000596811.1,>ENST00000444514.1,>ENST00000418987.2,>ENST00000422490.1,>ENST00000407447.1,>ENST00000515049.1,>ENST00000445880.1,>ENST00000451163.2,>ENST00000306399.3,>ENST00000399891.2,>ENST00000523776.1,>ENST00000572673.1,>ENST00000507986.1,>ENST00000523451.2,>ENST00000494093.2,>ENST00000490759.1,>ENST00000447420.1,>ENST00000445840.2,>ENST00000562584.1,>ENST00000424240.1,>ENST00000422522.1,>ENST00000456978.1,>ENST00000403495.2,>ENST00000432613.1,>ENST00000514992.2,>ENST00000379571.3,>ENST00000435337.1,>ENST00000469948.1,>ENST00000599446.1,>ENST00000603606.1,>ENST00000555758.1,>ENST00000406602.1,>ENST00000519581.1,>ENST00000449287.1,>ENST00000529136.1,>ENST00000444025.1,>ENST00000515236.1,>ENST00000506678.1,>ENST00000553815.2,ENSG00000252179.1,>ENST00000399414.2,>ENST00000439625.1,>ENST00000521340.1,>ENST00000402913.2,>ENST00000442565.1,>ENST00000557256.2,>ENST00000490376.1,>ENST00000429032.1,ENSG00000227140.3,>ENST00000630473.1,>ENST00000557424.1,>ENST00000604056.1
>ENST00000518953.1,0.0,7.0,8.0,9.0,9.0,8.0,11.0,9.0,9.0,8.0,6.0,121.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,7.0,11.0,10.0,8.0,7.0,10.0,10.0,8.0,7.0,10.0,9.0,9.0,10.0,9.0,7.0,9.0,10.0,9.0,6.0,7.0,11.0,10.0,9.0,8.0,7.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0
>ENST00000600416.1,7.0,0.0,7.0,9.0,10.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,7.0,8.0,9.0,8.0,11.0,9.0,9.0,8.0,11.0,10.0,11.0,8.0,9.0,9.0,10.0,12.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,9.0,7.0,7.0,11.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,8.0,10.0,9.0,9.0
>ENST00000490892.1,8.0,7.0,0.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0,8.0,7.0,10.0,10.0,8.0,10.0,28.0,9.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,9.0,10.0,9.0,7.0,12.0,8.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,7.0,9.0,9.0,9.0,10.0,9.0,11.0,7.0,11.0,11.0,7.0,10.0,10.0
>ENST00000474462.1,9.0,9.0,9.0,0.0,9.0,8.0,10.0,11.0,10.0,10.0,11.0,8.0,11.0,10.0,9.0,10.0,10.0,11.0,12.0,9.0,14.0,10.0,8.0,10.0,9.0,11.0,12.0,10.0,11.0,11.0,10.0,10.0,7.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,11.0,12.0,9.0,8.0,12.0,7.0,10.0,10.0,8.0,12.0,10.0
>ENST00000596811.1,9.0,10.0,9.0,9.0,0.0,9.0,11.0,12.0,10.0,10.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,11.0,11.0,9.0,11.0,10.0,11.0,12.0,10.0,9.0,11.0,10.0,10.0,8.0,19.0,9.0,9.0,12.0,9.0,8.0,11.0,10.0,9.0,8.0,8.0,14.0,9.0,11.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,13.0,11.0
>ENST00000444514.1,8.0,7.0,10.0,8.0,9.0,0.0,9.0,9.0,8.0,12.0,7.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,8.0,7.0,10.0,9.0,8.0,8.0,9.0,10.0,11.0,10.0,8.0,7.0,6.0,9.0,8.0,8.0,9.0,8.0,10.0,7.0,8.0,9.0,8.0,9.0,9.0
>ENST00000418987.2,11.0,9.0,10.0,10.0,11.0,9.0,0.0,10.0,9.0,13.0,10.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,14.0,10.0,10.0,8.0,9.0,12.0,9.0,10.0,10.0,11.0,9.0,12.0,9.0,9.0,8.0,13.0,9.0,8.0,10.0,10.0,9.0,10.0,11.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,8.0,10.0,8.0,10.0,11.0,9.0,10.0,12.0
>ENST00000422490.1,9.0,8.0,9.0,11.0,12.0,9.0,10.0,0.0,10.0,14.0,8.0,9.0,10.0,10.0,8.0,9.0,11.0,10.0,11.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,11.0,10.0,9.0,11.0,11.0,10.0,7.0,11.0,9.0,9.0,10.0,9.0,8.0,11.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,9.0
>ENST00000407447.1,9.0,8.0,8.0,10.0,10.0,8.0,9.0,10.0,0.0,10.0,7.0,9.0,10.0,11.0,9.0,9.0,8.0,8.0,9.0,88.0,10.0,8.0,8.0,10.0,9.0,10.0,13.0,10.0,9.0,9.0,10.0,11.0,7.0,10.0,9.0,8.0,9.0,11.0,8.0,10.0,10.0,12.0,8.0,8.0,8.0,8.0,12.0,12.0,9.0,10.0,8.0,9.0,10.0,7.0,10.0,13.0
>ENST00000515049.1,8.0,9.0,9.0,10.0,10.0,12.0,13.0,14.0,10.0,0.0,9.0,10.0,11.0,10.0,9.0,10.0,11.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,12.0,11.0,8.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0,9.0,9.0,11.0
>ENST00000445880.1,6.0,9.0,9.0,11.0,9.0,7.0,10.0,8.0,7.0,9.0,0.0,6.0,8.0,7.0,7.0,8.0,9.0,7.0,8.0,7.0,8.0,6.0,8.0,10.0,7.0,9.0,7.0,8.0,6.0,9.0,9.0,11.0,6.0,9.0,8.0,7.0,7.0,8.0,6.0,8.0,8.0,9.0,7.0,7.0,15.0,9.0,8.0,11.0,8.0,9.0,7.0,8.0,10.0,8.0,7.0,10.0
>ENST00000451163.2,121.0,8.0,9.0,8.0,8.0,9.0,11.0,9.0,9.0,10.0,6.0,0.0,11.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,7.0,11.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,8.0,8.0,10.0
>ENST00000306399.3,8.0,8.0,8.0,11.0,9.0,9.0,9.0,10.0,10.0,11.0,8.0,11.0,0.0,9.0,11.0,11.0,10.0,9.0,10.0,8.0,11.0,11.0,9.0,12.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,9.0,10.0,11.0,9.0,9.0,11.0,9.0,11.0,10.0,10.0,10.0,10.0
>ENST00000399891.2,8.0,8.0,11.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,7.0,9.0,9.0,0.0,8.0,10.0,7.0,12.0,8.0,8.0,11.0,8.0,7.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,7.0,11.0,9.0,11.0,8.0,9.0,9.0,10.0,11.0,8.0,8.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,11.0,10.0
