,ENSG00000245848.2,ENSG00000188257.10,ENSG00000201967.1,ENSG00000207737.1,ENSG00000201596.1,ENSG00000221384.1,ENSG00000199782.1,ENSG00000201852.1,ENSG00000252900.1,ENSG00000068985.4,ENSG00000275230.1,ENSG00000221178.1,ENSG00000177243.3,ENSG00000278040.1,ENSG00000212584.1,ENSG00000158481.12,ENSG00000277168.1,ENSG00000146094.13,ENSG00000221313.2,ENSG00000162975.4,ENSG00000222994.1,ENSG00000280447.1,ENSG00000221562.1,ENSG00000221383.1,ENSG00000174021.10,ENSG00000178358.4,ENSG00000207029.1,ENSG00000223443.2,ENSG00000274794.1,ENSG00000216070.1,ENSG00000176383.8,ENSG00000200732.1,ENSG00000252591.1,ENSG00000207176.1,ENSG00000221185.2,ENSG00000222601.1,ENSG00000200089.1,ENSG00000252686.1,ENSG00000275631.1,ENSG00000277812.1,ENSG00000171496.3,ENSG00000186803.3,ENSG00000240692.3,ENSG00000251967.1,ENSG00000251940.1,ENSG00000241144.3,ENSG00000170683.5,ENSG00000200534.1
ENSG00000245848.2,0.0,13.0,10.0,10.0,9.0,10.0,7.0,8.0,8.0,13.0,9.0,10.0,11.0,8.0,7.0,12.0,13.0,14.0,8.0,14.0,10.0,11.0,9.0,10.0,14.0,11.0,10.0,12.0,9.0,8.0,18.0,9.0,9.0,7.0,10.0,7.0,10.0,8.0,9.0,11.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,7.0
ENSG00000188257.10,13.0,0.0,11.0,10.0,9.0,8.0,9.0,11.0,10.0,28.0,11.0,8.0,12.0,12.0,8.0,13.0,11.0,15.0,8.0,12.0,9.0,10.0,11.0,8.0,13.0,11.0,9.0,12.0,8.0,9.0,12.0,10.0,7.0,9.0,8.0,8.0,9.0,9.0,9.0,9.0,11.0,11.0,11.0,10.0,8.0,10.0,11.0,9.0
ENSG00000201967.1,10.0,11.0,0.0,8.0,6.0,7.0,7.0,8.0,9.0,10.0,10.0,7.0,37.0,8.0,8.0,11.0,8.0,24.0,6.0,11.0,6.0,8.0,7.0,6.0,28.0,10.0,9.0,12.0,6.0,7.0,11.0,6.0,10.0,9.0,6.0,7.0,7.0,9.0,9.0,6.0,9.0,9.0,8.0,7.0,8.0,10.0,10.0,6.0
ENSG00000207737.1,10.0,10.0,8.0,0.0,7.0,6.0,5.0,5.0,7.0,10.0,8.0,6.0,7.0,8.0,5.0,10.0,8.0,9.0,7.0,8.0,6.0,7.0,7.0,7.0,10.0,9.0,7.0,7.0,7.0,6.0,8.0,7.0,6.0,8.0,5.0,7.0,6.0,5.0,7.0,6.0,9.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0
ENSG00000201596.1,9.0,9.0,6.0,7.0,0.0,6.0,6.0,6.0,7.0,10.0,8.0,6.0,10.0,6.0,5.0,9.0,6.0,8.0,6.0,9.0,5.0,8.0,6.0,5.0,9.0,8.0,6.0,9.0,6.0,5.0,8.0,6.0,8.0,7.0,7.0,10.0,6.0,7.0,9.0,6.0,8.0,9.0,7.0,9.0,6.0,7.0,8.0,5.0
ENSG00000221384.1,10.0,8.0,7.0,6.0,6.0,0.0,7.0,6.0,8.0,9.0,6.0,28.0,8.0,6.0,6.0,9.0,8.0,10.0,22.0,7.0,21.0,7.0,5.0,17.0,9.0,9.0,6.0,9.0,26.0,21.0,8.0,7.0,5.0,8.0,17.0,6.0,5.0,7.0,7.0,44.0,8.0,8.0,6.0,5.0,8.0,7.0,8.0,6.0
ENSG00000199782.1,7.0,9.0,7.0,5.0,6.0,7.0,0.0,5.0,6.0,10.0,8.0,5.0,8.0,7.0,6.0,8.0,8.0,10.0,6.0,7.0,5.0,6.0,7.0,6.0,8.0,8.0,6.0,10.0,9.0,5.0,9.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,10.0,8.0,7.0,8.0,6.0,7.0,9.0,7.0
ENSG00000201852.1,8.0,11.0,8.0,5.0,6.0,6.0,5.0,0.0,23.0,12.0,7.0,6.0,9.0,8.0,28.0,9.0,7.0,10.0,6.0,8.0,6.0,8.0,10.0,6.0,9.0,9.0,59.0,9.0,6.0,5.0,10.0,19.0,6.0,6.0,6.0,5.0,7.0,15.0,7.0,5.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,6.0
ENSG00000252900.1,8.0,10.0,9.0,7.0,7.0,8.0,6.0,23.0,0.0,9.0,6.0,7.0,9.0,6.0,14.0,9.0,6.0,12.0,7.0,8.0,7.0,8.0,8.0,8.0,10.0,7.0,43.0,8.0,6.0,7.0,9.0,16.0,5.0,6.0,5.0,6.0,7.0,14.0,7.0,7.0,10.0,8.0,7.0,6.0,9.0,6.0,7.0,7.0
ENSG00000068985.4,13.0,28.0,10.0,10.0,10.0,9.0,10.0,12.0,9.0,0.0,16.0,10.0,20.0,11.0,9.0,15.0,56.0,37.0,9.0,11.0,9.0,10.0,10.0,12.0,55.0,12.0,10.0,12.0,11.0,10.0,23.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,12.0,12.0,11.0,22.0,9.0,12.0,18.0,11.0,10.0
