,ENSG00000278459.1,>ENST00000335179.5,>ENST00000452006.1,ENSG00000266637.1,ENSG00000213171.2,>ENST00000451162.1,>ENST00000582538.1,>ENST00000506742.2,>ENST00000435941.1,>ENST00000447585.1,>ENST00000608233.1,>ENST00000443410.1,>ENST00000430199.1,>ENST00000603335.1,>ENST00000433306.1,>ENST00000451403.1,>ENST00000621305.1,>ENST00000332361.5,>ENST00000376992.2,>ENST00000462503.1,>ENST00000415223.1,>ENST00000472297.2,>ENST00000429025.1,>ENST00000446793.1
ENSG00000278459.1,0.0,8.0,7.0,7.0,10.0,8.0,10.0,12.0,9.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0
>ENST00000335179.5,8.0,0.0,8.0,8.0,11.0,9.0,8.0,8.0,9.0,9.0,7.0,11.0,7.0,8.0,8.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,12.0,8.0
>ENST00000452006.1,7.0,8.0,0.0,6.0,11.0,8.0,11.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,12.0,9.0,8.0,9.0,9.0,9.0,10.0,8.0,8.0
ENSG00000266637.1,7.0,8.0,6.0,0.0,12.0,7.0,9.0,7.0,9.0,9.0,6.0,7.0,6.0,8.0,8.0,7.0,8.0,6.0,7.0,8.0,9.0,9.0,8.0,8.0
ENSG00000213171.2,10.0,11.0,11.0,12.0,0.0,10.0,10.0,12.0,14.0,13.0,13.0,11.0,11.0,12.0,11.0,13.0,11.0,10.0,10.0,13.0,12.0,12.0,10.0,9.0
>ENST00000451162.1,8.0,9.0,8.0,7.0,10.0,0.0,10.0,9.0,14.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,13.0,11.0
>ENST00000582538.1,10.0,8.0,11.0,9.0,10.0,10.0,0.0,10.0,9.0,11.0,10.0,9.0,9.0,12.0,10.0,9.0,11.0,9.0,9.0,12.0,9.0,9.0,9.0,8.0
>ENST00000506742.2,12.0,8.0,9.0,7.0,12.0,9.0,10.0,0.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,9.0
>ENST00000435941.1,9.0,9.0,9.0,9.0,14.0,14.0,9.0,11.0,0.0,12.0,11.0,10.0,10.0,10.0,12.0,12.0,11.0,12.0,12.0,9.0,10.0,11.0,10.0,9.0
>ENST00000447585.1,9.0,9.0,9.0,9.0,13.0,9.0,11.0,11.0,12.0,0.0,10.0,10.0,9.0,14.0,10.0,11.0,13.0,10.0,12.0,10.0,11.0,12.0,10.0,11.0
>ENST00000608233.1,11.0,7.0,8.0,6.0,13.0,10.0,10.0,10.0,11.0,10.0,0.0,10.0,7.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,11.0,10.0,9.0,9.0
>ENST00000443410.1,9.0,11.0,8.0,7.0,11.0,9.0,9.0,10.0,10.0,10.0,10.0,0.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0
>ENST00000430199.1,8.0,7.0,9.0,6.0,11.0,8.0,9.0,11.0,10.0,9.0,7.0,9.0,0.0,9.0,11.0,10.0,9.0,8.0,10.0,11.0,8.0,10.0,9.0,9.0
>ENST00000603335.1,9.0,8.0,9.0,8.0,12.0,11.0,12.0,9.0,10.0,14.0,10.0,10.0,9.0,0.0,9.0,9.0,15.0,10.0,9.0,9.0,10.0,12.0,9.0,8.0
>ENST00000433306.1,8.0,8.0,9.0,8.0,11.0,9.0,10.0,10.0,12.0,10.0,9.0,10.0,11.0,9.0,0.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0
