,>ENST00000299783.6,>ENST00000504759.1,>ENST00000506227.2,>ENST00000591258.1,>ENST00000567192.1,>ENST00000469206.1,>ENST00000416539.1,>ENST00000581726.1,>ENST00000417503.1,>ENST00000434005.1,>ENST00000458585.1,>ENST00000464731.1,>ENST00000431451.2,>ENST00000457582.1,>ENST00000600996.1,>ENST00000448124.1,>ENST00000419579.2,>ENST00000425093.1,>ENST00000441958.2,>ENST00000442611.2,>ENST00000613728.1,>ENST00000550242.1,>ENST00000434705.1,>ENST00000565821.1,>ENST00000507055.1,>ENST00000511169.1,>ENST00000440466.1
>ENST00000299783.6,0.0,13.0,11.0,9.0,7.0,9.0,14.0,11.0,10.0,10.0,12.0,9.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,11.0
>ENST00000504759.1,13.0,0.0,12.0,7.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,11.0,18.0,10.0,11.0,9.0,11.0,9.0,9.0
>ENST00000506227.2,11.0,12.0,0.0,9.0,8.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,12.0,8.0,9.0,12.0,10.0,12.0,12.0,11.0,9.0,9.0
>ENST00000591258.1,9.0,7.0,9.0,0.0,9.0,8.0,9.0,8.0,8.0,9.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,9.0,6.0,8.0,10.0,9.0,9.0,8.0,10.0,9.0,7.0
>ENST00000567192.1,7.0,9.0,8.0,9.0,0.0,8.0,8.0,11.0,7.0,9.0,8.0,10.0,7.0,7.0,8.0,8.0,7.0,10.0,6.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,7.0
>ENST00000469206.1,9.0,9.0,9.0,8.0,8.0,0.0,9.0,8.0,8.0,10.0,9.0,9.0,10.0,7.0,8.0,10.0,9.0,9.0,7.0,9.0,8.0,10.0,8.0,9.0,10.0,9.0,8.0
>ENST00000416539.1,14.0,10.0,11.0,9.0,8.0,9.0,0.0,11.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,11.0,9.0,11.0,11.0,9.0
>ENST00000581726.1,11.0,10.0,10.0,8.0,11.0,8.0,11.0,0.0,12.0,10.0,9.0,9.0,9.0,8.0,11.0,8.0,9.0,13.0,8.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0
>ENST00000417503.1,10.0,8.0,10.0,8.0,7.0,8.0,9.0,12.0,0.0,9.0,8.0,8.0,9.0,7.0,10.0,8.0,7.0,11.0,7.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0
>ENST00000434005.1,10.0,10.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,0.0,9.0,9.0,9.0,10.0,13.0,9.0,10.0,13.0,8.0,12.0,10.0,10.0,11.0,10.0,14.0,10.0,9.0
>ENST00000458585.1,12.0,9.0,9.0,7.0,8.0,9.0,10.0,9.0,8.0,9.0,0.0,7.0,8.0,8.0,11.0,12.0,11.0,10.0,8.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,8.0
>ENST00000464731.1,9.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,8.0,9.0,7.0,0.0,8.0,7.0,8.0,8.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,7.0,10.0,8.0,9.0
>ENST00000431451.2,9.0,10.0,9.0,7.0,7.0,10.0,12.0,9.0,9.0,9.0,8.0,8.0,0.0,8.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,9.0
>ENST00000457582.1,9.0,10.0,10.0,8.0,7.0,7.0,9.0,8.0,7.0,10.0,8.0,7.0,8.0,0.0,10.0,8.0,9.0,9.0,6.0,8.0,9.0,7.0,11.0,8.0,13.0,8.0,7.0
>ENST00000600996.1,10.0,9.0,10.0,8.0,8.0,8.0,10.0,11.0,10.0,13.0,11.0,8.0,8.0,10.0,0.0,10.0,9.0,12.0,7.0,10.0,12.0,11.0,9.0,9.0,11.0,10.0,9.0
>ENST00000448124.1,9.0,9.0,9.0,7.0,8.0,10.0,9.0,8.0,8.0,9.0,12.0,8.0,8.0,8.0,10.0,0.0,7.0,8.0,6.0,9.0,11.0,10.0,8.0,6.0,9.0,8.0,7.0
>ENST00000419579.2,9.0,11.0,10.0,7.0,7.0,9.0,10.0,9.0,7.0,10.0,11.0,8.0,8.0,9.0,9.0,7.0,0.0,10.0,8.0,8.0,10.0,11.0,10.0,8.0,11.0,8.0,7.0
>ENST00000425093.1,12.0,9.0,12.0,9.0,10.0,9.0,10.0,13.0,11.0,13.0,10.0,9.0,10.0,9.0,12.0,8.0,10.0,0.0,10.0,11.0,11.0,11.0,12.0,13.0,13.0,10.0,9.0
>ENST00000441958.2,9.0,9.0,8.0,6.0,6.0,7.0,8.0,8.0,7.0,8.0,8.0,10.0,8.0,6.0,7.0,6.0,8.0,10.0,0.0,7.0,9.0,7.0,8.0,7.0,9.0,9.0,7.0
>ENST00000442611.2,10.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,12.0,10.0,9.0,8.0,8.0,10.0,9.0,8.0,11.0,7.0,0.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0
>ENST00000613728.1,10.0,18.0,12.0,10.0,9.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,12.0,11.0,10.0,11.0,9.0,10.0,0.0,9.0,10.0,8.0,10.0,10.0,9.0
>ENST00000550242.1,10.0,10.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,7.0,11.0,10.0,11.0,11.0,7.0,10.0,9.0,0.0,10.0,9.0,11.0,9.0,8.0
>ENST00000434705.1,10.0,11.0,12.0,9.0,9.0,8.0,11.0,10.0,10.0,11.0,9.0,11.0,8.0,11.0,9.0,8.0,10.0,12.0,8.0,10.0,10.0,10.0,0.0,10.0,11.0,11.0,9.0
>ENST00000565821.1,10.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,9.0,8.0,9.0,6.0,8.0,13.0,7.0,9.0,8.0,9.0,10.0,0.0,10.0,11.0,8.0
>ENST00000507055.1,12.0,11.0,11.0,10.0,8.0,10.0,11.0,9.0,10.0,14.0,10.0,10.0,8.0,13.0,11.0,9.0,11.0,13.0,9.0,10.0,10.0,11.0,11.0,10.0,0.0,10.0,11.0
>ENST00000511169.1,10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,10.0,8.0,8.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,9.0,11.0,11.0,10.0,0.0,8.0
>ENST00000440466.1,11.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,7.0,9.0,7.0,7.0,9.0,7.0,9.0,9.0,8.0,9.0,8.0,11.0,8.0,0.0
