,ENSG00000201633.1,ENSG00000207403.1,ENSG00000200800.1,ENSG00000204880.7,ENSG00000223174.1,ENSG00000200683.1,ENSG00000180921.6,ENSG00000200295.1,ENSG00000211984.2,ENSG00000187866.7,ENSG00000252634.1,ENSG00000200756.1,ENSG00000200485.1,ENSG00000253059.1,ENSG00000275668.1,ENSG00000251858.1,ENSG00000140505.6,ENSG00000201563.1,ENSG00000207752.1,ENSG00000201830.1,ENSG00000212434.2,ENSG00000202260.1,ENSG00000253409.1,ENSG00000274202.1,ENSG00000212475.1,ENSG00000199713.1,ENSG00000200615.1,ENSG00000206896.1,ENSG00000212429.1,ENSG00000200184.1,ENSG00000200566.1,ENSG00000201321.1,ENSG00000046774.9,ENSG00000277233.1
ENSG00000201633.1,0.0,40.0,7.0,8.0,7.0,7.0,8.0,5.0,5.0,10.0,7.0,6.0,41.0,6.0,7.0,6.0,9.0,7.0,5.0,8.0,8.0,7.0,9.0,6.0,5.0,6.0,9.0,7.0,6.0,7.0,7.0,7.0,11.0,6.0
ENSG00000207403.1,40.0,0.0,7.0,10.0,9.0,7.0,9.0,6.0,6.0,9.0,7.0,7.0,36.0,6.0,9.0,6.0,10.0,7.0,7.0,8.0,8.0,10.0,9.0,6.0,6.0,7.0,9.0,6.0,6.0,7.0,6.0,7.0,11.0,7.0
ENSG00000200800.1,7.0,7.0,0.0,8.0,7.0,8.0,9.0,8.0,8.0,10.0,9.0,7.0,7.0,6.0,6.0,6.0,9.0,6.0,7.0,7.0,7.0,7.0,8.0,6.0,6.0,7.0,6.0,8.0,10.0,22.0,7.0,7.0,10.0,8.0
ENSG00000204880.7,8.0,10.0,8.0,0.0,10.0,8.0,12.0,7.0,7.0,12.0,9.0,9.0,9.0,9.0,9.0,8.0,12.0,8.0,8.0,8.0,11.0,8.0,8.0,8.0,6.0,7.0,9.0,8.0,8.0,8.0,8.0,8.0,11.0,9.0
ENSG00000223174.1,7.0,9.0,7.0,10.0,0.0,8.0,12.0,7.0,6.0,11.0,10.0,7.0,8.0,8.0,7.0,7.0,12.0,6.0,7.0,8.0,8.0,49.0,7.0,7.0,9.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,10.0,11.0
ENSG00000200683.1,7.0,7.0,8.0,8.0,8.0,0.0,10.0,49.0,6.0,9.0,9.0,38.0,7.0,9.0,6.0,6.0,11.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,24.0,7.0,12.0,56.0,6.0,8.0,8.0,5.0,9.0,7.0
ENSG00000180921.6,8.0,9.0,9.0,12.0,12.0,10.0,0.0,10.0,8.0,14.0,10.0,10.0,9.0,10.0,9.0,10.0,78.0,9.0,9.0,9.0,10.0,10.0,13.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,12.0,9.0,13.0,12.0
ENSG00000200295.1,5.0,6.0,8.0,7.0,7.0,49.0,10.0,0.0,6.0,12.0,7.0,30.0,5.0,7.0,6.0,7.0,8.0,6.0,7.0,5.0,7.0,7.0,8.0,5.0,16.0,7.0,12.0,51.0,6.0,10.0,9.0,6.0,10.0,7.0
ENSG00000211984.2,5.0,6.0,8.0,7.0,6.0,6.0,8.0,6.0,0.0,9.0,6.0,6.0,6.0,6.0,7.0,8.0,9.0,6.0,6.0,7.0,7.0,6.0,7.0,7.0,6.0,8.0,7.0,6.0,6.0,6.0,7.0,5.0,9.0,6.0
ENSG00000187866.7,10.0,9.0,10.0,12.0,11.0,9.0,14.0,12.0,9.0,0.0,12.0,9.0,12.0,11.0,9.0,9.0,13.0,10.0,9.0,11.0,11.0,11.0,11.0,9.0,8.0,10.0,9.0,9.0,10.0,12.0,9.0,8.0,12.0,10.0
ENSG00000252634.1,7.0,7.0,9.0,9.0,10.0,9.0,10.0,7.0,6.0,12.0,0.0,9.0,7.0,9.0,8.0,7.0,11.0,8.0,7.0,7.0,7.0,9.0,8.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,8.0,7.0,10.0,8.0
ENSG00000200756.1,6.0,7.0,7.0,9.0,7.0,38.0,10.0,30.0,6.0,9.0,9.0,0.0,7.0,9.0,6.0,6.0,11.0,5.0,6.0,5.0,8.0,8.0,7.0,7.0,22.0,7.0,11.0,44.0,6.0,8.0,6.0,6.0,9.0,7.0
ENSG00000200485.1,41.0,36.0,7.0,9.0,8.0,7.0,9.0,5.0,6.0,12.0,7.0,7.0,0.0,8.0,7.0,8.0,9.0,11.0,5.0,12.0,8.0,9.0,12.0,6.0,6.0,6.0,8.0,7.0,7.0,6.0,7.0,5.0,9.0,8.0
ENSG00000253059.1,6.0,6.0,6.0,9.0,8.0,9.0,10.0,7.0,6.0,11.0,9.0,9.0,8.0,0.0,6.0,35.0,10.0,8.0,6.0,7.0,7.0,8.0,8.0,6.0,9.0,6.0,7.0,9.0,7.0,7.0,6.0,6.0,10.0,8.0
ENSG00000275668.1,7.0,9.0,6.0,9.0,7.0,6.0,9.0,6.0,7.0,9.0,8.0,6.0,7.0,6.0,0.0,6.0,10.0,7.0,9.0,7.0,7.0,7.0,7.0,6.0,8.0,6.0,6.0,6.0,7.0,7.0,6.0,6.0,10.0,7.0
ENSG00000251858.1,6.0,6.0,6.0,8.0,7.0,6.0,10.0,7.0,8.0,9.0,7.0,6.0,8.0,35.0,6.0,0.0,11.0,8.0,6.0,7.0,8.0,7.0,8.0,8.0,6.0,9.0,7.0,7.0,7.0,7.0,6.0,7.0,9.0,8.0
ENSG00000140505.6,9.0,10.0,9.0,12.0,12.0,11.0,78.0,8.0,9.0,13.0,11.0,11.0,9.0,10.0,10.0,11.0,0.0,9.0,8.0,9.0,11.0,11.0,11.0,10.0,9.0,10.0,9.0,11.0,9.0,12.0,10.0,9.0,15.0,21.0
ENSG00000201563.1,7.0,7.0,6.0,8.0,6.0,6.0,9.0,6.0,6.0,10.0,8.0,5.0,11.0,8.0,7.0,8.0,9.0,0.0,8.0,32.0,7.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,9.0,7.0
ENSG00000207752.1,5.0,7.0,7.0,8.0,7.0,6.0,9.0,7.0,6.0,9.0,7.0,6.0,5.0,6.0,9.0,6.0,8.0,8.0,0.0,7.0,6.0,7.0,7.0,5.0,6.0,9.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0
