,>ENST00000505398.2,>ENST00000561405.1,>ENST00000419756.2,>ENST00000452297.1,>ENST00000567349.1,>ENST00000482895.2,>ENST00000429649.1,>ENST00000614446.1,>ENST00000605757.1,>ENST00000490086.1,>ENST00000493052.2,>ENST00000437933.1,>ENST00000413399.3,>ENST00000407630.1
>ENST00000505398.2,0.0,9.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,9.0
>ENST00000561405.1,9.0,0.0,11.0,12.0,8.0,11.0,12.0,8.0,8.0,10.0,10.0,12.0,9.0,13.0
>ENST00000419756.2,11.0,11.0,0.0,8.0,10.0,8.0,10.0,11.0,8.0,10.0,10.0,9.0,11.0,11.0
>ENST00000452297.1,9.0,12.0,8.0,0.0,8.0,8.0,11.0,10.0,9.0,7.0,10.0,11.0,10.0,10.0
>ENST00000567349.1,10.0,8.0,10.0,8.0,0.0,8.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.0
>ENST00000482895.2,9.0,11.0,8.0,8.0,8.0,0.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0
>ENST00000429649.1,10.0,12.0,10.0,11.0,9.0,9.0,0.0,9.0,9.0,9.0,10.0,10.0,11.0,11.0
>ENST00000614446.1,9.0,8.0,11.0,10.0,8.0,9.0,9.0,0.0,7.0,7.0,10.0,8.0,8.0,8.0
>ENST00000605757.1,9.0,8.0,8.0,9.0,8.0,10.0,9.0,7.0,0.0,9.0,9.0,8.0,9.0,10.0
>ENST00000490086.1,10.0,10.0,10.0,7.0,9.0,8.0,9.0,7.0,9.0,0.0,12.0,9.0,10.0,9.0
>ENST00000493052.2,11.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,12.0,0.0,10.0,11.0,11.0
>ENST00000437933.1,10.0,12.0,9.0,11.0,8.0,8.0,10.0,8.0,8.0,9.0,10.0,0.0,9.0,9.0
>ENST00000413399.3,11.0,9.0,11.0,10.0,9.0,9.0,11.0,8.0,9.0,10.0,11.0,9.0,0.0,11.0
>ENST00000407630.1,9.0,13.0,11.0,10.0,8.0,9.0,11.0,8.0,10.0,9.0,11.0,9.0,11.0,0.0
