,>ENST00000402289.3,>ENST00000449016.1,>ENST00000407924.2,>ENST00000418771.1,>ENST00000418757.2,>ENST00000488231.1
>ENST00000402289.3,0.0,9.0,9.0,12.0,9.0,10.0
>ENST00000449016.1,9.0,0.0,10.0,10.0,10.0,8.0
>ENST00000407924.2,9.0,10.0,0.0,9.0,11.0,12.0
>ENST00000418771.1,12.0,10.0,9.0,0.0,9.0,8.0
>ENST00000418757.2,9.0,10.0,11.0,9.0,0.0,8.0
>ENST00000488231.1,10.0,8.0,12.0,8.0,8.0,0.0
