,ENSG00000201388.1,ENSG00000201343.1,ENSG00000251816.1,ENSG00000276014.1,ENSG00000201161.1,ENSG00000207189.1,ENSG00000211983.2,ENSG00000179774.8,ENSG00000222398.1,ENSG00000230778.1,ENSG00000197587.10,ENSG00000176679.8,ENSG00000204613.10
ENSG00000201388.1,0.0,6.0,5.0,7.0,8.0,7.0,8.0,9.0,6.0,9.0,11.0,9.0,10.0
ENSG00000201343.1,6.0,0.0,5.0,7.0,6.0,9.0,6.0,10.0,6.0,7.0,10.0,9.0,9.0
ENSG00000251816.1,5.0,5.0,0.0,6.0,9.0,5.0,4.0,7.0,6.0,6.0,8.0,7.0,8.0
ENSG00000276014.1,7.0,7.0,6.0,0.0,7.0,7.0,7.0,11.0,7.0,8.0,26.0,8.0,20.0
ENSG00000201161.1,8.0,6.0,9.0,7.0,0.0,7.0,6.0,8.0,7.0,8.0,10.0,9.0,11.0
ENSG00000207189.1,7.0,9.0,5.0,7.0,7.0,0.0,7.0,8.0,6.0,7.0,11.0,8.0,9.0
ENSG00000211983.2,8.0,6.0,4.0,7.0,6.0,7.0,0.0,7.0,7.0,9.0,11.0,8.0,9.0
ENSG00000179774.8,9.0,10.0,7.0,11.0,8.0,8.0,7.0,0.0,9.0,10.0,12.0,9.0,11.0
ENSG00000222398.1,6.0,6.0,6.0,7.0,7.0,6.0,7.0,9.0,0.0,9.0,11.0,9.0,9.0
ENSG00000230778.1,9.0,7.0,6.0,8.0,8.0,7.0,9.0,10.0,9.0,0.0,12.0,10.0,11.0
ENSG00000197587.10,11.0,10.0,8.0,26.0,10.0,11.0,11.0,12.0,11.0,12.0,0.0,12.0,22.0
ENSG00000176679.8,9.0,9.0,7.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,12.0,0.0,12.0
ENSG00000204613.10,10.0,9.0,8.0,20.0,11.0,9.0,9.0,11.0,9.0,11.0,22.0,12.0,0.0
