,>ENST00000485699.1,>ENST00000481504.2,>ENST00000438477.2,>ENST00000402176.2,>ENST00000531211.1,>ENST00000567098.1,>ENST00000456875.1,>ENST00000570034.1,>ENST00000436275.1,>ENST00000398586.2,>ENST00000595442.1,>ENST00000426826.2,ENSG00000281863.1,>ENST00000571780.1,>ENST00000402043.2,>ENST00000438529.1,>ENST00000355343.2,>ENST00000429248.1,>ENST00000580181.1,>ENST00000538284.1,>ENST00000623849.1,>ENST00000453983.1,>ENST00000430386.1,>ENST00000420390.1,>ENST00000536322.1,>ENST00000422916.1,>ENST00000393214.2,>ENST00000518744.1,>ENST00000446889.1,>ENST00000441066.1,>ENST00000561804.2,>ENST00000445995.2,>ENST00000514522.2,>ENST00000426025.1,>ENST00000439854.1,>ENST00000604495.1,>ENST00000577280.1,>ENST00000475510.1,>ENST00000529692.1,>ENST00000444020.1,>ENST00000416091.1,>ENST00000524985.1,>ENST00000412454.1
>ENST00000485699.1,0.0,10.0,11.0,10.0,13.0,10.0,8.0,10.0,13.0,10.0,9.0,10.0,10.0,10.0,11.0,12.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,8.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,10.0,8.0,11.0,11.0,9.0,10.0,7.0
>ENST00000481504.2,10.0,0.0,12.0,10.0,10.0,10.0,10.0,10.0,12.0,13.0,9.0,12.0,10.0,11.0,11.0,10.0,11.0,9.0,9.0,10.0,10.0,8.0,10.0,8.0,10.0,8.0,11.0,10.0,9.0,9.0,11.0,12.0,8.0,11.0,10.0,9.0,8.0,9.0,11.0,9.0,10.0,11.0,10.0
>ENST00000438477.2,11.0,12.0,0.0,9.0,11.0,10.0,9.0,9.0,12.0,69.0,10.0,12.0,9.0,11.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,10.0,7.0,12.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,11.0,14.0
>ENST00000402176.2,10.0,10.0,9.0,0.0,10.0,11.0,9.0,10.0,8.0,11.0,8.0,9.0,8.0,10.0,9.0,10.0,12.0,11.0,9.0,8.0,12.0,10.0,11.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0,12.0,11.0,9.0,11.0,9.0,8.0,8.0,11.0,13.0,10.0,11.0,9.0
>ENST00000531211.1,13.0,10.0,11.0,10.0,0.0,10.0,8.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,13.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,12.0,11.0,9.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0
>ENST00000567098.1,10.0,10.0,10.0,11.0,10.0,0.0,10.0,10.0,12.0,10.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,8.0,10.0,10.0,14.0,9.0,11.0,8.0,11.0,11.0,11.0,10.0,10.0,9.0,9.0,10.0,11.0,9.0,9.0,10.0,11.0
>ENST00000456875.1,8.0,10.0,9.0,9.0,8.0,10.0,0.0,8.0,11.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,13.0,10.0,10.0,10.0,8.0,8.0,10.0,7.0,8.0,10.0,9.0,7.0,8.0,9.0,14.0,8.0,9.0,14.0,9.0,7.0,8.0,8.0,12.0,8.0,8.0,11.0,8.0
>ENST00000570034.1,10.0,10.0,9.0,10.0,10.0,10.0,8.0,0.0,10.0,12.0,9.0,11.0,8.0,11.0,11.0,12.0,11.0,11.0,10.0,11.0,9.0,11.0,12.0,9.0,11.0,10.0,9.0,10.0,11.0,11.0,11.0,12.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,10.0,10.0,11.0,9.0
>ENST00000436275.1,13.0,12.0,12.0,8.0,9.0,12.0,11.0,10.0,0.0,11.0,8.0,10.0,8.0,12.0,11.0,11.0,10.0,9.0,10.0,9.0,10.0,11.0,11.0,8.0,10.0,10.0,9.0,8.0,11.0,9.0,10.0,12.0,9.0,10.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,11.0,10.0
>ENST00000398586.2,10.0,13.0,69.0,11.0,9.0,10.0,8.0,12.0,11.0,0.0,8.0,10.0,9.0,10.0,9.0,9.0,11.0,11.0,10.0,11.0,10.0,9.0,9.0,8.0,10.0,9.0,12.0,9.0,11.0,10.0,12.0,10.0,11.0,11.0,13.0,9.0,10.0,9.0,11.0,10.0,12.0,10.0,14.0
