,ENSG00000252487.1,>ENST00000328113.3,>ENST00000422293.1,>ENST00000402520.1,>ENST00000514057.1,>ENST00000431587.2,>ENST00000427423.1,>ENST00000566350.2,>ENST00000436165.1,>ENST00000497678.2,>ENST00000427236.2,>ENST00000547243.1,>ENST00000601934.1,>ENST00000457142.1,>ENST00000589621.1,>ENST00000586853.1,>ENST00000505836.1,>ENST00000424239.5,>ENST00000590718.1,>ENST00000446226.2,>ENST00000413192.1,ENSG00000201612.1,>ENST00000604004.1,ENSG00000199652.2,>ENST00000520234.1,>ENST00000427917.1,>ENST00000622562.1
ENSG00000252487.1,0.0,8.0,10.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,8.0,8.0,7.0,11.0,7.0,7.0,7.0,43.0,9.0,7.0,9.0,7.0,11.0,8.0,8.0,6.0
>ENST00000328113.3,8.0,0.0,10.0,12.0,10.0,10.0,8.0,10.0,13.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,11.0,9.0,7.0,9.0,11.0,9.0,10.0,8.0,9.0,9.0,6.0
>ENST00000422293.1,10.0,10.0,0.0,9.0,11.0,9.0,8.0,9.0,10.0,8.0,9.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,8.0,11.0,10.0,9.0,9.0,8.0,10.0,10.0,7.0
>ENST00000402520.1,7.0,12.0,9.0,0.0,7.0,9.0,8.0,8.0,9.0,8.0,11.0,7.0,10.0,8.0,10.0,8.0,8.0,10.0,6.0,13.0,9.0,9.0,9.0,8.0,8.0,8.0,6.0
>ENST00000514057.1,7.0,10.0,11.0,7.0,0.0,9.0,8.0,9.0,11.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000431587.2,7.0,10.0,9.0,9.0,9.0,0.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,9.0,12.0,9.0,9.0,10.0,6.0,10.0,9.0,7.0,8.0,7.0,12.0,10.0,7.0
>ENST00000427423.1,8.0,8.0,8.0,8.0,8.0,9.0,0.0,7.0,10.0,9.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,9.0,9.0,7.0,8.0,10.0,8.0
>ENST00000566350.2,7.0,10.0,9.0,8.0,9.0,8.0,7.0,0.0,11.0,8.0,8.0,10.0,8.0,12.0,7.0,10.0,10.0,8.0,7.0,9.0,8.0,8.0,8.0,7.0,8.0,11.0,7.0
>ENST00000436165.1,8.0,13.0,10.0,9.0,11.0,9.0,10.0,11.0,0.0,10.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,11.0,11.0,8.0,9.0,11.0,8.0
>ENST00000497678.2,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,0.0,8.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,8.0,8.0,9.0,8.0,9.0,7.0,11.0,9.0,7.0
>ENST00000427236.2,7.0,10.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,0.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,8.0,10.0,7.0,10.0,8.0,7.0
>ENST00000547243.1,8.0,9.0,10.0,7.0,9.0,8.0,8.0,10.0,11.0,10.0,10.0,0.0,10.0,9.0,9.0,12.0,12.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0
>ENST00000601934.1,8.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,11.0,10.0,0.0,10.0,10.0,10.0,9.0,11.0,8.0,8.0,10.0,10.0,12.0,9.0,10.0,10.0,9.0
>ENST00000457142.1,7.0,8.0,11.0,8.0,8.0,9.0,9.0,12.0,10.0,9.0,9.0,9.0,10.0,0.0,10.0,8.0,9.0,11.0,7.0,9.0,9.0,7.0,12.0,8.0,8.0,10.0,8.0
>ENST00000589621.1,11.0,10.0,10.0,10.0,9.0,12.0,9.0,7.0,9.0,11.0,11.0,9.0,10.0,10.0,0.0,10.0,10.0,13.0,9.0,10.0,9.0,8.0,10.0,9.0,13.0,10.0,7.0
>ENST00000586853.1,7.0,8.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,8.0,10.0,0.0,9.0,12.0,8.0,13.0,9.0,12.0,10.0,7.0,9.0,9.0,7.0
>ENST00000505836.1,7.0,11.0,10.0,8.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,0.0,10.0,9.0,11.0,11.0,8.0,10.0,10.0,11.0,11.0,7.0
>ENST00000424239.5,7.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,11.0,11.0,13.0,12.0,10.0,0.0,8.0,10.0,10.0,10.0,11.0,10.0,11.0,12.0,9.0
>ENST00000590718.1,43.0,7.0,8.0,6.0,8.0,6.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,9.0,8.0,0.0,9.0,6.0,8.0,7.0,8.0,7.0,7.0,7.0
>ENST00000446226.2,9.0,9.0,11.0,13.0,8.0,10.0,11.0,9.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,13.0,11.0,10.0,9.0,0.0,11.0,9.0,8.0,8.0,8.0,12.0,8.0
>ENST00000413192.1,7.0,11.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,6.0,11.0,0.0,9.0,11.0,8.0,10.0,10.0,6.0
ENSG00000201612.1,9.0,9.0,9.0,9.0,9.0,7.0,9.0,8.0,11.0,8.0,8.0,9.0,10.0,7.0,8.0,12.0,8.0,10.0,8.0,9.0,9.0,0.0,8.0,7.0,9.0,8.0,7.0
>ENST00000604004.1,7.0,10.0,9.0,9.0,9.0,8.0,9.0,8.0,11.0,9.0,10.0,10.0,12.0,12.0,10.0,10.0,10.0,11.0,7.0,8.0,11.0,8.0,0.0,8.0,8.0,10.0,7.0
ENSG00000199652.2,11.0,8.0,8.0,8.0,9.0,7.0,7.0,7.0,8.0,7.0,7.0,9.0,9.0,8.0,9.0,7.0,10.0,10.0,8.0,8.0,8.0,7.0,8.0,0.0,8.0,10.0,6.0
>ENST00000520234.1,8.0,9.0,10.0,8.0,8.0,12.0,8.0,8.0,9.0,11.0,10.0,10.0,10.0,8.0,13.0,9.0,11.0,11.0,7.0,8.0,10.0,9.0,8.0,8.0,0.0,11.0,7.0
>ENST00000427917.1,8.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,10.0,10.0,9.0,11.0,12.0,7.0,12.0,10.0,8.0,10.0,10.0,11.0,0.0,9.0
>ENST00000622562.1,6.0,6.0,7.0,6.0,8.0,7.0,8.0,7.0,8.0,7.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0,9.0,7.0,8.0,6.0,7.0,7.0,6.0,7.0,9.0,0.0
