,>ENST00000423978.1,>ENST00000444644.1,>ENST00000532739.1,>ENST00000614700.1,>ENST00000406052.2,>ENST00000590816.1,>ENST00000551246.1,>ENST00000398028.3,>ENST00000538408.1,>ENST00000425086.1,>ENST00000521088.1,>ENST00000525296.1,>ENST00000519283.1,>ENST00000561364.1,ENSG00000206801.1,>ENST00000433151.1,>ENST00000432936.1,>ENST00000448289.1,>ENST00000433478.1,>ENST00000458010.1,>ENST00000426076.1,>ENST00000429430.1,>ENST00000507234.1,>ENST00000616602.2,>ENST00000483361.1,>ENST00000560630.2,>ENST00000622239.1,>ENST00000578656.1,>ENST00000611860.1,>ENST00000532938.1,>ENST00000534226.5,>ENST00000421546.1,>ENST00000563970.1
>ENST00000423978.1,0.0,11.0,15.0,11.0,12.0,11.0,10.0,10.0,9.0,9.0,11.0,12.0,9.0,8.0,8.0,10.0,8.0,9.0,9.0,10.0,11.0,9.0,9.0,8.0,10.0,12.0,9.0,11.0,11.0,10.0,11.0,11.0,8.0
>ENST00000444644.1,11.0,0.0,14.0,9.0,11.0,12.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,8.0,12.0,10.0,15.0,9.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,9.0
>ENST00000532739.1,15.0,14.0,0.0,12.0,13.0,11.0,10.0,12.0,11.0,12.0,13.0,14.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,12.0,13.0,10.0,13.0,9.0,11.0,11.0,10.0,13.0,13.0,11.0,15.0,14.0,9.0
>ENST00000614700.1,11.0,9.0,12.0,0.0,11.0,8.0,7.0,10.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,8.0,7.0,8.0,10.0,10.0,8.0,11.0,9.0,9.0,8.0,11.0,10.0,11.0,9.0,14.0,10.0,8.0
>ENST00000406052.2,12.0,11.0,13.0,11.0,0.0,9.0,10.0,14.0,10.0,11.0,12.0,11.0,9.0,9.0,9.0,10.0,10.0,8.0,12.0,13.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,11.0,12.0,10.0,30.0,11.0,8.0
>ENST00000590816.1,11.0,12.0,11.0,8.0,9.0,0.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,8.0,8.0,10.0,7.0,8.0,8.0,8.0,10.0,9.0,11.0,8.0,10.0,9.0,8.0,11.0,10.0,9.0,11.0,9.0,8.0
>ENST00000551246.1,10.0,10.0,10.0,7.0,10.0,9.0,0.0,9.0,9.0,7.0,10.0,8.0,7.0,7.0,8.0,12.0,8.0,10.0,9.0,6.0,9.0,10.0,9.0,9.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,9.0,8.0
>ENST00000398028.3,10.0,10.0,12.0,10.0,14.0,10.0,9.0,0.0,9.0,9.0,11.0,10.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,11.0,8.0,10.0,9.0,12.0,10.0,7.0,9.0,12.0,9.0,12.0,12.0,11.0
>ENST00000538408.1,9.0,10.0,11.0,9.0,10.0,9.0,9.0,9.0,0.0,10.0,10.0,9.0,8.0,9.0,7.0,9.0,8.0,9.0,9.0,8.0,11.0,8.0,14.0,7.0,9.0,10.0,7.0,9.0,9.0,9.0,10.0,7.0,9.0
>ENST00000425086.1,9.0,10.0,12.0,10.0,11.0,10.0,7.0,9.0,10.0,0.0,10.0,10.0,9.0,9.0,11.0,10.0,7.0,8.0,10.0,8.0,12.0,9.0,11.0,6.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,8.0
