,>ENST00000326105.6,>ENST00000583159.1,>ENST00000420492.2,>ENST00000427282.2,>ENST00000561502.5,>ENST00000453025.1,>ENST00000503744.1,>ENST00000581815.1,>ENST00000456671.1,>ENST00000423389.1,>ENST00000404107.1,>ENST00000425044.1,>ENST00000481669.1,>ENST00000588406.1,>ENST00000413739.1,>ENST00000571520.1,>ENST00000609433.1,>ENST00000608835.1,>ENST00000436210.1,>ENST00000508308.1,>ENST00000320415.6,>ENST00000492974.2,>ENST00000426243.2,>ENST00000505862.2,>ENST00000507087.1,>ENST00000423552.2,>ENST00000611491.1,>ENST00000513571.1,>ENST00000508631.2,>ENST00000448609.1,>ENST00000604695.1,ENSG00000281057.1,>ENST00000547512.1,>ENST00000525251.1,>ENST00000533503.1,>ENST00000452851.1,>ENST00000537614.1,>ENST00000416374.1
>ENST00000326105.6,0.0,10.0,12.0,9.0,11.0,10.0,9.0,8.0,11.0,10.0,10.0,11.0,11.0,8.0,9.0,9.0,8.0,8.0,9.0,10.0,11.0,12.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,7.0,10.0,9.0,9.0,11.0,8.0,10.0
>ENST00000583159.1,10.0,0.0,10.0,9.0,10.0,12.0,8.0,12.0,10.0,11.0,9.0,11.0,8.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,12.0,10.0,8.0,12.0,11.0,10.0,8.0,10.0,9.0,9.0,9.0,7.0,10.0,9.0,10.0,10.0,9.0,10.0
>ENST00000420492.2,12.0,10.0,0.0,10.0,11.0,11.0,10.0,11.0,9.0,11.0,9.0,10.0,13.0,9.0,10.0,9.0,9.0,11.0,10.0,12.0,11.0,10.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,9.0,10.0,9.0,9.0
>ENST00000427282.2,9.0,9.0,10.0,0.0,11.0,9.0,8.0,7.0,11.0,8.0,10.0,9.0,7.0,9.0,11.0,9.0,11.0,7.0,9.0,8.0,11.0,10.0,8.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0
>ENST00000561502.5,11.0,10.0,11.0,11.0,0.0,9.0,8.0,9.0,10.0,11.0,11.0,11.0,8.0,9.0,12.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,11.0,8.0,8.0,8.0,9.0,9.0,8.0,10.0,12.0,9.0,11.0,8.0,10.0
>ENST00000453025.1,10.0,12.0,11.0,9.0,9.0,0.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0,8.0,11.0,9.0,10.0,11.0,8.0,9.0
>ENST00000503744.1,9.0,8.0,10.0,8.0,8.0,9.0,0.0,8.0,9.0,10.0,8.0,10.0,9.0,7.0,10.0,7.0,11.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,8.0,8.0,7.0,6.0,7.0,11.0,8.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0
>ENST00000581815.1,8.0,12.0,11.0,7.0,9.0,11.0,8.0,0.0,9.0,10.0,9.0,12.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,9.0,7.0,10.0,8.0,9.0,8.0,11.0,10.0,9.0,10.0,7.0,10.0
>ENST00000456671.1,11.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,0.0,11.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,10.0,9.0,9.0,9.0,10.0,12.0,12.0,11.0,10.0,8.0,10.0,10.0,11.0,7.0,10.0,10.0,8.0,10.0,10.0,9.0
>ENST00000423389.1,10.0,11.0,11.0,8.0,11.0,9.0,10.0,10.0,11.0,0.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,11.0,8.0,9.0,9.0,11.0,9.0,8.0,10.0,9.0,9.0,6.0,8.0,11.0,9.0,10.0,9.0,11.0
>ENST00000404107.1,10.0,9.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,9.0,0.0,10.0,8.0,10.0,9.0,9.0,8.0,11.0,11.0,12.0,10.0,9.0,11.0,10.0,11.0,11.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,9.0,10.0,12.0,8.0,10.0
>ENST00000425044.1,11.0,11.0,10.0,9.0,11.0,9.0,10.0,12.0,9.0,9.0,10.0,0.0,7.0,9.0,11.0,9.0,8.0,9.0,10.0,11.0,11.0,9.0,10.0,10.0,10.0,11.0,9.0,8.0,10.0,10.0,9.0,7.0,9.0,9.0,10.0,11.0,9.0,10.0
>ENST00000481669.1,11.0,8.0,13.0,7.0,8.0,9.0,9.0,8.0,9.0,8.0,8.0,7.0,0.0,8.0,9.0,7.0,8.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,9.0,7.0,6.0,9.0,9.0,9.0,7.0,9.0,8.0,7.0,9.0,8.0,10.0
>ENST00000588406.1,8.0,10.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,10.0,9.0,8.0,0.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,11.0,9.0,11.0,10.0,8.0,8.0,10.0,10.0,9.0,7.0,8.0,9.0,10.0,10.0,8.0,9.0
>ENST00000413739.1,9.0,10.0,10.0,11.0,12.0,10.0,10.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,0.0,8.0,10.0,9.0,9.0,8.0,12.0,9.0,9.0,9.0,9.0,12.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,12.0
>ENST00000571520.1,9.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,0.0,8.0,8.0,11.0,10.0,10.0,10.0,7.0,9.0,9.0,10.0,7.0,7.0,8.0,7.0,10.0,7.0,11.0,8.0,9.0,12.0,7.0,8.0
>ENST00000609433.1,8.0,9.0,9.0,11.0,9.0,12.0,11.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,0.0,10.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,11.0,7.0,7.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,10.0,8.0,9.0
>ENST00000608835.1,8.0,11.0,11.0,7.0,9.0,8.0,9.0,10.0,11.0,9.0,11.0,9.0,9.0,8.0,9.0,8.0,10.0,0.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,7.0,9.0,9.0,8.0,10.0,7.0,8.0
>ENST00000436210.1,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,8.0,0.0,10.0,10.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,8.0,15.0,9.0,8.0,11.0,12.0,9.0
>ENST00000508308.1,10.0,9.0,12.0,8.0,9.0,9.0,10.0,9.0,9.0,9.0,12.0,11.0,8.0,9.0,8.0,10.0,8.0,8.0,10.0,0.0,9.0,9.0,9.0,11.0,9.0,11.0,10.0,12.0,8.0,8.0,13.0,6.0,10.0,11.0,8.0,11.0,8.0,11.0
>ENST00000320415.6,11.0,12.0,11.0,11.0,10.0,10.0,8.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,12.0,10.0,8.0,7.0,10.0,9.0,0.0,11.0,9.0,10.0,9.0,12.0,9.0,8.0,9.0,12.0,9.0,7.0,12.0,11.0,10.0,11.0,9.0,10.0
>ENST00000492974.2,12.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,11.0,0.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,9.0
>ENST00000426243.2,11.0,8.0,11.0,8.0,9.0,9.0,9.0,10.0,10.0,8.0,11.0,10.0,8.0,11.0,9.0,7.0,9.0,8.0,10.0,9.0,9.0,9.0,0.0,10.0,9.0,12.0,10.0,7.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,11.0,9.0,9.0
>ENST00000505862.2,10.0,12.0,10.0,9.0,11.0,10.0,10.0,9.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,0.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,7.0,10.0,11.0,9.0,10.0,9.0,12.0
>ENST00000507087.1,10.0,11.0,9.0,8.0,9.0,9.0,8.0,9.0,12.0,9.0,11.0,10.0,7.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,9.0,9.0,0.0,10.0,9.0,10.0,10.0,10.0,9.0,7.0,10.0,9.0,10.0,10.0,9.0,9.0
>ENST00000423552.2,10.0,10.0,10.0,9.0,11.0,10.0,8.0,11.0,11.0,11.0,11.0,11.0,9.0,10.0,12.0,10.0,11.0,9.0,11.0,11.0,12.0,9.0,12.0,11.0,10.0,0.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,11.0
>ENST00000611491.1,9.0,8.0,10.0,9.0,8.0,10.0,7.0,9.0,10.0,9.0,9.0,9.0,7.0,8.0,10.0,7.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,0.0,8.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,9.0,7.0,9.0
>ENST00000513571.1,9.0,10.0,9.0,10.0,8.0,9.0,6.0,7.0,8.0,8.0,10.0,8.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,12.0,8.0,8.0,7.0,9.0,10.0,11.0,8.0,0.0,8.0,6.0,8.0,7.0,8.0,8.0,9.0,9.0,6.0,8.0
>ENST00000508631.2,11.0,9.0,9.0,9.0,8.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,0.0,10.0,9.0,7.0,9.0,9.0,9.0,11.0,8.0,9.0
>ENST00000448609.1,9.0,9.0,10.0,9.0,9.0,10.0,11.0,8.0,10.0,9.0,8.0,10.0,9.0,10.0,9.0,7.0,10.0,9.0,10.0,8.0,12.0,8.0,8.0,10.0,10.0,9.0,9.0,6.0,10.0,0.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,9.0
>ENST00000604695.1,10.0,9.0,10.0,10.0,9.0,12.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,13.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,8.0,9.0,8.0,0.0,8.0,9.0,10.0,9.0,14.0,8.0,11.0
ENSG00000281057.1,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,6.0,10.0,7.0,7.0,7.0,9.0,7.0,10.0,7.0,8.0,6.0,7.0,8.0,8.0,7.0,7.0,10.0,7.0,7.0,7.0,8.0,8.0,0.0,8.0,9.0,8.0,8.0,7.0,9.0
>ENST00000547512.1,10.0,10.0,10.0,8.0,10.0,11.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,8.0,10.0,11.0,9.0,9.0,15.0,10.0,12.0,8.0,8.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,0.0,10.0,8.0,11.0,9.0,9.0
>ENST00000525251.1,9.0,9.0,9.0,9.0,12.0,9.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,9.0,9.0,11.0,11.0,9.0,9.0,11.0,9.0,10.0,8.0,8.0,9.0,11.0,10.0,9.0,10.0,0.0,9.0,10.0,8.0,9.0
