,>ENST00000428055.1,>ENST00000622818.1,>ENST00000438297.2,>ENST00000612290.1,>ENST00000419498.1,>ENST00000486033.1,>ENST00000437039.1,>ENST00000448725.1,>ENST00000624470.1,>ENST00000488887.2,>ENST00000566406.1,>ENST00000451015.1,>ENST00000526939.1,>ENST00000575066.2,>ENST00000418542.1,>ENST00000421557.1,>ENST00000425494.1,>ENST00000605098.1,>ENST00000603006.1,>ENST00000514175.1,>ENST00000603088.1,>ENST00000615372.1,>ENST00000603167.1,>ENST00000519146.1,>ENST00000434499.2,>ENST00000612475.1,>ENST00000455914.1,>ENST00000433754.1,>ENST00000567176.2,>ENST00000393279.2,>ENST00000488371.1,>ENST00000454750.1,>ENST00000597393.1,>ENST00000603131.1,>ENST00000507003.1,>ENST00000427352.1,>ENST00000555346.1,>ENST00000507317.1,>ENST00000590817.3,>ENST00000548774.1,>ENST00000422221.1,>ENST00000454878.2,>ENST00000421424.1,>ENST00000558606.2,>ENST00000427962.1,ENSG00000201326.1,>ENST00000530827.2,>ENST00000463499.1,>ENST00000614041.1,ENSG00000216067.1,>ENST00000440753.1,>ENST00000447458.1,>ENST00000456555.1
>ENST00000428055.1,0.0,9.0,10.0,8.0,7.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,7.0,11.0,8.0,8.0,12.0,9.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,6.0,8.0,10.0,11.0
>ENST00000622818.1,9.0,0.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0,8.0,12.0,9.0,7.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,8.0,10.0,10.0,8.0,10.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,9.0,8.0,10.0,11.0,11.0,7.0,9.0,8.0,10.0
>ENST00000438297.2,10.0,9.0,0.0,8.0,7.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,8.0,11.0,11.0,9.0,7.0,7.0,8.0,9.0,7.0,9.0,9.0,7.0,9.0,9.0,9.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,8.0,10.0
>ENST00000612290.1,8.0,8.0,8.0,0.0,8.0,12.0,10.0,8.0,10.0,9.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,7.0,12.0,9.0,8.0,8.0,8.0,10.0,8.0,9.0,9.0,12.0,8.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,9.0,8.0,10.0,9.0,6.0,8.0,8.0,9.0,6.0,9.0,9.0,10.0
>ENST00000419498.1,7.0,9.0,7.0,8.0,0.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,8.0,10.0,9.0,8.0,11.0,8.0,11.0,8.0,9.0,10.0,8.0,10.0,9.0,7.0,10.0,8.0,9.0,9.0,8.0,11.0,11.0,9.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,10.0,8.0,8.0,9.0,11.0,7.0,10.0,8.0,9.0
>ENST00000486033.1,9.0,10.0,10.0,12.0,10.0,0.0,11.0,11.0,15.0,9.0,10.0,10.0,8.0,11.0,12.0,10.0,10.0,8.0,10.0,10.0,8.0,7.0,9.0,11.0,8.0,11.0,8.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,12.0,7.0,9.0,9.0,10.0
>ENST00000437039.1,10.0,10.0,9.0,10.0,9.0,11.0,0.0,10.0,9.0,9.0,11.0,9.0,8.0,11.0,10.0,9.0,10.0,10.0,13.0,11.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,12.0,10.0,8.0,9.0,11.0,8.0,11.0,11.0,11.0,8.0,9.0,9.0,9.0
>ENST00000448725.1,8.0,9.0,9.0,8.0,8.0,11.0,10.0,0.0,14.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,7.0,10.0,9.0,12.0,9.0,7.0,10.0,9.0,8.0,11.0,7.0,9.0,10.0,10.0,10.0,11.0,8.0,8.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0
>ENST00000624470.1,10.0,9.0,8.0,10.0,10.0,15.0,9.0,14.0,0.0,8.0,13.0,10.0,11.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,9.0,11.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,11.0,8.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,12.0,9.0,10.0,8.0,10.0,8.0,9.0
>ENST00000488887.2,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,0.0,10.0,10.0,8.0,9.0,10.0,8.0,12.0,7.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,62.0,10.0,8.0,9.0,11.0,9.0,10.0,11.0,9.0,8.0,10.0,8.0,11.0,9.0,8.0,9.0,13.0,8.0,10.0,8.0,9.0,11.0,9.0
