,>ENST00000618033.1,>ENST00000436075.1,>ENST00000523057.1,>ENST00000493817.2,>ENST00000488389.1,>ENST00000497538.1,>ENST00000407830.1,>ENST00000453533.1,>ENST00000454543.1,>ENST00000510857.1,>ENST00000426692.1,>ENST00000448028.1,>ENST00000427089.1,>ENST00000447106.1,>ENST00000453625.1,>ENST00000509899.1,>ENST00000618042.1,>ENST00000474167.1,>ENST00000443861.2,>ENST00000457065.1,>ENST00000505463.1,>ENST00000564888.2,>ENST00000566088.1,>ENST00000505179.1,>ENST00000451143.1,>ENST00000604391.1,ENSG00000178394.4,>ENST00000478270.1,>ENST00000443628.2,>ENST00000623167.1,>ENST00000429225.2,ENSG00000273614.1,>ENST00000463196.1,>ENST00000508759.3,>ENST00000406296.1,>ENST00000460269.1,>ENST00000406301.1,>ENST00000426602.2,>ENST00000507090.2
>ENST00000618033.1,0.0,10.0,7.0,9.0,8.0,9.0,11.0,7.0,11.0,8.0,7.0,7.0,7.0,9.0,8.0,7.0,8.0,10.0,9.0,6.0,10.0,9.0,8.0,7.0,7.0,7.0,10.0,9.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,6.0,9.0
>ENST00000436075.1,10.0,0.0,10.0,11.0,10.0,11.0,11.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,342.0,12.0,10.0,9.0,9.0,9.0,12.0,9.0,12.0,12.0,9.0,8.0,9.0,10.0,10.0,9.0,9.0,10.0,12.0
>ENST00000523057.1,7.0,10.0,0.0,12.0,10.0,15.0,9.0,9.0,11.0,8.0,9.0,9.0,8.0,10.0,9.0,11.0,11.0,10.0,11.0,9.0,10.0,9.0,10.0,11.0,10.0,8.0,9.0,10.0,11.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0
>ENST00000493817.2,9.0,11.0,12.0,0.0,9.0,14.0,15.0,11.0,12.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,8.0,12.0,11.0,11.0,9.0,10.0,8.0,10.0,10.0,10.0,12.0,9.0,10.0,8.0,9.0,9.0,12.0,10.0,9.0,9.0,10.0
>ENST00000488389.1,8.0,10.0,10.0,9.0,0.0,11.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,10.0,12.0,11.0,9.0,9.0,8.0,9.0,8.0,8.0,11.0,10.0,8.0,10.0
>ENST00000497538.1,9.0,11.0,15.0,14.0,11.0,0.0,11.0,9.0,11.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,11.0,13.0,9.0,12.0,10.0,20.0,9.0,8.0,10.0,8.0,10.0,10.0,11.0,10.0,9.0,7.0,10.0,11.0,9.0,9.0,10.0,10.0,12.0
>ENST00000407830.1,11.0,11.0,9.0,15.0,10.0,11.0,0.0,10.0,10.0,8.0,10.0,9.0,8.0,14.0,14.0,9.0,11.0,12.0,11.0,10.0,13.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,11.0,9.0,11.0
>ENST00000453533.1,7.0,9.0,9.0,11.0,9.0,9.0,10.0,0.0,10.0,8.0,8.0,8.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,7.0,8.0,8.0,9.0,10.0,10.0,11.0,8.0,9.0,7.0,8.0,10.0,9.0,10.0,8.0,9.0,13.0
>ENST00000454543.1,11.0,9.0,11.0,12.0,10.0,11.0,10.0,10.0,0.0,11.0,9.0,9.0,9.0,10.0,11.0,10.0,12.0,13.0,11.0,9.0,14.0,10.0,9.0,8.0,8.0,11.0,11.0,10.0,11.0,9.0,9.0,10.0,12.0,11.0,10.0,11.0,9.0,9.0,10.0
>ENST00000510857.1,8.0,10.0,8.0,10.0,9.0,9.0,8.0,8.0,11.0,0.0,10.0,8.0,10.0,8.0,8.0,10.0,9.0,11.0,8.0,8.0,13.0,9.0,8.0,8.0,8.0,7.0,10.0,8.0,9.0,10.0,8.0,7.0,10.0,12.0,10.0,9.0,9.0,7.0,9.0
