,>ENST00000532875.1,>ENST00000427961.1,>ENST00000505742.1,>ENST00000333674.5,>ENST00000485217.1,>ENST00000442868.1,ENSG00000280636.1,ENSG00000179695.1,>ENST00000610646.1,>ENST00000529879.1,>ENST00000442518.2,>ENST00000433054.1,>ENST00000424976.1,>ENST00000513721.1,>ENST00000233836.5,>ENST00000412792.1,>ENST00000553589.1,>ENST00000603605.1,>ENST00000530386.1,>ENST00000417698.1,>ENST00000432383.2,>ENST00000424379.1,>ENST00000605514.1,>ENST00000489069.1,>ENST00000457997.1,>ENST00000583350.1,>ENST00000436466.1,>ENST00000416748.1,>ENST00000469811.1,>ENST00000425442.1,>ENST00000436888.1,>ENST00000506012.1,>ENST00000567157.1,>ENST00000418013.1,>ENST00000511607.1,>ENST00000453770.1,>ENST00000403367.1,>ENST00000635554.1,>ENST00000405921.2,>ENST00000475609.1,>ENST00000443481.1
>ENST00000532875.1,0.0,11.0,10.0,9.0,8.0,10.0,9.0,8.0,8.0,8.0,11.0,10.0,10.0,8.0,10.0,8.0,9.0,11.0,10.0,9.0,10.0,8.0,11.0,9.0,12.0,9.0,12.0,8.0,9.0,8.0,13.0,10.0,9.0,10.0,8.0,11.0,9.0,10.0,10.0,10.0,9.0
>ENST00000427961.1,11.0,0.0,10.0,10.0,10.0,12.0,9.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,8.0,8.0,10.0,11.0,11.0,10.0,8.0,8.0,8.0,9.0,12.0,9.0,10.0,9.0,8.0,9.0,9.0,12.0,11.0,13.0,10.0,12.0,8.0,10.0,9.0,9.0,9.0
>ENST00000505742.1,10.0,10.0,0.0,9.0,9.0,14.0,7.0,10.0,10.0,10.0,9.0,10.0,12.0,9.0,8.0,8.0,10.0,9.0,13.0,9.0,9.0,7.0,9.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,8.0
>ENST00000333674.5,9.0,10.0,9.0,0.0,9.0,10.0,9.0,10.0,8.0,9.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,8.0,9.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0
>ENST00000485217.1,8.0,10.0,9.0,9.0,0.0,9.0,8.0,8.0,7.0,9.0,8.0,10.0,11.0,8.0,12.0,8.0,8.0,10.0,9.0,114.0,9.0,8.0,8.0,9.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,11.0,8.0,10.0,10.0,9.0,11.0,9.0,11.0
>ENST00000442868.1,10.0,12.0,14.0,10.0,9.0,0.0,9.0,10.0,8.0,10.0,12.0,11.0,11.0,10.0,12.0,9.0,10.0,11.0,10.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,10.0,12.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0
ENSG00000280636.1,9.0,9.0,7.0,9.0,8.0,9.0,0.0,9.0,8.0,8.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,7.0,7.0,9.0,10.0,7.0,10.0,9.0,9.0,9.0,9.0,8.0,7.0,8.0,9.0,9.0,9.0,10.0,8.0,9.0,12.0,13.0,7.0,8.0
ENSG00000179695.1,8.0,11.0,10.0,10.0,8.0,10.0,9.0,0.0,6.0,12.0,10.0,10.0,11.0,9.0,12.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,9.0,12.0,9.0,11.0,10.0,11.0,10.0,12.0,11.0,11.0,9.0,9.0,9.0,11.0,9.0,12.0,13.0,10.0
>ENST00000610646.1,8.0,9.0,10.0,8.0,7.0,8.0,8.0,6.0,0.0,8.0,9.0,8.0,9.0,7.0,8.0,6.0,7.0,8.0,9.0,7.0,7.0,11.0,7.0,8.0,8.0,8.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,7.0,8.0,7.0,6.0,7.0
>ENST00000529879.1,8.0,10.0,10.0,9.0,9.0,10.0,8.0,12.0,8.0,0.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,8.0,11.0,10.0,8.0,8.0,10.0,10.0,11.0,12.0,8.0,9.0
>ENST00000442518.2,11.0,9.0,9.0,11.0,8.0,12.0,9.0,10.0,9.0,9.0,0.0,12.0,9.0,9.0,10.0,9.0,8.0,9.0,12.0,9.0,10.0,7.0,8.0,10.0,10.0,10.0,11.0,9.0,10.0,11.0,9.0,11.0,13.0,9.0,8.0,12.0,8.0,9.0,10.0,9.0,9.0
>ENST00000433054.1,10.0,10.0,10.0,11.0,10.0,11.0,8.0,10.0,8.0,11.0,12.0,0.0,11.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,10.0,10.0,10.0,12.0,9.0,10.0,11.0,10.0,13.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0
>ENST00000424976.1,10.0,11.0,12.0,10.0,11.0,11.0,9.0,11.0,9.0,9.0,9.0,11.0,0.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,9.0,9.0,11.0,11.0,13.0,10.0,12.0,10.0,9.0,10.0,10.0,12.0,10.0,11.0,10.0,12.0,11.0,10.0,14.0,12.0,9.0
>ENST00000513721.1,8.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,7.0,9.0,9.0,8.0,9.0,0.0,17.0,9.0,9.0,13.0,10.0,15.0,9.0,11.0,8.0,11.0,10.0,10.0,11.0,11.0,9.0,9.0,12.0,11.0,24.0,10.0,9.0,9.0,10.0,8.0,9.0,9.0,8.0
>ENST00000233836.5,10.0,8.0,8.0,10.0,12.0,12.0,8.0,12.0,8.0,9.0,10.0,10.0,10.0,17.0,0.0,11.0,9.0,11.0,9.0,16.0,11.0,10.0,9.0,10.0,11.0,12.0,12.0,10.0,9.0,11.0,10.0,11.0,15.0,10.0,10.0,14.0,11.0,11.0,9.0,11.0,12.0
>ENST00000412792.1,8.0,8.0,8.0,9.0,8.0,9.0,8.0,10.0,6.0,9.0,9.0,9.0,9.0,9.0,11.0,0.0,9.0,8.0,10.0,8.0,9.0,10.0,7.0,13.0,12.0,11.0,10.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0
>ENST00000553589.1,9.0,10.0,10.0,8.0,8.0,10.0,8.0,9.0,7.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,0.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,12.0,10.0,8.0,7.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0
>ENST00000603605.1,11.0,11.0,9.0,10.0,10.0,11.0,9.0,9.0,8.0,9.0,9.0,10.0,10.0,13.0,11.0,8.0,10.0,0.0,10.0,9.0,9.0,10.0,10.0,11.0,12.0,10.0,11.0,10.0,12.0,9.0,10.0,11.0,12.0,10.0,11.0,13.0,9.0,10.0,9.0,10.0,9.0
>ENST00000530386.1,10.0,11.0,13.0,10.0,9.0,10.0,7.0,9.0,9.0,10.0,12.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,0.0,11.0,10.0,9.0,12.0,9.0,12.0,11.0,11.0,10.0,11.0,9.0,12.0,12.0,9.0,11.0,10.0,12.0,9.0,12.0,11.0,11.0,10.0
>ENST00000417698.1,9.0,10.0,9.0,9.0,114.0,9.0,7.0,9.0,7.0,11.0,9.0,9.0,11.0,15.0,16.0,8.0,9.0,9.0,11.0,0.0,9.0,11.0,10.0,8.0,12.0,10.0,9.0,10.0,11.0,7.0,10.0,10.0,15.0,10.0,9.0,10.0,12.0,11.0,9.0,8.0,10.0
>ENST00000432383.2,10.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,7.0,9.0,10.0,10.0,9.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,0.0,10.0,9.0,12.0,11.0,12.0,11.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,9.0,10.0,14.0,9.0
>ENST00000424379.1,8.0,8.0,7.0,9.0,8.0,8.0,10.0,10.0,11.0,9.0,7.0,8.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0,11.0,10.0,0.0,7.0,8.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,11.0,8.0,7.0,10.0,9.0,8.0,9.0,9.0,8.0,9.0
>ENST00000605514.1,11.0,8.0,9.0,8.0,8.0,9.0,7.0,7.0,7.0,9.0,8.0,8.0,11.0,8.0,9.0,7.0,9.0,10.0,12.0,10.0,9.0,7.0,0.0,8.0,13.0,9.0,12.0,7.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,11.0,10.0,8.0,8.0
>ENST00000489069.1,9.0,9.0,8.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,10.0,11.0,11.0,10.0,13.0,9.0,11.0,9.0,8.0,12.0,8.0,8.0,0.0,15.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,11.0,10.0,8.0,10.0
>ENST00000457997.1,12.0,12.0,10.0,10.0,12.0,10.0,9.0,12.0,8.0,10.0,10.0,10.0,13.0,10.0,11.0,12.0,10.0,12.0,12.0,12.0,11.0,11.0,13.0,15.0,0.0,13.0,14.0,12.0,12.0,9.0,12.0,12.0,13.0,11.0,10.0,11.0,11.0,10.0,10.0,10.0,11.0
>ENST00000583350.1,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,10.0,12.0,11.0,10.0,10.0,11.0,10.0,12.0,9.0,9.0,10.0,13.0,0.0,12.0,10.0,10.0,9.0,11.0,11.0,11.0,13.0,10.0,12.0,9.0,11.0,11.0,10.0,9.0
>ENST00000436466.1,12.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,11.0,10.0,11.0,12.0,12.0,11.0,12.0,10.0,12.0,11.0,11.0,9.0,11.0,9.0,12.0,10.0,14.0,12.0,0.0,10.0,11.0,10.0,10.0,12.0,10.0,12.0,10.0,13.0,9.0,11.0,10.0,11.0,9.0
>ENST00000416748.1,8.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,11.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,7.0,9.0,12.0,10.0,10.0,0.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,11.0,10.0,9.0,11.0,11.0
>ENST00000469811.1,9.0,8.0,9.0,9.0,9.0,11.0,8.0,11.0,8.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,12.0,11.0,11.0,9.0,9.0,10.0,10.0,12.0,10.0,11.0,10.0,0.0,8.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,9.0,13.0,9.0,8.0
>ENST00000425442.1,8.0,9.0,9.0,8.0,9.0,9.0,7.0,10.0,9.0,8.0,11.0,11.0,10.0,9.0,11.0,8.0,7.0,9.0,9.0,7.0,10.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,0.0,11.0,12.0,9.0,12.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0
>ENST00000436888.1,13.0,9.0,9.0,9.0,10.0,10.0,8.0,12.0,9.0,8.0,9.0,10.0,10.0,12.0,10.0,8.0,10.0,10.0,12.0,10.0,10.0,9.0,9.0,9.0,12.0,11.0,10.0,11.0,10.0,11.0,0.0,12.0,11.0,9.0,11.0,10.0,10.0,12.0,9.0,10.0,9.0
>ENST00000506012.1,10.0,12.0,11.0,11.0,9.0,12.0,9.0,11.0,9.0,11.0,11.0,13.0,12.0,11.0,11.0,10.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,10.0,12.0,11.0,12.0,11.0,9.0,12.0,12.0,0.0,14.0,12.0,10.0,11.0,9.0,9.0,10.0,9.0,10.0
>ENST00000567157.1,9.0,11.0,9.0,10.0,8.0,12.0,9.0,11.0,9.0,10.0,13.0,11.0,10.0,24.0,15.0,9.0,11.0,12.0,9.0,15.0,9.0,8.0,10.0,12.0,13.0,11.0,10.0,9.0,10.0,9.0,11.0,14.0,0.0,11.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0
>ENST00000418013.1,10.0,13.0,11.0,10.0,11.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,11.0,10.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,7.0,10.0,9.0,11.0,13.0,12.0,8.0,10.0,12.0,9.0,12.0,11.0,0.0,10.0,11.0,10.0,10.0,11.0,12.0,9.0
>ENST00000511607.1,8.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,10.0,9.0,10.0,9.0,8.0,11.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,11.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,9.0,10.0
>ENST00000453770.1,11.0,12.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,12.0,9.0,12.0,9.0,14.0,9.0,10.0,13.0,12.0,10.0,10.0,9.0,9.0,10.0,11.0,12.0,13.0,10.0,9.0,9.0,10.0,11.0,10.0,11.0,10.0,0.0,9.0,12.0,11.0,10.0,9.0
>ENST00000403367.1,9.0,8.0,8.0,9.0,10.0,9.0,9.0,11.0,7.0,10.0,8.0,9.0,11.0,10.0,11.0,8.0,8.0,9.0,9.0,12.0,9.0,8.0,11.0,9.0,11.0,9.0,9.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,0.0,9.0,9.0,8.0,9.0
>ENST00000635554.1,10.0,10.0,10.0,10.0,9.0,9.0,12.0,9.0,8.0,11.0,9.0,11.0,10.0,8.0,11.0,10.0,9.0,10.0,12.0,11.0,9.0,9.0,11.0,11.0,10.0,11.0,11.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,10.0,12.0,9.0,0.0,11.0,9.0,9.0
>ENST00000405921.2,10.0,9.0,9.0,10.0,11.0,9.0,13.0,12.0,7.0,12.0,10.0,9.0,14.0,9.0,9.0,9.0,11.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,10.0,11.0,10.0,9.0,13.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0,9.0,11.0,0.0,9.0,9.0
