,>ENST00000443910.1,>ENST00000549976.1,>ENST00000597012.1,>ENST00000604842.1,>ENST00000404520.1,>ENST00000412537.1,>ENST00000619919.1,>ENST00000400938.2,>ENST00000394002.4,>ENST00000565566.1,>ENST00000404728.1,>ENST00000583666.1,>ENST00000613117.1,>ENST00000510112.1,>ENST00000425606.1,>ENST00000617239.1,>ENST00000523928.1,ENSG00000265889.1,>ENST00000621514.1,>ENST00000422338.1
>ENST00000443910.1,0.0,10.0,9.0,8.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0,9.0,9.0,11.0,11.0,10.0,11.0,7.0,11.0,11.0
>ENST00000549976.1,10.0,0.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,11.0,11.0,9.0,11.0,10.0,10.0,9.0,10.0,8.0,10.0,11.0
>ENST00000597012.1,9.0,10.0,0.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,11.0,10.0,10.0,9.0,11.0,10.0,8.0,11.0
>ENST00000604842.1,8.0,9.0,10.0,0.0,9.0,8.0,9.0,10.0,10.0,11.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,11.0,10.0
>ENST00000404520.1,10.0,9.0,9.0,9.0,0.0,8.0,8.0,8.0,9.0,10.0,10.0,10.0,10.0,8.0,11.0,11.0,10.0,9.0,8.0,10.0
>ENST00000412537.1,8.0,9.0,9.0,8.0,8.0,0.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,11.0,11.0,8.0,8.0,6.0,8.0,9.0
>ENST00000619919.1,8.0,10.0,9.0,9.0,8.0,9.0,0.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0
>ENST00000400938.2,8.0,10.0,9.0,10.0,8.0,9.0,8.0,0.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,8.0
>ENST00000394002.4,10.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,0.0,10.0,9.0,9.0,10.0,12.0,9.0,9.0,11.0,8.0,10.0,10.0
>ENST00000565566.1,10.0,11.0,9.0,11.0,10.0,8.0,10.0,10.0,10.0,0.0,10.0,11.0,12.0,10.0,10.0,9.0,11.0,9.0,10.0,11.0
>ENST00000404728.1,8.0,11.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,10.0,0.0,9.0,11.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0
>ENST00000583666.1,9.0,9.0,10.0,10.0,10.0,9.0,9.0,10.0,9.0,11.0,9.0,0.0,9.0,10.0,9.0,10.0,12.0,8.0,10.0,10.0
>ENST00000613117.1,9.0,11.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,9.0,0.0,10.0,10.0,11.0,10.0,8.0,9.0,11.0
>ENST00000510112.1,11.0,10.0,10.0,9.0,8.0,11.0,8.0,10.0,12.0,10.0,10.0,10.0,10.0,0.0,9.0,10.0,9.0,8.0,10.0,10.0
>ENST00000425606.1,11.0,10.0,10.0,9.0,11.0,11.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,0.0,9.0,9.0,8.0,9.0,9.0
>ENST00000617239.1,10.0,9.0,9.0,8.0,11.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,9.0,0.0,8.0,7.0,9.0,9.0
>ENST00000523928.1,11.0,10.0,11.0,10.0,10.0,8.0,10.0,9.0,11.0,11.0,9.0,12.0,10.0,9.0,9.0,8.0,0.0,10.0,9.0,9.0
ENSG00000265889.1,7.0,8.0,10.0,9.0,9.0,6.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,8.0,7.0,10.0,0.0,9.0,9.0
>ENST00000621514.1,11.0,10.0,8.0,11.0,8.0,8.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.0,0.0,9.0
>ENST00000422338.1,11.0,11.0,11.0,10.0,10.0,9.0,9.0,8.0,10.0,11.0,10.0,10.0,11.0,10.0,9.0,9.0,9.0,9.0,9.0,0.0
