,>ENST00000455104.1,>ENST00000421360.1,>ENST00000448054.1,ENSG00000053371.12,>ENST00000447065.1,>ENST00000605542.1,>ENST00000447553.1,>ENST00000520558.1,>ENST00000457298.1,>ENST00000433173.1,>ENST00000376334.3,>ENST00000604933.2,>ENST00000524793.1,>ENST00000518475.1,>ENST00000509222.2,>ENST00000417484.1,>ENST00000438971.1,>ENST00000463445.1,>ENST00000411908.1,>ENST00000419413.1,>ENST00000533748.1,>ENST00000608484.1,>ENST00000510266.1,>ENST00000604632.1,>ENST00000444815.2,>ENST00000450126.1,>ENST00000495623.1,>ENST00000299540.6,>ENST00000613133.1,>ENST00000476981.3,>ENST00000429606.1,>ENST00000415043.1,>ENST00000434626.1,>ENST00000429485.1,>ENST00000589465.1
>ENST00000455104.1,0.0,10.0,11.0,12.0,9.0,8.0,8.0,9.0,10.0,9.0,12.0,12.0,10.0,8.0,9.0,9.0,8.0,9.0,10.0,9.0,10.0,9.0,14.0,10.0,11.0,9.0,11.0,9.0,12.0,10.0,8.0,8.0,9.0,9.0,8.0
>ENST00000421360.1,10.0,0.0,10.0,12.0,9.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,10.0,11.0,11.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,11.0,11.0,10.0,10.0,8.0,11.0,9.0,9.0
>ENST00000448054.1,11.0,10.0,0.0,11.0,10.0,7.0,9.0,9.0,9.0,10.0,11.0,10.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,8.0,9.0,8.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,10.0,8.0
ENSG00000053371.12,12.0,12.0,11.0,0.0,11.0,11.0,13.0,12.0,13.0,12.0,11.0,13.0,12.0,11.0,12.0,12.0,10.0,10.0,13.0,12.0,11.0,12.0,10.0,11.0,12.0,10.0,11.0,117.0,15.0,10.0,11.0,11.0,10.0,13.0,9.0
>ENST00000447065.1,9.0,9.0,10.0,11.0,0.0,7.0,8.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,12.0,10.0,8.0,10.0,10.0,9.0,9.0,14.0,9.0,9.0,9.0,9.0,8.0,7.0
>ENST00000605542.1,8.0,10.0,7.0,11.0,7.0,0.0,7.0,8.0,8.0,9.0,10.0,11.0,7.0,7.0,8.0,7.0,9.0,10.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,11.0,11.0,8.0,8.0,8.0,8.0,9.0,7.0
>ENST00000447553.1,8.0,10.0,9.0,13.0,8.0,7.0,0.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,8.0,10.0,8.0,8.0,9.0,13.0,9.0,9.0,9.0,10.0,10.0,9.0,12.0,7.0,8.0,8.0,9.0,13.0,8.0
>ENST00000520558.1,9.0,10.0,9.0,12.0,9.0,8.0,9.0,0.0,11.0,9.0,11.0,9.0,10.0,7.0,7.0,9.0,7.0,9.0,8.0,14.0,11.0,12.0,9.0,9.0,9.0,8.0,11.0,9.0,13.0,8.0,10.0,9.0,9.0,12.0,9.0
>ENST00000457298.1,10.0,9.0,9.0,13.0,10.0,8.0,11.0,11.0,0.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0,10.0,11.0,13.0,10.0,13.0,9.0,9.0,9.0,13.0,8.0,11.0,8.0,8.0,10.0,11.0
>ENST00000433173.1,9.0,10.0,10.0,12.0,10.0,9.0,10.0,9.0,9.0,0.0,9.0,12.0,11.0,10.0,10.0,9.0,9.0,8.0,9.0,10.0,10.0,9.0,8.0,13.0,8.0,12.0,12.0,10.0,11.0,10.0,10.0,10.0,8.0,11.0,8.0
>ENST00000376334.3,12.0,11.0,11.0,11.0,10.0,10.0,9.0,11.0,11.0,9.0,0.0,10.0,11.0,9.0,11.0,8.0,12.0,9.0,11.0,10.0,10.0,11.0,8.0,9.0,11.0,12.0,11.0,11.0,10.0,10.0,12.0,9.0,10.0,10.0,7.0
>ENST00000604933.2,12.0,10.0,10.0,13.0,9.0,11.0,10.0,9.0,10.0,12.0,10.0,0.0,10.0,10.0,10.0,9.0,11.0,9.0,11.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,9.0,11.0,9.0
