,>ENST00000482905.2,ENSG00000198104.2,>ENST00000602356.1,>ENST00000605464.1,>ENST00000447263.1,>ENST00000433345.1,>ENST00000429983.1,>ENST00000565049.1,>ENST00000504027.1,>ENST00000567691.1,>ENST00000603038.1,>ENST00000506922.1,>ENST00000411660.1,>ENST00000621938.1,>ENST00000529418.1,>ENST00000512479.1,>ENST00000604389.1,>ENST00000531775.1,>ENST00000603277.1,>ENST00000544240.1,>ENST00000398295.3,>ENST00000407513.1,>ENST00000560672.1,>ENST00000432577.1,>ENST00000616231.1,>ENST00000432996.2,ENSG00000188394.6,>ENST00000451536.2,>ENST00000426503.1,>ENST00000419341.1
>ENST00000482905.2,0.0,9.0,8.0,12.0,10.0,177.0,9.0,10.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,9.0,9.0,7.0,8.0,9.0,12.0,9.0,9.0,8.0,9.0,13.0,11.0,9.0,9.0,9.0
ENSG00000198104.2,9.0,0.0,9.0,12.0,11.0,8.0,11.0,12.0,23.0,9.0,10.0,9.0,8.0,10.0,8.0,9.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,10.0,7.0,8.0
>ENST00000602356.1,8.0,9.0,0.0,11.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,7.0,9.0,7.0,9.0,9.0,7.0,6.0,7.0,8.0,9.0,9.0,10.0,8.0,8.0,11.0,10.0,9.0,10.0,8.0
>ENST00000605464.1,12.0,12.0,11.0,0.0,13.0,10.0,10.0,12.0,13.0,11.0,12.0,11.0,10.0,9.0,10.0,9.0,8.0,13.0,9.0,11.0,11.0,12.0,12.0,10.0,12.0,13.0,10.0,11.0,9.0,9.0
>ENST00000447263.1,10.0,11.0,9.0,13.0,0.0,8.0,10.0,11.0,12.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,9.0,12.0,10.0,12.0,9.0,11.0,12.0,12.0,10.0,11.0,8.0,9.0
>ENST00000433345.1,177.0,8.0,8.0,10.0,8.0,0.0,10.0,10.0,9.0,9.0,7.0,13.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,10.0,9.0,15.0,9.0,9.0,9.0,9.0
>ENST00000429983.1,9.0,11.0,10.0,10.0,10.0,10.0,0.0,11.0,12.0,9.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,9.0,11.0,9.0,12.0,9.0,11.0,8.0,10.0
>ENST00000565049.1,10.0,12.0,10.0,12.0,11.0,10.0,11.0,0.0,10.0,13.0,10.0,9.0,10.0,13.0,10.0,10.0,8.0,11.0,9.0,10.0,10.0,8.0,10.0,10.0,10.0,13.0,10.0,10.0,11.0,10.0
>ENST00000504027.1,9.0,23.0,7.0,13.0,12.0,9.0,12.0,10.0,0.0,8.0,11.0,8.0,10.0,8.0,9.0,7.0,10.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,10.0,13.0,12.0,11.0,8.0,10.0
>ENST00000567691.1,9.0,9.0,8.0,11.0,9.0,9.0,9.0,13.0,8.0,0.0,9.0,9.0,13.0,11.0,9.0,11.0,8.0,9.0,11.0,10.0,10.0,9.0,11.0,10.0,8.0,11.0,10.0,10.0,8.0,9.0
>ENST00000603038.1,8.0,10.0,8.0,12.0,10.0,7.0,10.0,10.0,11.0,9.0,0.0,8.0,9.0,8.0,10.0,8.0,7.0,8.0,8.0,9.0,9.0,9.0,8.0,9.0,10.0,11.0,11.0,12.0,9.0,11.0
>ENST00000506922.1,10.0,9.0,7.0,11.0,9.0,13.0,10.0,9.0,8.0,9.0,8.0,0.0,10.0,12.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,9.0,8.0,9.0,7.0
>ENST00000411660.1,9.0,8.0,9.0,10.0,10.0,9.0,12.0,10.0,10.0,13.0,9.0,10.0,0.0,10.0,9.0,8.0,7.0,8.0,10.0,11.0,10.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,13.0
>ENST00000621938.1,8.0,10.0,7.0,9.0,10.0,7.0,10.0,13.0,8.0,11.0,8.0,12.0,10.0,0.0,10.0,10.0,7.0,9.0,8.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0
>ENST00000529418.1,9.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,8.0,9.0,10.0,0.0,9.0,10.0,7.0,7.0,9.0,9.0,8.0,7.0,9.0,8.0,9.0,11.0,12.0,10.0,9.0
>ENST00000512479.1,9.0,9.0,9.0,9.0,10.0,8.0,10.0,10.0,7.0,11.0,8.0,8.0,8.0,10.0,9.0,0.0,7.0,10.0,8.0,10.0,8.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,10.0
>ENST00000604389.1,9.0,7.0,7.0,8.0,8.0,8.0,9.0,8.0,10.0,8.0,7.0,7.0,7.0,7.0,10.0,7.0,0.0,7.0,7.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,8.0,7.0,7.0,7.0
>ENST00000531775.1,7.0,10.0,6.0,13.0,10.0,9.0,10.0,11.0,10.0,9.0,8.0,7.0,8.0,9.0,7.0,10.0,7.0,0.0,6.0,9.0,9.0,7.0,9.0,7.0,9.0,10.0,8.0,8.0,6.0,7.0
>ENST00000603277.1,8.0,9.0,7.0,9.0,9.0,8.0,9.0,9.0,11.0,11.0,8.0,8.0,10.0,8.0,7.0,8.0,7.0,6.0,0.0,8.0,10.0,8.0,8.0,10.0,10.0,10.0,8.0,8.0,8.0,9.0
>ENST00000544240.1,9.0,9.0,8.0,11.0,12.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,8.0,9.0,8.0,0.0,9.0,9.0,10.0,10.0,10.0,12.0,9.0,11.0,9.0,11.0
