,>ENST00000443009.2,>ENST00000444924.1,>ENST00000530523.1,>ENST00000423010.1,>ENST00000604334.1,>ENST00000447672.1,>ENST00000429682.2,>ENST00000438210.1,>ENST00000506833.1,>ENST00000582201.5,>ENST00000416712.2,>ENST00000437554.1,ENSG00000185338.4,>ENST00000456678.1,>ENST00000518337.1,>ENST00000505201.1,>ENST00000449011.1,>ENST00000440676.1,>ENST00000504141.1,>ENST00000454982.1,>ENST00000444197.2,>ENST00000633513.1,>ENST00000500626.2,>ENST00000321418.6,>ENST00000460857.2,>ENST00000605639.1,>ENST00000451049.1,>ENST00000442641.3,>ENST00000611536.1
>ENST00000443009.2,0.0,9.0,9.0,9.0,9.0,10.0,10.0,366.0,9.0,10.0,9.0,9.0,12.0,10.0,10.0,11.0,9.0,8.0,10.0,8.0,9.0,8.0,10.0,8.0,8.0,11.0,12.0,10.0,13.0
>ENST00000444924.1,9.0,0.0,11.0,9.0,10.0,11.0,9.0,13.0,8.0,11.0,11.0,9.0,10.0,12.0,10.0,12.0,12.0,11.0,12.0,10.0,11.0,12.0,12.0,10.0,9.0,12.0,12.0,8.0,14.0
>ENST00000530523.1,9.0,11.0,0.0,8.0,10.0,11.0,8.0,10.0,8.0,11.0,8.0,9.0,10.0,9.0,12.0,13.0,10.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,11.0,9.0,6.0,10.0
>ENST00000423010.1,9.0,9.0,8.0,0.0,9.0,9.0,8.0,11.0,7.0,11.0,6.0,8.0,9.0,10.0,9.0,7.0,11.0,7.0,8.0,8.0,9.0,7.0,11.0,7.0,8.0,8.0,10.0,6.0,10.0
>ENST00000604334.1,9.0,10.0,10.0,9.0,0.0,9.0,11.0,9.0,8.0,11.0,9.0,9.0,10.0,8.0,10.0,9.0,9.0,12.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,6.0,10.0
>ENST00000447672.1,10.0,11.0,11.0,9.0,9.0,0.0,9.0,9.0,8.0,12.0,8.0,9.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,9.0,11.0,8.0,8.0,10.0,9.0,7.0,9.0
>ENST00000429682.2,10.0,9.0,8.0,8.0,11.0,9.0,0.0,10.0,9.0,10.0,7.0,8.0,10.0,9.0,8.0,8.0,10.0,12.0,10.0,9.0,11.0,7.0,9.0,9.0,7.0,9.0,9.0,7.0,9.0
>ENST00000438210.1,366.0,13.0,10.0,11.0,9.0,9.0,10.0,0.0,9.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,10.0,9.0,10.0,8.0,13.0,10.0,10.0,11.0,12.0,9.0,9.0
>ENST00000506833.1,9.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,0.0,9.0,8.0,10.0,9.0,9.0,11.0,8.0,9.0,8.0,9.0,9.0,9.0,7.0,10.0,9.0,8.0,10.0,9.0,6.0,9.0
>ENST00000582201.5,10.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,9.0,0.0,11.0,10.0,11.0,10.0,11.0,11.0,11.0,10.0,10.0,11.0,12.0,10.0,12.0,10.0,11.0,11.0,12.0,8.0,10.0
>ENST00000416712.2,9.0,11.0,8.0,6.0,9.0,8.0,7.0,9.0,8.0,11.0,0.0,8.0,9.0,8.0,11.0,9.0,7.0,7.0,9.0,9.0,10.0,8.0,10.0,8.0,7.0,8.0,9.0,7.0,9.0
>ENST00000437554.1,9.0,9.0,9.0,8.0,9.0,9.0,8.0,10.0,10.0,10.0,8.0,0.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0,6.0,9.0
