,ENSG00000198142.4,ENSG00000127530.2,ENSG00000116726.4,ENSG00000223162.1,ENSG00000169575.4,ENSG00000201622.1,ENSG00000238590.1,ENSG00000238950.1,ENSG00000222397.1,ENSG00000238908.1,ENSG00000243029.3,ENSG00000238519.1,ENSG00000200871.1,ENSG00000241604.3,ENSG00000265327.2,ENSG00000226685.4,ENSG00000274872.1,ENSG00000188505.4,ENSG00000223026.1,ENSG00000115844.10,ENSG00000281235.1,ENSG00000240966.3,ENSG00000206989.1,ENSG00000221380.1,ENSG00000243352.3,ENSG00000188613.6,ENSG00000118231.4,ENSG00000273975.1,ENSG00000197451.10,ENSG00000222536.1,ENSG00000277887.1,ENSG00000238443.1,ENSG00000253001.1,ENSG00000274309.1,ENSG00000199546.1,ENSG00000236371.4,ENSG00000242560.3,ENSG00000207873.1,ENSG00000202279.1,ENSG00000251924.1,ENSG00000105341.18,ENSG00000264322.2,ENSG00000212363.1,ENSG00000199273.1
ENSG00000198142.4,0.0,11.0,12.0,9.0,11.0,8.0,9.0,9.0,10.0,9.0,23.0,10.0,9.0,18.0,22.0,13.0,10.0,13.0,21.0,15.0,10.0,18.0,9.0,10.0,16.0,110.0,12.0,35.0,14.0,12.0,9.0,10.0,10.0,10.0,9.0,14.0,27.0,9.0,9.0,9.0,106.0,22.0,10.0,9.0
ENSG00000127530.2,11.0,0.0,12.0,8.0,12.0,9.0,7.0,8.0,10.0,9.0,10.0,7.0,8.0,11.0,9.0,13.0,8.0,11.0,10.0,12.0,9.0,8.0,8.0,11.0,8.0,10.0,10.0,9.0,11.0,8.0,8.0,8.0,9.0,8.0,8.0,13.0,9.0,8.0,9.0,11.0,11.0,10.0,9.0,8.0
ENSG00000116726.4,12.0,12.0,0.0,9.0,12.0,8.0,8.0,10.0,10.0,9.0,10.0,9.0,8.0,9.0,10.0,12.0,9.0,13.0,9.0,11.0,10.0,9.0,8.0,8.0,9.0,11.0,11.0,9.0,12.0,11.0,8.0,8.0,10.0,10.0,11.0,12.0,11.0,11.0,9.0,9.0,12.0,9.0,9.0,9.0
ENSG00000223162.1,9.0,8.0,9.0,0.0,9.0,6.0,7.0,7.0,6.0,21.0,9.0,7.0,6.0,7.0,8.0,9.0,6.0,10.0,8.0,10.0,7.0,6.0,6.0,6.0,8.0,8.0,8.0,6.0,10.0,7.0,6.0,6.0,8.0,6.0,6.0,9.0,7.0,8.0,7.0,15.0,11.0,6.0,7.0,7.0
ENSG00000169575.4,11.0,12.0,12.0,9.0,0.0,8.0,8.0,9.0,9.0,7.0,10.0,7.0,7.0,9.0,9.0,13.0,8.0,13.0,8.0,11.0,9.0,16.0,7.0,8.0,10.0,11.0,10.0,10.0,11.0,9.0,7.0,8.0,9.0,9.0,7.0,13.0,11.0,8.0,7.0,14.0,14.0,10.0,6.0,9.0
ENSG00000201622.1,8.0,9.0,8.0,6.0,8.0,0.0,7.0,6.0,8.0,6.0,6.0,8.0,50.0,9.0,8.0,11.0,6.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,9.0,9.0,7.0,8.0,7.0,6.0,6.0,7.0,6.0,6.0,11.0,8.0,8.0,5.0,7.0,11.0,7.0,7.0,6.0
ENSG00000238590.1,9.0,7.0,8.0,7.0,8.0,7.0,0.0,19.0,6.0,7.0,6.0,5.0,5.0,7.0,8.0,12.0,6.0,7.0,7.0,8.0,5.0,7.0,8.0,6.0,6.0,9.0,9.0,7.0,10.0,7.0,7.0,5.0,7.0,6.0,7.0,12.0,6.0,6.0,7.0,6.0,9.0,6.0,5.0,7.0
ENSG00000238950.1,9.0,8.0,10.0,7.0,9.0,6.0,19.0,0.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,11.0,5.0,9.0,6.0,8.0,10.0,8.0,5.0,7.0,7.0,9.0,9.0,8.0,10.0,5.0,5.0,7.0,8.0,7.0,7.0,11.0,8.0,6.0,8.0,5.0,9.0,9.0,6.0,6.0
ENSG00000222397.1,10.0,10.0,10.0,6.0,9.0,8.0,6.0,7.0,0.0,9.0,8.0,8.0,8.0,8.0,8.0,10.0,6.0,10.0,19.0,10.0,10.0,7.0,6.0,6.0,8.0,11.0,9.0,9.0,11.0,8.0,7.0,7.0,9.0,8.0,7.0,10.0,7.0,7.0,8.0,7.0,10.0,9.0,6.0,8.0
ENSG00000238908.1,9.0,9.0,9.0,21.0,7.0,6.0,7.0,6.0,9.0,0.0,8.0,7.0,7.0,7.0,8.0,10.0,6.0,8.0,7.0,9.0,8.0,6.0,6.0,7.0,8.0,9.0,11.0,7.0,10.0,8.0,6.0,6.0,7.0,6.0,6.0,10.0,7.0,7.0,6.0,13.0,9.0,7.0,7.0,7.0
ENSG00000243029.3,23.0,10.0,10.0,9.0,10.0,6.0,6.0,7.0,8.0,8.0,0.0,6.0,6.0,37.0,52.0,10.0,7.0,10.0,9.0,11.0,8.0,41.0,7.0,9.0,35.0,22.0,9.0,44.0,10.0,7.0,6.0,7.0,8.0,8.0,7.0,10.0,70.0,7.0,7.0,11.0,26.0,51.0,6.0,7.0
ENSG00000238519.1,10.0,7.0,9.0,7.0,7.0,8.0,5.0,6.0,8.0,7.0,6.0,0.0,7.0,7.0,7.0,10.0,8.0,11.0,7.0,10.0,7.0,8.0,7.0,6.0,7.0,8.0,10.0,7.0,9.0,8.0,6.0,6.0,8.0,9.0,6.0,10.0,8.0,7.0,7.0,6.0,11.0,7.0,7.0,6.0
ENSG00000200871.1,9.0,8.0,8.0,6.0,7.0,50.0,5.0,5.0,8.0,7.0,6.0,7.0,0.0,8.0,6.0,11.0,6.0,9.0,8.0,9.0,6.0,8.0,7.0,8.0,7.0,10.0,9.0,7.0,11.0,8.0,8.0,7.0,8.0,6.0,7.0,11.0,6.0,8.0,5.0,6.0,9.0,9.0,7.0,6.0
ENSG00000241604.3,18.0,11.0,9.0,7.0,9.0,9.0,7.0,7.0,8.0,7.0,37.0,7.0,8.0,0.0,23.0,11.0,7.0,12.0,9.0,9.0,8.0,17.0,7.0,7.0,29.0,19.0,13.0,15.0,10.0,8.0,8.0,11.0,8.0,7.0,6.0,11.0,29.0,7.0,6.0,10.0,20.0,56.0,7.0,8.0
ENSG00000265327.2,22.0,9.0,10.0,8.0,9.0,8.0,8.0,6.0,8.0,8.0,52.0,7.0,6.0,23.0,0.0,9.0,6.0,12.0,9.0,11.0,8.0,20.0,7.0,7.0,27.0,19.0,12.0,22.0,11.0,7.0,7.0,7.0,8.0,7.0,6.0,9.0,53.0,8.0,7.0,11.0,18.0,48.0,6.0,8.0
ENSG00000226685.4,13.0,13.0,12.0,9.0,13.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,0.0,9.0,12.0,11.0,11.0,8.0,10.0,8.0,9.0,9.0,13.0,12.0,10.0,13.0,8.0,8.0,7.0,10.0,9.0,8.0,2044.0,8.0,8.0,9.0,8.0,12.0,9.0,9.0,10.0
ENSG00000274872.1,10.0,8.0,9.0,6.0,8.0,6.0,6.0,5.0,6.0,6.0,7.0,8.0,6.0,7.0,6.0,9.0,0.0,9.0,7.0,8.0,5.0,7.0,6.0,6.0,9.0,10.0,9.0,7.0,9.0,7.0,6.0,5.0,8.0,6.0,6.0,9.0,6.0,7.0,5.0,6.0,8.0,7.0,9.0,6.0
ENSG00000188505.4,13.0,11.0,13.0,10.0,13.0,8.0,7.0,9.0,10.0,8.0,10.0,11.0,9.0,12.0,12.0,12.0,9.0,0.0,11.0,13.0,10.0,11.0,8.0,9.0,11.0,18.0,64.0,10.0,31.0,11.0,9.0,10.0,9.0,10.0,9.0,13.0,10.0,11.0,10.0,12.0,117.0,12.0,10.0,10.0
ENSG00000223026.1,21.0,10.0,9.0,8.0,8.0,8.0,7.0,6.0,19.0,7.0,9.0,7.0,8.0,9.0,9.0,11.0,7.0,11.0,0.0,10.0,12.0,8.0,6.0,8.0,12.0,11.0,10.0,10.0,11.0,8.0,6.0,7.0,10.0,8.0,7.0,11.0,8.0,7.0,9.0,6.0,20.0,9.0,7.0,6.0
ENSG00000115844.10,15.0,12.0,11.0,10.0,11.0,8.0,8.0,8.0,10.0,9.0,11.0,10.0,9.0,9.0,11.0,11.0,8.0,13.0,10.0,0.0,8.0,9.0,9.0,10.0,9.0,14.0,12.0,9.0,13.0,12.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,9.0,12.0,10.0,9.0,9.0
ENSG00000281235.1,10.0,9.0,10.0,7.0,9.0,7.0,5.0,10.0,10.0,8.0,8.0,7.0,6.0,8.0,8.0,8.0,5.0,10.0,12.0,8.0,0.0,7.0,7.0,6.0,7.0,10.0,10.0,8.0,9.0,6.0,6.0,6.0,7.0,7.0,6.0,8.0,8.0,9.0,8.0,6.0,10.0,8.0,7.0,8.0
ENSG00000240966.3,18.0,8.0,9.0,6.0,16.0,7.0,7.0,8.0,7.0,6.0,41.0,8.0,8.0,17.0,20.0,10.0,7.0,11.0,8.0,9.0,7.0,0.0,6.0,7.0,27.0,19.0,9.0,27.0,12.0,8.0,7.0,7.0,7.0,6.0,7.0,10.0,29.0,8.0,6.0,8.0,17.0,28.0,8.0,8.0
