,>ENST00000570978.1,>ENST00000567333.1,>ENST00000440817.2,>ENST00000556398.1,>ENST00000442420.1,>ENST00000453850.2,>ENST00000550183.2,>ENST00000514530.2,>ENST00000429799.1,>ENST00000454105.1,>ENST00000459980.1,>ENST00000587471.1,>ENST00000416095.1,>ENST00000511578.1,>ENST00000502765.1,ENSG00000202358.1,>ENST00000512987.1,>ENST00000400596.2,>ENST00000437576.2,>ENST00000481033.1,>ENST00000616549.1,>ENST00000538358.1,>ENST00000440465.1,>ENST00000449447.1,>ENST00000419456.3,>ENST00000621292.1,ENSG00000222858.1,>ENST00000605113.1,>ENST00000427811.2,>ENST00000456220.1,>ENST00000414182.2,>ENST00000424744.1,>ENST00000424125.1,>ENST00000445374.1
>ENST00000570978.1,0.0,8.0,7.0,9.0,8.0,7.0,9.0,7.0,11.0,6.0,9.0,9.0,10.0,8.0,8.0,8.0,8.0,9.0,10.0,7.0,8.0,7.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,12.0,10.0,9.0,8.0,8.0
>ENST00000567333.1,8.0,0.0,9.0,7.0,9.0,8.0,8.0,9.0,10.0,7.0,10.0,9.0,10.0,9.0,9.0,7.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,8.0,8.0,10.0,7.0,9.0,7.0,9.0,9.0,10.0,7.0,7.0
>ENST00000440817.2,7.0,9.0,0.0,8.0,10.0,7.0,6.0,8.0,9.0,7.0,8.0,8.0,94.0,7.0,12.0,8.0,9.0,8.0,8.0,9.0,9.0,6.0,10.0,8.0,8.0,8.0,6.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0
>ENST00000556398.1,9.0,7.0,8.0,0.0,10.0,7.0,9.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,8.0,7.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,8.0,11.0,6.0,9.0,7.0,9.0,10.0,7.0,8.0,8.0
>ENST00000442420.1,8.0,9.0,10.0,10.0,0.0,9.0,8.0,10.0,13.0,9.0,11.0,11.0,8.0,9.0,11.0,10.0,11.0,11.0,11.0,9.0,13.0,10.0,12.0,10.0,9.0,10.0,8.0,9.0,9.0,10.0,13.0,9.0,10.0,10.0
>ENST00000453850.2,7.0,8.0,7.0,7.0,9.0,0.0,6.0,8.0,9.0,8.0,8.0,8.0,6.0,9.0,10.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,8.0,10.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,8.0,8.0,8.0
>ENST00000550183.2,9.0,8.0,6.0,9.0,8.0,6.0,0.0,7.0,9.0,10.0,9.0,7.0,9.0,6.0,9.0,6.0,7.0,8.0,8.0,7.0,9.0,7.0,10.0,9.0,7.0,8.0,6.0,7.0,7.0,8.0,9.0,6.0,8.0,9.0
>ENST00000514530.2,7.0,9.0,8.0,7.0,10.0,8.0,7.0,0.0,10.0,7.0,10.0,9.0,9.0,8.0,10.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,11.0,12.0,9.0,9.0,7.0,8.0,8.0,10.0,11.0,8.0,10.0,9.0
>ENST00000429799.1,11.0,10.0,9.0,9.0,13.0,9.0,9.0,10.0,0.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,9.0,11.0,13.0,9.0,11.0,10.0,9.0,10.0,8.0,10.0,10.0,9.0,11.0,9.0,11.0,11.0
>ENST00000454105.1,6.0,7.0,7.0,8.0,9.0,8.0,10.0,7.0,8.0,0.0,8.0,5.0,7.0,8.0,7.0,6.0,6.0,8.0,8.0,6.0,7.0,7.0,12.0,8.0,7.0,8.0,6.0,6.0,8.0,7.0,9.0,7.0,8.0,9.0
>ENST00000459980.1,9.0,10.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,8.0,0.0,7.0,9.0,10.0,9.0,7.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,7.0,8.0,9.0,9.0,10.0,10.0,9.0,9.0
>ENST00000587471.1,9.0,9.0,8.0,8.0,11.0,8.0,7.0,9.0,11.0,5.0,7.0,0.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,8.0,9.0,10.0,9.0,9.0,12.0,7.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0
