,ENSG00000219607.3,ENSG00000251876.1,ENSG00000200057.1,ENSG00000238934.1,ENSG00000251897.1,ENSG00000238326.1,ENSG00000201016.1,ENSG00000238933.1,ENSG00000252220.1,ENSG00000207443.1,ENSG00000144591.18,ENSG00000207092.1,ENSG00000201365.1,ENSG00000265236.1,ENSG00000207134.1,ENSG00000223027.1,ENSG00000199446.1,ENSG00000252555.1
ENSG00000219607.3,0.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,92.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0
ENSG00000251876.1,9.0,0.0,9.0,6.0,11.0,6.0,7.0,6.0,7.0,9.0,9.0,6.0,6.0,5.0,10.0,8.0,11.0,12.0
ENSG00000200057.1,11.0,9.0,0.0,9.0,8.0,7.0,8.0,7.0,7.0,8.0,10.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0
ENSG00000238934.1,9.0,6.0,9.0,0.0,5.0,7.0,6.0,5.0,6.0,6.0,9.0,5.0,5.0,7.0,6.0,6.0,6.0,6.0
ENSG00000251897.1,10.0,11.0,8.0,5.0,0.0,7.0,29.0,5.0,10.0,30.0,10.0,6.0,5.0,6.0,25.0,6.0,33.0,26.0
ENSG00000238326.1,9.0,6.0,7.0,7.0,7.0,0.0,6.0,7.0,6.0,6.0,9.0,5.0,5.0,7.0,8.0,7.0,6.0,6.0
ENSG00000201016.1,8.0,7.0,8.0,6.0,29.0,6.0,0.0,5.0,11.0,15.0,12.0,5.0,6.0,6.0,36.0,6.0,30.0,31.0
ENSG00000238933.1,9.0,6.0,7.0,5.0,5.0,7.0,5.0,0.0,7.0,6.0,10.0,12.0,20.0,6.0,6.0,7.0,7.0,6.0
ENSG00000252220.1,10.0,7.0,7.0,6.0,10.0,6.0,11.0,7.0,0.0,9.0,10.0,8.0,5.0,8.0,13.0,8.0,16.0,9.0
ENSG00000207443.1,9.0,9.0,8.0,6.0,30.0,6.0,15.0,6.0,9.0,0.0,9.0,6.0,8.0,6.0,32.0,7.0,36.0,23.0
ENSG00000144591.18,92.0,9.0,10.0,9.0,10.0,9.0,12.0,10.0,10.0,9.0,0.0,10.0,10.0,9.0,9.0,10.0,9.0,10.0
ENSG00000207092.1,8.0,6.0,7.0,5.0,6.0,5.0,5.0,12.0,8.0,6.0,10.0,0.0,11.0,7.0,6.0,8.0,7.0,6.0
ENSG00000201365.1,10.0,6.0,8.0,5.0,5.0,5.0,6.0,20.0,5.0,8.0,10.0,11.0,0.0,7.0,6.0,6.0,6.0,7.0
ENSG00000265236.1,9.0,5.0,7.0,7.0,6.0,7.0,6.0,6.0,8.0,6.0,9.0,7.0,7.0,0.0,7.0,7.0,6.0,6.0
ENSG00000207134.1,9.0,10.0,8.0,6.0,25.0,8.0,36.0,6.0,13.0,32.0,9.0,6.0,6.0,7.0,0.0,7.0,52.0,43.0
ENSG00000223027.1,9.0,8.0,7.0,6.0,6.0,7.0,6.0,7.0,8.0,7.0,10.0,8.0,6.0,7.0,7.0,0.0,7.0,7.0
ENSG00000199446.1,9.0,11.0,8.0,6.0,33.0,6.0,30.0,7.0,16.0,36.0,9.0,7.0,6.0,6.0,52.0,7.0,0.0,39.0
ENSG00000252555.1,9.0,12.0,8.0,6.0,26.0,6.0,31.0,6.0,9.0,23.0,10.0,6.0,7.0,6.0,43.0,7.0,39.0,0.0
