,>ENST00000432928.1,>ENST00000436983.2,ENSG00000200884.1,>ENST00000556034.1,>ENST00000440329.2,>ENST00000513483.2,ENSG00000275684.1,ENSG00000167468.16,>ENST00000590066.1,>ENST00000417888.1,>ENST00000433383.1,>ENST00000415481.1,>ENST00000454843.1,>ENST00000605383.1,>ENST00000590640.1,>ENST00000418695.1,>ENST00000427230.2,>ENST00000555940.1,>ENST00000549403.1,ENSG00000251861.1,>ENST00000417799.2,>ENST00000436446.1,>ENST00000434894.1
>ENST00000432928.1,0.0,12.0,9.0,11.0,9.0,11.0,8.0,13.0,9.0,10.0,11.0,12.0,10.0,10.0,11.0,10.0,13.0,11.0,10.0,10.0,12.0,10.0,10.0
>ENST00000436983.2,12.0,0.0,7.0,10.0,8.0,9.0,7.0,8.0,8.0,9.0,10.0,11.0,8.0,10.0,8.0,9.0,11.0,10.0,11.0,7.0,10.0,8.0,9.0
ENSG00000200884.1,9.0,7.0,0.0,7.0,6.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,7.0,6.0,8.0,9.0,8.0
>ENST00000556034.1,11.0,10.0,7.0,0.0,9.0,9.0,6.0,11.0,8.0,8.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,11.0,10.0,11.0
>ENST00000440329.2,9.0,8.0,6.0,9.0,0.0,8.0,6.0,10.0,10.0,8.0,10.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0
>ENST00000513483.2,11.0,9.0,8.0,9.0,8.0,0.0,6.0,9.0,11.0,10.0,11.0,11.0,11.0,8.0,9.0,10.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0
ENSG00000275684.1,8.0,7.0,7.0,6.0,6.0,6.0,0.0,10.0,8.0,7.0,7.0,8.0,8.0,7.0,10.0,7.0,8.0,7.0,6.0,7.0,7.0,6.0,7.0
ENSG00000167468.16,13.0,8.0,8.0,11.0,10.0,9.0,10.0,0.0,10.0,12.0,10.0,11.0,12.0,9.0,12.0,10.0,10.0,10.0,13.0,12.0,9.0,9.0,9.0
>ENST00000590066.1,9.0,8.0,9.0,8.0,10.0,11.0,8.0,10.0,0.0,10.0,11.0,10.0,10.0,8.0,8.0,9.0,10.0,9.0,8.0,7.0,10.0,9.0,10.0
>ENST00000417888.1,10.0,9.0,7.0,8.0,8.0,10.0,7.0,12.0,10.0,0.0,11.0,9.0,8.0,9.0,9.0,9.0,9.0,9.0,10.0,7.0,10.0,8.0,8.0
>ENST00000433383.1,11.0,10.0,8.0,12.0,10.0,11.0,7.0,10.0,11.0,11.0,0.0,10.0,12.0,8.0,8.0,10.0,11.0,11.0,10.0,8.0,10.0,9.0,10.0
>ENST00000415481.1,12.0,11.0,8.0,9.0,10.0,11.0,8.0,11.0,10.0,9.0,10.0,0.0,10.0,11.0,14.0,9.0,11.0,8.0,8.0,8.0,11.0,10.0,9.0
>ENST00000454843.1,10.0,8.0,9.0,9.0,10.0,11.0,8.0,12.0,10.0,8.0,12.0,10.0,0.0,10.0,10.0,10.0,12.0,8.0,9.0,10.0,11.0,9.0,11.0
>ENST00000605383.1,10.0,10.0,8.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0,8.0,11.0,10.0,0.0,9.0,9.0,9.0,9.0,11.0,6.0,10.0,8.0,8.0
>ENST00000590640.1,11.0,8.0,7.0,9.0,9.0,9.0,10.0,12.0,8.0,9.0,8.0,14.0,10.0,9.0,0.0,9.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0
>ENST00000418695.1,10.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,0.0,9.0,11.0,10.0,8.0,9.0,8.0,8.0
>ENST00000427230.2,13.0,11.0,9.0,9.0,9.0,9.0,8.0,10.0,10.0,9.0,11.0,11.0,12.0,9.0,9.0,9.0,0.0,9.0,11.0,11.0,10.0,9.0,11.0
>ENST00000555940.1,11.0,10.0,7.0,9.0,9.0,10.0,7.0,10.0,9.0,9.0,11.0,8.0,8.0,9.0,10.0,11.0,9.0,0.0,11.0,7.0,12.0,9.0,8.0
>ENST00000549403.1,10.0,11.0,7.0,10.0,9.0,10.0,6.0,13.0,8.0,10.0,10.0,8.0,9.0,11.0,10.0,10.0,11.0,11.0,0.0,8.0,13.0,10.0,9.0
ENSG00000251861.1,10.0,7.0,6.0,10.0,9.0,8.0,7.0,12.0,7.0,7.0,8.0,8.0,10.0,6.0,10.0,8.0,11.0,7.0,8.0,0.0,9.0,7.0,8.0
>ENST00000417799.2,12.0,10.0,8.0,11.0,8.0,8.0,7.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,12.0,9.0,10.0,12.0,13.0,9.0,0.0,11.0,10.0
>ENST00000436446.1,10.0,8.0,9.0,10.0,8.0,8.0,6.0,9.0,9.0,8.0,9.0,10.0,9.0,8.0,9.0,8.0,9.0,9.0,10.0,7.0,11.0,0.0,8.0
>ENST00000434894.1,10.0,9.0,8.0,11.0,9.0,9.0,7.0,9.0,10.0,8.0,10.0,9.0,11.0,8.0,10.0,8.0,11.0,8.0,9.0,8.0,10.0,8.0,0.0
