,>ENST00000464531.1,>ENST00000434320.1,ENSG00000266016.2,>ENST00000512021.1,>ENST00000614660.1,>ENST00000405197.2,>ENST00000406819.2,>ENST00000441407.1,>ENST00000576249.1,>ENST00000619798.1,>ENST00000407885.2,>ENST00000635343.1,>ENST00000612597.1,>ENST00000521785.1,>ENST00000605663.1,>ENST00000578792.2,ENSG00000244404.3,>ENST00000420526.1,>ENST00000603980.1,>ENST00000414329.1,>ENST00000604583.1
>ENST00000464531.1,0.0,11.0,8.0,9.0,11.0,9.0,11.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,7.0,10.0,9.0,13.0,8.0,9.0,10.0
>ENST00000434320.1,11.0,0.0,7.0,9.0,11.0,10.0,9.0,10.0,9.0,9.0,10.0,11.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,11.0,11.0
ENSG00000266016.2,8.0,7.0,0.0,7.0,8.0,7.0,10.0,5.0,7.0,7.0,7.0,8.0,8.0,10.0,6.0,8.0,6.0,7.0,7.0,8.0,7.0
>ENST00000512021.1,9.0,9.0,7.0,0.0,9.0,10.0,11.0,7.0,10.0,8.0,12.0,10.0,8.0,10.0,9.0,12.0,9.0,10.0,8.0,12.0,10.0
>ENST00000614660.1,11.0,11.0,8.0,9.0,0.0,10.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,14.0,9.0,10.0,10.0,10.0,9.0,9.0,9.0
>ENST00000405197.2,9.0,10.0,7.0,10.0,10.0,0.0,9.0,9.0,10.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0
>ENST00000406819.2,11.0,9.0,10.0,11.0,9.0,9.0,0.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,8.0,10.0,9.0,9.0,10.0
>ENST00000441407.1,9.0,10.0,5.0,7.0,9.0,9.0,9.0,0.0,10.0,10.0,7.0,9.0,8.0,8.0,9.0,11.0,8.0,10.0,8.0,10.0,9.0
>ENST00000576249.1,9.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,0.0,9.0,8.0,9.0,10.0,9.0,11.0,9.0,9.0,9.0,11.0,10.0,9.0
>ENST00000619798.1,10.0,9.0,7.0,8.0,9.0,9.0,9.0,10.0,9.0,0.0,9.0,9.0,8.0,8.0,9.0,11.0,9.0,8.0,9.0,8.0,9.0
>ENST00000407885.2,10.0,10.0,7.0,12.0,10.0,11.0,9.0,7.0,8.0,9.0,0.0,11.0,8.0,9.0,7.0,10.0,8.0,9.0,8.0,10.0,8.0
>ENST00000635343.1,10.0,11.0,8.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,11.0,0.0,8.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0
>ENST00000612597.1,9.0,12.0,8.0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,8.0,8.0,0.0,8.0,10.0,9.0,10.0,9.0,9.0,8.0,10.0
>ENST00000521785.1,11.0,9.0,10.0,10.0,14.0,9.0,11.0,8.0,9.0,8.0,9.0,10.0,8.0,0.0,7.0,8.0,8.0,9.0,11.0,9.0,11.0
>ENST00000605663.1,7.0,10.0,6.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,7.0,10.0,10.0,7.0,0.0,9.0,8.0,8.0,12.0,8.0,7.0
>ENST00000578792.2,10.0,10.0,8.0,12.0,10.0,9.0,9.0,11.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,0.0,8.0,9.0,11.0,8.0,8.0
ENSG00000244404.3,9.0,9.0,6.0,9.0,10.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,8.0,8.0,0.0,8.0,10.0,8.0,8.0
>ENST00000420526.1,13.0,9.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,0.0,9.0,10.0,10.0
>ENST00000603980.1,8.0,9.0,7.0,8.0,9.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,9.0,11.0,12.0,11.0,10.0,9.0,0.0,9.0,9.0
>ENST00000414329.1,9.0,11.0,8.0,12.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,10.0,9.0,0.0,9.0
>ENST00000604583.1,10.0,11.0,7.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,11.0,7.0,8.0,8.0,10.0,9.0,9.0,0.0
