,>ENST00000448785.1,>ENST00000488102.2,>ENST00000420654.1,>ENST00000611053.1,>ENST00000458547.1,ENSG00000194297.2,>ENST00000438427.1,>ENST00000438972.1,>ENST00000435181.1,>ENST00000603664.1,>ENST00000547436.2,>ENST00000449426.1,>ENST00000491120.1,>ENST00000477545.1
>ENST00000448785.1,0.0,11.0,8.0,9.0,8.0,7.0,14.0,8.0,10.0,9.0,9.0,10.0,7.0,9.0
>ENST00000488102.2,11.0,0.0,9.0,9.0,8.0,7.0,10.0,8.0,9.0,7.0,13.0,11.0,9.0,10.0
>ENST00000420654.1,8.0,9.0,0.0,7.0,9.0,7.0,9.0,7.0,8.0,8.0,9.0,9.0,7.0,11.0
>ENST00000611053.1,9.0,9.0,7.0,0.0,8.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,9.0
>ENST00000458547.1,8.0,8.0,9.0,8.0,0.0,7.0,10.0,9.0,11.0,8.0,8.0,11.0,10.0,12.0
ENSG00000194297.2,7.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,8.0,6.0,7.0,11.0,6.0,8.0
>ENST00000438427.1,14.0,10.0,9.0,9.0,10.0,7.0,0.0,9.0,9.0,9.0,9.0,11.0,9.0,10.0
>ENST00000438972.1,8.0,8.0,7.0,9.0,9.0,7.0,9.0,0.0,10.0,8.0,10.0,10.0,8.0,9.0
>ENST00000435181.1,10.0,9.0,8.0,9.0,11.0,8.0,9.0,10.0,0.0,11.0,10.0,10.0,12.0,11.0
>ENST00000603664.1,9.0,7.0,8.0,8.0,8.0,6.0,9.0,8.0,11.0,0.0,8.0,10.0,8.0,9.0
>ENST00000547436.2,9.0,13.0,9.0,8.0,8.0,7.0,9.0,10.0,10.0,8.0,0.0,10.0,7.0,10.0
>ENST00000449426.1,10.0,11.0,9.0,10.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,0.0,11.0,11.0
>ENST00000491120.1,7.0,9.0,7.0,7.0,10.0,6.0,9.0,8.0,12.0,8.0,7.0,11.0,0.0,9.0
>ENST00000477545.1,9.0,10.0,11.0,9.0,12.0,8.0,10.0,9.0,11.0,9.0,10.0,11.0,9.0,0.0
