,>ENST00000512421.1,>ENST00000412976.1,>ENST00000433403.1,>ENST00000518653.1,>ENST00000517662.1,>ENST00000421881.1,>ENST00000622380.1,>ENST00000422106.2,>ENST00000431907.2,>ENST00000440087.1,>ENST00000520355.1,>ENST00000522790.1,>ENST00000474387.1,>ENST00000437894.2,>ENST00000611186.1,>ENST00000604589.1,>ENST00000446973.1,>ENST00000595913.1,>ENST00000481577.1,>ENST00000514912.1,>ENST00000580066.1,>ENST00000413372.1,>ENST00000420610.1,>ENST00000632944.1,ENSG00000240053.8,>ENST00000429327.1,>ENST00000557514.1
>ENST00000512421.1,0.0,11.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,9.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,8.0,11.0,10.0,16.0,8.0,9.0
>ENST00000412976.1,11.0,0.0,8.0,11.0,12.0,10.0,9.0,10.0,11.0,12.0,10.0,10.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,14.0,10.0,11.0,8.0,12.0
>ENST00000433403.1,8.0,8.0,0.0,8.0,8.0,8.0,7.0,7.0,8.0,9.0,10.0,8.0,7.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,9.0,10.0,10.0,10.0,7.0,8.0
>ENST00000518653.1,9.0,11.0,8.0,0.0,9.0,11.0,9.0,8.0,12.0,9.0,8.0,8.0,8.0,8.0,12.0,9.0,7.0,8.0,10.0,8.0,9.0,9.0,11.0,9.0,9.0,7.0,10.0
>ENST00000517662.1,10.0,12.0,8.0,9.0,0.0,11.0,9.0,9.0,11.0,10.0,12.0,9.0,10.0,9.0,11.0,11.0,9.0,11.0,11.0,9.0,8.0,10.0,11.0,10.0,12.0,9.0,9.0
>ENST00000421881.1,9.0,10.0,8.0,11.0,11.0,0.0,11.0,9.0,10.0,10.0,10.0,9.0,9.0,8.0,13.0,9.0,8.0,9.0,11.0,11.0,8.0,10.0,12.0,12.0,12.0,8.0,10.0
>ENST00000622380.1,10.0,9.0,7.0,9.0,9.0,11.0,0.0,9.0,8.0,10.0,9.0,8.0,11.0,9.0,10.0,7.0,8.0,9.0,9.0,9.0,7.0,10.0,11.0,9.0,10.0,7.0,7.0
>ENST00000422106.2,9.0,10.0,7.0,8.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0,10.0,10.0,8.0,8.0,7.0,9.0,9.0,9.0,9.0,7.0,8.0,10.0,11.0,10.0,7.0,9.0
>ENST00000431907.2,10.0,11.0,8.0,12.0,11.0,10.0,8.0,9.0,0.0,11.0,11.0,10.0,9.0,10.0,14.0,10.0,9.0,10.0,9.0,12.0,9.0,11.0,14.0,11.0,10.0,8.0,9.0
>ENST00000440087.1,11.0,12.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,0.0,9.0,8.0,7.0,9.0,10.0,7.0,7.0,11.0,8.0,7.0,7.0,12.0,11.0,12.0,11.0,8.0,9.0
>ENST00000520355.1,9.0,10.0,10.0,8.0,12.0,10.0,9.0,10.0,11.0,9.0,0.0,9.0,13.0,8.0,11.0,8.0,7.0,9.0,10.0,8.0,8.0,8.0,11.0,9.0,10.0,9.0,11.0
>ENST00000522790.1,9.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,10.0,8.0,9.0,0.0,9.0,10.0,9.0,8.0,6.0,8.0,9.0,9.0,8.0,10.0,11.0,10.0,11.0,7.0,8.0
>ENST00000474387.1,9.0,9.0,7.0,8.0,10.0,9.0,11.0,10.0,9.0,7.0,13.0,9.0,0.0,8.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,10.0,12.0,11.0,7.0,10.0
>ENST00000437894.2,10.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,10.0,9.0,8.0,10.0,8.0,0.0,8.0,7.0,7.0,8.0,9.0,10.0,7.0,9.0,10.0,11.0,11.0,7.0,8.0
>ENST00000611186.1,10.0,11.0,8.0,12.0,11.0,13.0,10.0,8.0,14.0,10.0,11.0,9.0,8.0,8.0,0.0,9.0,9.0,14.0,9.0,10.0,8.0,11.0,10.0,10.0,13.0,10.0,9.0
