,>ENST00000510214.1,>ENST00000415214.2,>ENST00000419494.1,>ENST00000604384.2,>ENST00000605584.1,>ENST00000526214.1,>ENST00000453661.1,ENSG00000221589.1,>ENST00000441481.1,>ENST00000400943.3,>ENST00000426983.1,>ENST00000254724.6,>ENST00000451721.1,>ENST00000604050.1,>ENST00000481963.1,>ENST00000502273.6,>ENST00000488229.1,>ENST00000604222.1,>ENST00000514865.2,>ENST00000434479.2,>ENST00000512969.1,>ENST00000450334.2,>ENST00000600605.1,>ENST00000605319.1,>ENST00000478433.1,>ENST00000450055.1,>ENST00000560214.2,>ENST00000622821.1,>ENST00000438138.1,>ENST00000401911.1,>ENST00000413684.1,>ENST00000441215.2,>ENST00000415429.1,>ENST00000452069.1,>ENST00000420944.1
>ENST00000510214.1,0.0,9.0,14.0,9.0,10.0,9.0,9.0,7.0,11.0,8.0,12.0,10.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,11.0,14.0,10.0,10.0,10.0,12.0,13.0,12.0,28.0,12.0,10.0
>ENST00000415214.2,9.0,0.0,11.0,8.0,9.0,9.0,10.0,7.0,9.0,9.0,10.0,8.0,11.0,8.0,9.0,7.0,11.0,10.0,8.0,7.0,7.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,9.0,11.0,9.0
>ENST00000419494.1,14.0,11.0,0.0,8.0,10.0,12.0,9.0,9.0,11.0,10.0,11.0,9.0,10.0,10.0,9.0,8.0,10.0,12.0,10.0,9.0,9.0,10.0,9.0,9.0,12.0,9.0,10.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,9.0
>ENST00000604384.2,9.0,8.0,8.0,0.0,11.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,7.0,8.0,7.0,11.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,9.0,8.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0,10.0,7.0
>ENST00000605584.1,10.0,9.0,10.0,11.0,0.0,10.0,10.0,7.0,11.0,9.0,9.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,10.0,9.0,11.0,9.0,10.0
>ENST00000526214.1,9.0,9.0,12.0,9.0,10.0,0.0,11.0,8.0,11.0,12.0,10.0,8.0,10.0,10.0,10.0,8.0,12.0,11.0,11.0,8.0,9.0,10.0,9.0,8.0,11.0,9.0,11.0,11.0,12.0,10.0,10.0,11.0,10.0,9.0,8.0
>ENST00000453661.1,9.0,10.0,9.0,9.0,10.0,11.0,0.0,8.0,10.0,11.0,10.0,14.0,11.0,11.0,11.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,11.0,8.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0
ENSG00000221589.1,7.0,7.0,9.0,9.0,7.0,8.0,8.0,0.0,10.0,8.0,7.0,7.0,8.0,8.0,10.0,5.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0,8.0,9.0,8.0,8.0
>ENST00000441481.1,11.0,9.0,11.0,9.0,11.0,11.0,10.0,10.0,0.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,11.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,11.0,12.0,8.0,9.0,10.0,10.0,12.0,10.0,10.0,9.0
>ENST00000400943.3,8.0,9.0,10.0,8.0,9.0,12.0,11.0,8.0,10.0,0.0,10.0,9.0,10.0,9.0,10.0,9.0,11.0,10.0,8.0,11.0,11.0,9.0,9.0,10.0,10.0,10.0,11.0,8.0,10.0,10.0,11.0,11.0,10.0,11.0,10.0
