,>ENST00000606889.1,>ENST00000419271.1,>ENST00000585766.1,>ENST00000430724.2,>ENST00000454746.1,>ENST00000457027.1,ENSG00000221340.1,>ENST00000415533.1,>ENST00000453092.3,>ENST00000442087.2,ENSG00000239984.3,>ENST00000420392.1,>ENST00000613415.1,>ENST00000605798.1,>ENST00000528351.1,>ENST00000611595.1,>ENST00000479705.5,>ENST00000416141.2
>ENST00000606889.1,0.0,8.0,8.0,10.0,8.0,8.0,7.0,8.0,8.0,7.0,7.0,10.0,9.0,10.0,9.0,7.0,11.0,9.0
>ENST00000419271.1,8.0,0.0,8.0,11.0,12.0,11.0,9.0,10.0,11.0,12.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,12.0
>ENST00000585766.1,8.0,8.0,0.0,8.0,9.0,7.0,8.0,7.0,11.0,8.0,8.0,8.0,6.0,7.0,9.0,8.0,10.0,10.0
>ENST00000430724.2,10.0,11.0,8.0,0.0,11.0,8.0,8.0,10.0,11.0,8.0,8.0,10.0,7.0,7.0,9.0,11.0,11.0,9.0
>ENST00000454746.1,8.0,12.0,9.0,11.0,0.0,9.0,9.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,11.0,11.0,10.0
>ENST00000457027.1,8.0,11.0,7.0,8.0,9.0,0.0,11.0,11.0,10.0,10.0,8.0,11.0,9.0,8.0,8.0,8.0,12.0,10.0
ENSG00000221340.1,7.0,9.0,8.0,8.0,9.0,11.0,0.0,9.0,9.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,10.0,8.0
>ENST00000415533.1,8.0,10.0,7.0,10.0,9.0,11.0,9.0,0.0,11.0,7.0,9.0,10.0,8.0,9.0,10.0,8.0,10.0,9.0
>ENST00000453092.3,8.0,11.0,11.0,11.0,10.0,10.0,9.0,11.0,0.0,8.0,10.0,12.0,10.0,11.0,10.0,10.0,13.0,9.0
>ENST00000442087.2,7.0,12.0,8.0,8.0,10.0,10.0,7.0,7.0,8.0,0.0,7.0,10.0,10.0,8.0,9.0,10.0,11.0,10.0
ENSG00000239984.3,7.0,10.0,8.0,8.0,9.0,8.0,7.0,9.0,10.0,7.0,0.0,9.0,9.0,7.0,8.0,8.0,9.0,9.0
>ENST00000420392.1,10.0,10.0,8.0,10.0,10.0,11.0,8.0,10.0,12.0,10.0,9.0,0.0,13.0,8.0,11.0,12.0,10.0,11.0
>ENST00000613415.1,9.0,10.0,6.0,7.0,9.0,9.0,7.0,8.0,10.0,10.0,9.0,13.0,0.0,9.0,8.0,8.0,9.0,8.0
>ENST00000605798.1,10.0,9.0,7.0,7.0,9.0,8.0,7.0,9.0,11.0,8.0,7.0,8.0,9.0,0.0,9.0,7.0,10.0,8.0
>ENST00000528351.1,9.0,9.0,9.0,9.0,9.0,8.0,7.0,10.0,10.0,9.0,8.0,11.0,8.0,9.0,0.0,11.0,11.0,9.0
>ENST00000611595.1,7.0,9.0,8.0,11.0,11.0,8.0,8.0,8.0,10.0,10.0,8.0,12.0,8.0,7.0,11.0,0.0,11.0,9.0
>ENST00000479705.5,11.0,11.0,10.0,11.0,11.0,12.0,10.0,10.0,13.0,11.0,9.0,10.0,9.0,10.0,11.0,11.0,0.0,11.0
>ENST00000416141.2,9.0,12.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0,9.0,11.0,0.0
