,>ENST00000518729.1,>ENST00000452472.2,>ENST00000463228.1,>ENST00000507871.1,>ENST00000452234.1,>ENST00000450007.1,>ENST00000421341.2,>ENST00000404226.2,>ENST00000511117.1,ENSG00000132661.3,ENSG00000252209.1,>ENST00000509955.1,>ENST00000397383.2,>ENST00000611319.1,>ENST00000458718.2,>ENST00000623630.1,>ENST00000513311.1,>ENST00000519781.1,>ENST00000434500.5,>ENST00000418220.1,>ENST00000510718.1,>ENST00000548639.1,>ENST00000456427.1,ENSG00000252323.1,>ENST00000423135.1,>ENST00000604187.1,>ENST00000452541.1,ENSG00000175567.8
>ENST00000518729.1,0.0,8.0,10.0,9.0,10.0,8.0,9.0,10.0,7.0,12.0,8.0,11.0,11.0,10.0,12.0,9.0,9.0,9.0,10.0,11.0,8.0,7.0,9.0,6.0,7.0,9.0,9.0,12.0
>ENST00000452472.2,8.0,0.0,10.0,9.0,9.0,7.0,11.0,10.0,6.0,10.0,7.0,9.0,8.0,7.0,7.0,8.0,7.0,8.0,9.0,8.0,10.0,6.0,7.0,6.0,9.0,9.0,7.0,10.0
>ENST00000463228.1,10.0,10.0,0.0,10.0,10.0,8.0,10.0,9.0,9.0,12.0,8.0,12.0,9.0,8.0,8.0,9.0,10.0,9.0,9.0,8.0,10.0,10.0,9.0,8.0,8.0,10.0,9.0,14.0
>ENST00000507871.1,9.0,9.0,10.0,0.0,10.0,9.0,12.0,11.0,11.0,11.0,8.0,10.0,12.0,10.0,9.0,11.0,10.0,9.0,11.0,11.0,9.0,8.0,13.0,9.0,8.0,10.0,10.0,12.0
>ENST00000452234.1,10.0,9.0,10.0,10.0,0.0,9.0,10.0,11.0,10.0,11.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,12.0,9.0,9.0,9.0,10.0,8.0,9.0,9.0,10.0,11.0
>ENST00000450007.1,8.0,7.0,8.0,9.0,9.0,0.0,10.0,11.0,8.0,10.0,7.0,9.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,12.0,9.0,11.0,10.0,10.0,9.0,10.0,9.0,11.0
>ENST00000421341.2,9.0,11.0,10.0,12.0,10.0,10.0,0.0,11.0,10.0,13.0,9.0,10.0,9.0,9.0,9.0,14.0,10.0,9.0,11.0,12.0,10.0,9.0,11.0,8.0,8.0,11.0,10.0,12.0
>ENST00000404226.2,10.0,10.0,9.0,11.0,11.0,11.0,11.0,0.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0,11.0,9.0,13.0
>ENST00000511117.1,7.0,6.0,9.0,11.0,10.0,8.0,10.0,10.0,0.0,10.0,8.0,11.0,9.0,9.0,8.0,10.0,8.0,9.0,11.0,9.0,9.0,7.0,10.0,7.0,9.0,8.0,8.0,10.0
ENSG00000132661.3,12.0,10.0,12.0,11.0,11.0,10.0,13.0,10.0,10.0,0.0,10.0,10.0,11.0,10.0,10.0,14.0,12.0,10.0,11.0,13.0,11.0,10.0,12.0,10.0,9.0,11.0,11.0,14.0
ENSG00000252209.1,8.0,7.0,8.0,8.0,8.0,7.0,9.0,9.0,8.0,10.0,0.0,8.0,9.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,6.0,9.0,8.0,7.0,11.0,8.0,12.0
>ENST00000509955.1,11.0,9.0,12.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,0.0,9.0,10.0,10.0,13.0,14.0,8.0,12.0,10.0,9.0,8.0,10.0,7.0,8.0,10.0,9.0,11.0
>ENST00000397383.2,11.0,8.0,9.0,12.0,10.0,10.0,9.0,10.0,9.0,11.0,9.0,9.0,0.0,10.0,11.0,12.0,9.0,13.0,10.0,11.0,11.0,9.0,10.0,8.0,9.0,10.0,10.0,13.0
>ENST00000611319.1,10.0,7.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,0.0,11.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,11.0,8.0,9.0,10.0,11.0,13.0
>ENST00000458718.2,12.0,7.0,8.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,9.0,10.0,11.0,11.0,0.0,9.0,9.0,9.0,8.0,10.0,9.0,8.0,9.0,7.0,10.0,9.0,8.0,10.0
>ENST00000623630.1,9.0,8.0,9.0,11.0,10.0,10.0,14.0,11.0,10.0,14.0,9.0,13.0,12.0,9.0,9.0,0.0,10.0,8.0,11.0,9.0,10.0,9.0,11.0,9.0,9.0,11.0,11.0,14.0
>ENST00000513311.1,9.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,12.0,8.0,14.0,9.0,9.0,9.0,10.0,0.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,11.0,9.0,11.0
