,>ENST00000579701.1,>ENST00000523408.1,ENSG00000113196.2,>ENST00000455321.1,>ENST00000433189.1,>ENST00000432393.1,>ENST00000425039.3,>ENST00000418981.1,>ENST00000504479.2,>ENST00000618332.1,>ENST00000508958.2,>ENST00000506481.1,>ENST00000487100.1,>ENST00000446298.1,>ENST00000555180.1,>ENST00000395256.2,>ENST00000493084.1,>ENST00000403720.2,>ENST00000430795.1,>ENST00000474095.1,>ENST00000519778.1,>ENST00000532298.5,>ENST00000441562.1,>ENST00000530515.1,>ENST00000428242.1,>ENST00000564149.1,>ENST00000532664.1,>ENST00000509197.1,>ENST00000454346.1,>ENST00000614787.1,>ENST00000605371.1,ENSG00000185105.4,>ENST00000617815.1,>ENST00000480369.2,>ENST00000527217.1,>ENST00000443847.2,>ENST00000564203.1,>ENST00000484897.3,>ENST00000512037.2,>ENST00000603556.1,>ENST00000442699.1,>ENST00000463969.1,>ENST00000428506.1
>ENST00000579701.1,0.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,7.0,8.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,10.0,12.0,11.0,8.0,8.0,11.0,10.0,8.0,11.0,10.0,8.0
>ENST00000523408.1,9.0,0.0,10.0,10.0,7.0,13.0,10.0,8.0,11.0,8.0,12.0,10.0,9.0,10.0,10.0,9.0,10.0,11.0,8.0,10.0,10.0,9.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,10.0,9.0,14.0,8.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,11.0,9.0
ENSG00000113196.2,10.0,10.0,0.0,11.0,9.0,9.0,10.0,9.0,10.0,9.0,11.0,11.0,11.0,11.0,11.0,10.0,9.0,10.0,9.0,11.0,14.0,12.0,11.0,10.0,10.0,11.0,10.0,11.0,11.0,10.0,10.0,12.0,10.0,10.0,10.0,9.0,11.0,12.0,15.0,11.0,12.0,10.0,11.0
>ENST00000455321.1,11.0,10.0,11.0,0.0,8.0,8.0,12.0,8.0,10.0,8.0,11.0,12.0,14.0,9.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,12.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,12.0,11.0,9.0,11.0,9.0,11.0,11.0,11.0,9.0,11.0,11.0,9.0
>ENST00000433189.1,9.0,7.0,9.0,8.0,0.0,8.0,8.0,6.0,7.0,7.0,8.0,9.0,9.0,7.0,9.0,9.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,6.0,8.0,9.0,8.0,10.0,7.0,7.0,8.0,7.0,9.0,9.0,8.0,10.0,9.0,10.0,8.0
>ENST00000432393.1,10.0,13.0,9.0,8.0,8.0,0.0,9.0,8.0,7.0,8.0,10.0,12.0,10.0,8.0,9.0,10.0,9.0,10.0,7.0,9.0,8.0,9.0,11.0,10.0,10.0,12.0,7.0,9.0,9.0,8.0,9.0,13.0,8.0,9.0,11.0,8.0,8.0,10.0,10.0,9.0,10.0,10.0,8.0
>ENST00000425039.3,9.0,10.0,10.0,12.0,8.0,9.0,0.0,9.0,9.0,9.0,12.0,10.0,10.0,10.0,10.0,10.0,9.0,11.0,7.0,10.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,14.0,9.0,9.0,10.0,9.0,18.0,10.0,11.0,10.0,10.0,11.0,9.0
>ENST00000418981.1,10.0,8.0,9.0,8.0,6.0,8.0,9.0,0.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0,8.0,8.0,6.0,7.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,7.0,11.0,11.0,6.0,9.0,7.0,8.0,8.0,8.0,11.0,10.0,8.0,9.0,8.0
>ENST00000504479.2,8.0,11.0,10.0,10.0,7.0,7.0,9.0,8.0,0.0,6.0,8.0,9.0,9.0,7.0,12.0,9.0,8.0,8.0,7.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,27.0,7.0,8.0,10.0,6.0,9.0,8.0,8.0,8.0,8.0,9.0,8.0
>ENST00000618332.1,8.0,8.0,9.0,8.0,7.0,8.0,9.0,8.0,6.0,0.0,8.0,9.0,10.0,8.0,9.0,9.0,7.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,10.0,10.0,7.0,8.0,9.0,12.0,9.0,8.0,10.0,7.0,9.0,9.0,8.0,8.0,9.0,10.0,7.0
