,>ENST00000424917.1,>ENST00000633223.1,>ENST00000604911.1,ENSG00000238958.1,>ENST00000537123.1,>ENST00000411435.1,>ENST00000511103.1,>ENST00000447560.1,>ENST00000475267.1,>ENST00000437076.1,ENSG00000206687.1,>ENST00000605336.1,>ENST00000557141.1,>ENST00000448913.1,>ENST00000463581.1,>ENST00000448560.1,>ENST00000524239.1,>ENST00000615893.1,>ENST00000564013.1
>ENST00000424917.1,0.0,7.0,7.0,8.0,8.0,10.0,8.0,11.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0
>ENST00000633223.1,7.0,0.0,7.0,9.0,8.0,8.0,7.0,9.0,11.0,7.0,6.0,8.0,11.0,7.0,6.0,7.0,7.0,7.0,9.0
>ENST00000604911.1,7.0,7.0,0.0,8.0,11.0,8.0,8.0,9.0,8.0,8.0,7.0,8.0,13.0,9.0,7.0,9.0,9.0,8.0,8.0
ENSG00000238958.1,8.0,9.0,8.0,0.0,10.0,6.0,8.0,8.0,6.0,7.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0
>ENST00000537123.1,8.0,8.0,11.0,10.0,0.0,10.0,10.0,11.0,9.0,9.0,8.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,12.0
>ENST00000411435.1,10.0,8.0,8.0,6.0,10.0,0.0,9.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0
>ENST00000511103.1,8.0,7.0,8.0,8.0,10.0,9.0,0.0,10.0,8.0,8.0,9.0,9.0,8.0,10.0,8.0,8.0,10.0,11.0,9.0
>ENST00000447560.1,11.0,9.0,9.0,8.0,11.0,9.0,10.0,0.0,10.0,10.0,8.0,10.0,11.0,10.0,10.0,8.0,10.0,10.0,10.0
>ENST00000475267.1,9.0,11.0,8.0,6.0,9.0,9.0,8.0,10.0,0.0,9.0,8.0,10.0,10.0,9.0,6.0,10.0,9.0,8.0,11.0
>ENST00000437076.1,7.0,7.0,8.0,7.0,9.0,8.0,8.0,10.0,9.0,0.0,7.0,9.0,10.0,11.0,6.0,9.0,10.0,9.0,7.0
ENSG00000206687.1,8.0,6.0,7.0,7.0,8.0,10.0,9.0,8.0,8.0,7.0,0.0,9.0,7.0,12.0,8.0,7.0,7.0,9.0,8.0
>ENST00000605336.1,8.0,8.0,8.0,7.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,0.0,10.0,10.0,8.0,11.0,11.0,10.0,10.0
>ENST00000557141.1,9.0,11.0,13.0,7.0,10.0,9.0,8.0,11.0,10.0,10.0,7.0,10.0,0.0,10.0,7.0,9.0,9.0,9.0,9.0
>ENST00000448913.1,8.0,7.0,9.0,7.0,10.0,9.0,10.0,10.0,9.0,11.0,12.0,10.0,10.0,0.0,9.0,10.0,10.0,9.0,9.0
>ENST00000463581.1,8.0,6.0,7.0,8.0,7.0,9.0,8.0,10.0,6.0,6.0,8.0,8.0,7.0,9.0,0.0,7.0,8.0,8.0,8.0
>ENST00000448560.1,8.0,7.0,9.0,7.0,10.0,9.0,8.0,8.0,10.0,9.0,7.0,11.0,9.0,10.0,7.0,0.0,10.0,10.0,9.0
>ENST00000524239.1,9.0,7.0,9.0,8.0,10.0,8.0,10.0,10.0,9.0,10.0,7.0,11.0,9.0,10.0,8.0,10.0,0.0,11.0,9.0
>ENST00000615893.1,8.0,7.0,8.0,8.0,10.0,8.0,11.0,10.0,8.0,9.0,9.0,10.0,9.0,9.0,8.0,10.0,11.0,0.0,8.0
>ENST00000564013.1,8.0,9.0,8.0,7.0,12.0,8.0,9.0,10.0,11.0,7.0,8.0,10.0,9.0,9.0,8.0,9.0,9.0,8.0,0.0
