,>ENST00000559681.1,>ENST00000603595.1,>ENST00000579654.1,>ENST00000426891.1,>ENST00000487963.1,>ENST00000440423.2,>ENST00000529855.1,>ENST00000431490.1,>ENST00000417269.1,>ENST00000582737.1,>ENST00000453841.1,>ENST00000534211.1,>ENST00000425324.2,>ENST00000521012.1,>ENST00000487908.1,>ENST00000399586.2,>ENST00000430139.1,>ENST00000401037.3,>ENST00000441380.1,>ENST00000632293.1,>ENST00000491662.1,>ENST00000428478.1,>ENST00000433897.1,>ENST00000515577.1,>ENST00000608262.1,>ENST00000449172.1,>ENST00000417994.1,>ENST00000593270.1
>ENST00000559681.1,0.0,11.0,14.0,9.0,10.0,9.0,10.0,9.0,11.0,9.0,11.0,10.0,13.0,7.0,11.0,13.0,9.0,11.0,9.0,9.0,14.0,11.0,9.0,9.0,10.0,11.0,10.0,11.0
>ENST00000603595.1,11.0,0.0,9.0,11.0,9.0,10.0,9.0,11.0,10.0,12.0,11.0,9.0,10.0,8.0,10.0,14.0,8.0,12.0,10.0,9.0,11.0,10.0,9.0,11.0,13.0,9.0,10.0,9.0
>ENST00000579654.1,14.0,9.0,0.0,11.0,9.0,10.0,11.0,8.0,12.0,8.0,9.0,10.0,9.0,7.0,10.0,14.0,8.0,9.0,11.0,9.0,9.0,9.0,7.0,11.0,10.0,12.0,8.0,11.0
>ENST00000426891.1,9.0,11.0,11.0,0.0,10.0,10.0,11.0,9.0,10.0,11.0,11.0,10.0,10.0,8.0,10.0,11.0,8.0,13.0,10.0,9.0,9.0,12.0,9.0,9.0,10.0,9.0,11.0,9.0
>ENST00000487963.1,10.0,9.0,9.0,10.0,0.0,10.0,10.0,9.0,9.0,8.0,8.0,9.0,9.0,6.0,9.0,14.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,7.0,9.0,8.0,8.0,10.0
>ENST00000440423.2,9.0,10.0,10.0,10.0,10.0,0.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,6.0,9.0,11.0,10.0,10.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,9.0,9.0,9.0
>ENST00000529855.1,10.0,9.0,11.0,11.0,10.0,9.0,0.0,11.0,10.0,11.0,8.0,8.0,10.0,7.0,9.0,12.0,9.0,10.0,8.0,11.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0
>ENST00000431490.1,9.0,11.0,8.0,9.0,9.0,9.0,11.0,0.0,11.0,11.0,8.0,10.0,10.0,7.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,9.0,7.0,9.0,9.0,7.0,8.0,11.0
>ENST00000417269.1,11.0,10.0,12.0,10.0,9.0,8.0,10.0,11.0,0.0,10.0,9.0,10.0,9.0,7.0,8.0,11.0,10.0,9.0,10.0,12.0,9.0,13.0,7.0,9.0,9.0,10.0,10.0,9.0
>ENST00000582737.1,9.0,12.0,8.0,11.0,8.0,8.0,11.0,11.0,10.0,0.0,9.0,8.0,12.0,9.0,8.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,7.0,7.0,8.0,10.0,11.0,9.0
>ENST00000453841.1,11.0,11.0,9.0,11.0,8.0,9.0,8.0,8.0,9.0,9.0,0.0,10.0,11.0,7.0,9.0,12.0,9.0,10.0,8.0,10.0,9.0,8.0,9.0,10.0,8.0,9.0,9.0,11.0
>ENST00000534211.1,10.0,9.0,10.0,10.0,9.0,8.0,8.0,10.0,10.0,8.0,10.0,0.0,9.0,7.0,9.0,11.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,10.0,9.0,8.0,9.0
>ENST00000425324.2,13.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,12.0,11.0,9.0,0.0,7.0,10.0,11.0,9.0,10.0,9.0,9.0,11.0,10.0,8.0,10.0,8.0,9.0,10.0,12.0
>ENST00000521012.1,7.0,8.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,9.0,7.0,7.0,7.0,0.0,6.0,9.0,8.0,8.0,6.0,7.0,6.0,8.0,5.0,5.0,8.0,6.0,6.0,8.0
>ENST00000487908.1,11.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,6.0,0.0,13.0,8.0,11.0,8.0,8.0,47.0,11.0,8.0,9.0,7.0,8.0,8.0,9.0
>ENST00000399586.2,13.0,14.0,14.0,11.0,14.0,11.0,12.0,11.0,11.0,10.0,12.0,11.0,11.0,9.0,13.0,0.0,13.0,12.0,10.0,11.0,13.0,11.0,9.0,11.0,10.0,11.0,11.0,11.0
>ENST00000430139.1,9.0,8.0,8.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,8.0,9.0,8.0,8.0,13.0,0.0,9.0,11.0,9.0,8.0,11.0,7.0,8.0,11.0,8.0,9.0,10.0
>ENST00000401037.3,11.0,12.0,9.0,13.0,10.0,10.0,10.0,9.0,9.0,11.0,10.0,9.0,10.0,8.0,11.0,12.0,9.0,0.0,10.0,9.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,12.0
>ENST00000441380.1,9.0,10.0,11.0,10.0,9.0,8.0,8.0,9.0,10.0,9.0,8.0,9.0,9.0,6.0,8.0,10.0,11.0,10.0,0.0,11.0,9.0,9.0,7.0,10.0,11.0,10.0,8.0,11.0
>ENST00000632293.1,9.0,9.0,9.0,9.0,9.0,8.0,11.0,9.0,12.0,10.0,10.0,9.0,9.0,7.0,8.0,11.0,9.0,9.0,11.0,0.0,8.0,10.0,7.0,8.0,9.0,10.0,9.0,10.0
>ENST00000491662.1,14.0,11.0,9.0,9.0,10.0,8.0,9.0,11.0,9.0,9.0,9.0,9.0,11.0,6.0,47.0,13.0,8.0,9.0,9.0,8.0,0.0,11.0,7.0,9.0,8.0,10.0,8.0,10.0
>ENST00000428478.1,11.0,10.0,9.0,12.0,10.0,9.0,8.0,9.0,13.0,10.0,8.0,9.0,10.0,8.0,11.0,11.0,11.0,9.0,9.0,10.0,11.0,0.0,8.0,10.0,10.0,9.0,10.0,10.0
>ENST00000433897.1,9.0,9.0,7.0,9.0,9.0,6.0,8.0,7.0,7.0,7.0,9.0,9.0,8.0,5.0,8.0,9.0,7.0,9.0,7.0,7.0,7.0,8.0,0.0,8.0,8.0,7.0,7.0,8.0
>ENST00000515577.1,9.0,11.0,11.0,9.0,7.0,8.0,9.0,9.0,9.0,7.0,10.0,7.0,10.0,5.0,9.0,11.0,8.0,8.0,10.0,8.0,9.0,10.0,8.0,0.0,10.0,9.0,7.0,12.0
>ENST00000608262.1,10.0,13.0,10.0,10.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,10.0,8.0,8.0,7.0,10.0,11.0,9.0,11.0,9.0,8.0,10.0,8.0,10.0,0.0,8.0,9.0,10.0
