,>ENST00000522922.1,>ENST00000526739.1,>ENST00000412680.2,>ENST00000614915.1,>ENST00000422560.1,>ENST00000412013.1,>ENST00000616657.1,>ENST00000421567.1,>ENST00000515727.1,>ENST00000427212.2,>ENST00000413071.1,>ENST00000553003.1,>ENST00000459991.1,>ENST00000458397.1,>ENST00000414049.1,>ENST00000448103.5,>ENST00000422712.1,>ENST00000440581.1,ENSG00000197838.4,>ENST00000412374.2,>ENST00000394563.4,>ENST00000606810.1,>ENST00000418077.1,>ENST00000506124.1,>ENST00000424489.1,>ENST00000422823.1,>ENST00000532944.2,>ENST00000448152.2,>ENST00000597392.1,>ENST00000422309.1,>ENST00000425684.1,>ENST00000474666.1,>ENST00000510588.1,>ENST00000401900.1,>ENST00000623929.1,>ENST00000603040.1,>ENST00000524992.1,>ENST00000468490.1,>ENST00000423985.1,>ENST00000465012.1,>ENST00000462935.2,>ENST00000504151.1,>ENST00000515156.2,>ENST00000633440.1,>ENST00000519417.1,>ENST00000578666.1,>ENST00000486648.1,>ENST00000517560.2,>ENST00000621327.1,>ENST00000450986.1,>ENST00000519794.1,>ENST00000477525.1,>ENST00000414070.1
>ENST00000522922.1,0.0,7.0,7.0,8.0,9.0,9.0,8.0,11.0,10.0,7.0,9.0,9.0,7.0,9.0,9.0,8.0,11.0,8.0,12.0,7.0,9.0,9.0,8.0,10.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0,8.0,9.0,11.0,7.0,10.0,9.0,9.0,9.0,6.0,10.0,10.0,9.0,8.0,7.0,8.0,9.0,10.0,7.0,6.0,6.0,11.0,8.0
>ENST00000526739.1,7.0,0.0,8.0,10.0,12.0,9.0,9.0,9.0,9.0,6.0,10.0,9.0,7.0,9.0,9.0,10.0,8.0,8.0,11.0,8.0,9.0,8.0,8.0,11.0,8.0,8.0,9.0,8.0,10.0,7.0,10.0,8.0,10.0,10.0,8.0,10.0,11.0,9.0,10.0,7.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,8.0,7.0,9.0,6.0,9.0,8.0
>ENST00000412680.2,7.0,8.0,0.0,9.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,9.0,6.0,9.0,11.0,11.0,10.0,9.0,12.0,10.0,8.0,8.0,9.0,10.0,7.0,8.0,9.0,8.0,10.0,6.0,10.0,11.0,10.0,8.0,7.0,12.0,9.0,7.0,10.0,9.0,8.0,8.0,9.0,9.0,8.0,9.0,8.0,10.0,7.0,8.0,5.0,9.0,8.0
>ENST00000614915.1,8.0,10.0,9.0,0.0,11.0,11.0,10.0,10.0,7.0,8.0,11.0,9.0,8.0,9.0,8.0,10.0,9.0,11.0,10.0,8.0,10.0,9.0,9.0,10.0,8.0,8.0,9.0,10.0,8.0,9.0,8.0,14.0,10.0,9.0,9.0,11.0,11.0,9.0,9.0,8.0,9.0,7.0,10.0,9.0,10.0,10.0,8.0,10.0,7.0,8.0,6.0,8.0,10.0
>ENST00000422560.1,9.0,12.0,9.0,11.0,0.0,10.0,11.0,11.0,10.0,9.0,10.0,10.0,9.0,9.0,11.0,11.0,11.0,12.0,11.0,9.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,11.0,10.0,9.0,10.0,8.0,11.0,10.0,9.0,11.0,10.0,10.0,12.0,10.0,15.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.0,11.0,8.0,9.0,10.0
>ENST00000412013.1,9.0,9.0,9.0,11.0,10.0,0.0,9.0,11.0,11.0,9.0,10.0,10.0,9.0,10.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,8.0,11.0,10.0,9.0,11.0,11.0,11.0,10.0,7.0,12.0,10.0,8.0,10.0,9.0,11.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,7.0,10.0,8.0,9.0,13.0
>ENST00000616657.1,8.0,9.0,8.0,10.0,11.0,9.0,0.0,10.0,8.0,7.0,9.0,12.0,9.0,12.0,11.0,9.0,10.0,11.0,12.0,9.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,11.0,10.0,11.0,10.0,10.0,13.0,11.0,10.0,9.0,9.0,10.0,9.0,10.0,9.0,10.0,9.0,10.0,10.0,8.0,9.0,5.0,9.0,11.0
>ENST00000421567.1,11.0,9.0,9.0,10.0,11.0,11.0,10.0,0.0,9.0,10.0,11.0,13.0,9.0,11.0,11.0,10.0,11.0,14.0,13.0,10.0,11.0,12.0,10.0,14.0,10.0,11.0,11.0,12.0,14.0,9.0,10.0,12.0,10.0,11.0,9.0,12.0,12.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,9.0,12.0,10.0,13.0,10.0,10.0,8.0,11.0,11.0
>ENST00000515727.1,10.0,9.0,7.0,7.0,10.0,11.0,8.0,9.0,0.0,7.0,8.0,9.0,9.0,11.0,9.0,8.0,9.0,10.0,10.0,8.0,10.0,8.0,8.0,9.0,8.0,14.0,8.0,8.0,10.0,7.0,8.0,7.0,8.0,9.0,7.0,17.0,9.0,7.0,10.0,7.0,8.0,10.0,10.0,13.0,8.0,9.0,7.0,8.0,8.0,9.0,6.0,9.0,7.0
>ENST00000427212.2,7.0,6.0,9.0,8.0,9.0,9.0,7.0,10.0,7.0,0.0,7.0,10.0,7.0,9.0,9.0,8.0,7.0,11.0,9.0,7.0,10.0,7.0,7.0,9.0,8.0,8.0,7.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,9.0,10.0,10.0,8.0,6.0,9.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,9.0,9.0
