,>ENST00000426936.1,>ENST00000441860.1,>ENST00000435216.1,>ENST00000549020.1,>ENST00000523800.1,>ENST00000505282.1,>ENST00000425565.1,ENSG00000252151.1,>ENST00000474907.1,ENSG00000243073.3,>ENST00000423150.1
>ENST00000426936.1,0.0,10.0,10.0,9.0,11.0,8.0,10.0,8.0,9.0,13.0,11.0
>ENST00000441860.1,10.0,0.0,9.0,9.0,10.0,8.0,9.0,8.0,9.0,13.0,9.0
>ENST00000435216.1,10.0,9.0,0.0,10.0,9.0,9.0,10.0,7.0,10.0,11.0,12.0
>ENST00000549020.1,9.0,9.0,10.0,0.0,10.0,7.0,8.0,8.0,8.0,12.0,8.0
>ENST00000523800.1,11.0,10.0,9.0,10.0,0.0,8.0,9.0,8.0,9.0,11.0,11.0
>ENST00000505282.1,8.0,8.0,9.0,7.0,8.0,0.0,8.0,8.0,10.0,9.0,8.0
>ENST00000425565.1,10.0,9.0,10.0,8.0,9.0,8.0,0.0,8.0,76.0,10.0,12.0
ENSG00000252151.1,8.0,8.0,7.0,8.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0
>ENST00000474907.1,9.0,9.0,10.0,8.0,9.0,10.0,76.0,9.0,0.0,13.0,12.0
ENSG00000243073.3,13.0,13.0,11.0,12.0,11.0,9.0,10.0,8.0,13.0,0.0,13.0
>ENST00000423150.1,11.0,9.0,12.0,8.0,11.0,8.0,12.0,9.0,12.0,13.0,0.0
