,ENSG00000202191.1,ENSG00000206709.1,ENSG00000265709.1,ENSG00000254415.3,ENSG00000199512.1,ENSG00000136514.2,ENSG00000196465.10,ENSG00000158156.7,ENSG00000242853.3,ENSG00000222787.1,ENSG00000222459.1,ENSG00000186395.6,ENSG00000266257.1,ENSG00000238540.1,ENSG00000222955.1,ENSG00000168131.4,ENSG00000144579.7,ENSG00000222202.1,ENSG00000139780.7,ENSG00000281373.1,ENSG00000222121.1,ENSG00000136943.10,ENSG00000269855.2
ENSG00000202191.1,0.0,5.0,6.0,9.0,6.0,8.0,10.0,9.0,6.0,6.0,5.0,10.0,6.0,6.0,6.0,8.0,9.0,6.0,10.0,6.0,6.0,10.0,6.0
ENSG00000206709.1,5.0,0.0,7.0,9.0,26.0,9.0,10.0,9.0,7.0,7.0,7.0,9.0,7.0,5.0,9.0,8.0,10.0,7.0,10.0,7.0,7.0,10.0,8.0
ENSG00000265709.1,6.0,7.0,0.0,10.0,6.0,10.0,11.0,11.0,6.0,26.0,6.0,8.0,41.0,7.0,6.0,8.0,10.0,8.0,8.0,7.0,21.0,11.0,6.0
ENSG00000254415.3,9.0,9.0,10.0,0.0,10.0,16.0,24.0,53.0,9.0,9.0,11.0,12.0,10.0,10.0,11.0,10.0,14.0,10.0,88.0,9.0,9.0,68.0,10.0
ENSG00000199512.1,6.0,26.0,6.0,10.0,0.0,9.0,9.0,10.0,6.0,6.0,6.0,9.0,6.0,6.0,9.0,8.0,10.0,7.0,10.0,6.0,6.0,11.0,7.0
ENSG00000136514.2,8.0,9.0,10.0,16.0,9.0,0.0,14.0,15.0,10.0,9.0,10.0,11.0,8.0,9.0,9.0,11.0,12.0,10.0,15.0,10.0,11.0,17.0,10.0
ENSG00000196465.10,10.0,10.0,11.0,24.0,9.0,14.0,0.0,50.0,17.0,10.0,10.0,12.0,11.0,9.0,11.0,13.0,53.0,9.0,85.0,8.0,11.0,83.0,12.0
ENSG00000158156.7,9.0,9.0,11.0,53.0,10.0,15.0,50.0,0.0,20.0,9.0,14.0,11.0,11.0,9.0,9.0,11.0,29.0,12.0,81.0,10.0,10.0,67.0,12.0
ENSG00000242853.3,6.0,7.0,6.0,9.0,6.0,10.0,17.0,20.0,0.0,7.0,9.0,10.0,6.0,7.0,7.0,9.0,21.0,8.0,17.0,8.0,6.0,17.0,10.0
ENSG00000222787.1,6.0,7.0,26.0,9.0,6.0,9.0,10.0,9.0,7.0,0.0,6.0,10.0,26.0,5.0,7.0,9.0,9.0,7.0,11.0,6.0,43.0,11.0,7.0
ENSG00000222459.1,5.0,7.0,6.0,11.0,6.0,10.0,10.0,14.0,9.0,6.0,0.0,10.0,6.0,9.0,8.0,7.0,11.0,8.0,11.0,5.0,5.0,11.0,8.0
ENSG00000186395.6,10.0,9.0,8.0,12.0,9.0,11.0,12.0,11.0,10.0,10.0,10.0,0.0,10.0,9.0,12.0,11.0,11.0,9.0,14.0,9.0,11.0,13.0,22.0
ENSG00000266257.1,6.0,7.0,41.0,10.0,6.0,8.0,11.0,11.0,6.0,26.0,6.0,10.0,0.0,6.0,5.0,8.0,8.0,8.0,10.0,7.0,29.0,11.0,6.0
ENSG00000238540.1,6.0,5.0,7.0,10.0,6.0,9.0,9.0,9.0,7.0,5.0,9.0,9.0,6.0,0.0,5.0,9.0,10.0,6.0,9.0,6.0,6.0,13.0,7.0
ENSG00000222955.1,6.0,9.0,6.0,11.0,9.0,9.0,11.0,9.0,7.0,7.0,8.0,12.0,5.0,5.0,0.0,7.0,10.0,7.0,9.0,5.0,5.0,9.0,7.0
ENSG00000168131.4,8.0,8.0,8.0,10.0,8.0,11.0,13.0,11.0,9.0,9.0,7.0,11.0,8.0,9.0,7.0,0.0,11.0,7.0,12.0,8.0,9.0,14.0,10.0
ENSG00000144579.7,9.0,10.0,10.0,14.0,10.0,12.0,53.0,29.0,21.0,9.0,11.0,11.0,8.0,10.0,10.0,11.0,0.0,10.0,71.0,9.0,9.0,31.0,14.0
ENSG00000222202.1,6.0,7.0,8.0,10.0,7.0,10.0,9.0,12.0,8.0,7.0,8.0,9.0,8.0,6.0,7.0,7.0,10.0,0.0,11.0,6.0,10.0,12.0,6.0
ENSG00000139780.7,10.0,10.0,8.0,88.0,10.0,15.0,85.0,81.0,17.0,11.0,11.0,14.0,10.0,9.0,9.0,12.0,71.0,11.0,0.0,12.0,10.0,94.0,12.0
ENSG00000281373.1,6.0,7.0,7.0,9.0,6.0,10.0,8.0,10.0,8.0,6.0,5.0,9.0,7.0,6.0,5.0,8.0,9.0,6.0,12.0,0.0,6.0,9.0,7.0
ENSG00000222121.1,6.0,7.0,21.0,9.0,6.0,11.0,11.0,10.0,6.0,43.0,5.0,11.0,29.0,6.0,5.0,9.0,9.0,10.0,10.0,6.0,0.0,11.0,7.0
ENSG00000136943.10,10.0,10.0,11.0,68.0,11.0,17.0,83.0,67.0,17.0,11.0,11.0,13.0,11.0,13.0,9.0,14.0,31.0,12.0,94.0,9.0,11.0,0.0,12.0
ENSG00000269855.2,6.0,8.0,6.0,10.0,7.0,10.0,12.0,12.0,10.0,7.0,8.0,22.0,6.0,7.0,7.0,10.0,14.0,6.0,12.0,7.0,7.0,12.0,0.0
