,>ENST00000587313.1,>ENST00000532412.1,>ENST00000588287.1,>ENST00000394662.2,ENSG00000201724.1,>ENST00000584979.1,>ENST00000394213.2,>ENST00000603238.1,ENSG00000244642.3,ENSG00000199122.2,ENSG00000170613.4,>ENST00000505161.2,>ENST00000417155.1,>ENST00000426082.1,>ENST00000532495.1,>ENST00000513659.1,>ENST00000586141.1,>ENST00000421226.2,>ENST00000568807.2,>ENST00000584143.1,>ENST00000413236.1,>ENST00000515154.2
>ENST00000587313.1,0.0,9.0,10.0,14.0,9.0,9.0,10.0,9.0,10.0,8.0,11.0,9.0,9.0,10.0,11.0,9.0,9.0,9.0,9.0,10.0,9.0,11.0
>ENST00000532412.1,9.0,0.0,10.0,11.0,7.0,9.0,9.0,11.0,7.0,7.0,12.0,8.0,9.0,9.0,8.0,8.0,8.0,9.0,11.0,10.0,10.0,10.0
>ENST00000588287.1,10.0,10.0,0.0,11.0,8.0,10.0,10.0,10.0,9.0,8.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,9.0,10.0,12.0,10.0,10.0
>ENST00000394662.2,14.0,11.0,11.0,0.0,8.0,12.0,11.0,10.0,11.0,11.0,23.0,12.0,10.0,10.0,11.0,10.0,10.0,11.0,13.0,12.0,10.0,10.0
ENSG00000201724.1,9.0,7.0,8.0,8.0,0.0,7.0,7.0,8.0,7.0,5.0,8.0,7.0,6.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,6.0,7.0
>ENST00000584979.1,9.0,9.0,10.0,12.0,7.0,0.0,12.0,10.0,8.0,6.0,13.0,7.0,9.0,11.0,12.0,9.0,9.0,10.0,9.0,10.0,8.0,9.0
>ENST00000394213.2,10.0,9.0,10.0,11.0,7.0,12.0,0.0,9.0,9.0,7.0,11.0,9.0,9.0,9.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,9.0
>ENST00000603238.1,9.0,11.0,10.0,10.0,8.0,10.0,9.0,0.0,7.0,7.0,10.0,8.0,10.0,7.0,11.0,9.0,9.0,9.0,11.0,9.0,9.0,14.0
ENSG00000244642.3,10.0,7.0,9.0,11.0,7.0,8.0,9.0,7.0,0.0,11.0,25.0,8.0,8.0,9.0,11.0,10.0,8.0,9.0,9.0,9.0,9.0,14.0
ENSG00000199122.2,8.0,7.0,8.0,11.0,5.0,6.0,7.0,7.0,11.0,0.0,9.0,6.0,7.0,7.0,10.0,7.0,7.0,7.0,8.0,7.0,7.0,9.0
ENSG00000170613.4,11.0,12.0,10.0,23.0,8.0,13.0,11.0,10.0,25.0,9.0,0.0,13.0,13.0,10.0,14.0,12.0,11.0,11.0,12.0,11.0,10.0,11.0
>ENST00000505161.2,9.0,8.0,8.0,12.0,7.0,7.0,9.0,8.0,8.0,6.0,13.0,0.0,9.0,9.0,8.0,7.0,9.0,9.0,10.0,9.0,10.0,9.0
>ENST00000417155.1,9.0,9.0,9.0,10.0,6.0,9.0,9.0,10.0,8.0,7.0,13.0,9.0,0.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,9.0,8.0
>ENST00000426082.1,10.0,9.0,8.0,10.0,7.0,11.0,9.0,7.0,9.0,7.0,10.0,9.0,10.0,0.0,11.0,10.0,8.0,9.0,11.0,11.0,8.0,11.0
>ENST00000532495.1,11.0,8.0,9.0,11.0,8.0,12.0,11.0,11.0,11.0,10.0,14.0,8.0,10.0,11.0,0.0,9.0,9.0,10.0,11.0,11.0,9.0,11.0
>ENST00000513659.1,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,10.0,7.0,12.0,7.0,10.0,10.0,9.0,0.0,11.0,9.0,9.0,12.0,9.0,10.0
>ENST00000586141.1,9.0,8.0,9.0,10.0,8.0,9.0,8.0,9.0,8.0,7.0,11.0,9.0,9.0,8.0,9.0,11.0,0.0,9.0,8.0,8.0,8.0,9.0
>ENST00000421226.2,9.0,9.0,9.0,11.0,8.0,10.0,10.0,9.0,9.0,7.0,11.0,9.0,10.0,9.0,10.0,9.0,9.0,0.0,9.0,10.0,11.0,8.0
>ENST00000568807.2,9.0,11.0,10.0,13.0,7.0,9.0,9.0,11.0,9.0,8.0,12.0,10.0,10.0,11.0,11.0,9.0,8.0,9.0,0.0,10.0,9.0,11.0
>ENST00000584143.1,10.0,10.0,12.0,12.0,9.0,10.0,10.0,9.0,9.0,7.0,11.0,9.0,11.0,11.0,11.0,12.0,8.0,10.0,10.0,0.0,10.0,9.0
>ENST00000413236.1,9.0,10.0,10.0,10.0,6.0,8.0,9.0,9.0,9.0,7.0,10.0,10.0,9.0,8.0,9.0,9.0,8.0,11.0,9.0,10.0,0.0,8.0
>ENST00000515154.2,11.0,10.0,10.0,10.0,7.0,9.0,9.0,14.0,14.0,9.0,11.0,9.0,8.0,11.0,11.0,10.0,9.0,8.0,11.0,9.0,8.0,0.0
