,>ENST00000435309.1,>ENST00000427719.1,>ENST00000429577.1,>ENST00000600255.1,>ENST00000508806.1,>ENST00000496450.1,>ENST00000421819.1,>ENST00000593540.1,>ENST00000415878.1,>ENST00000497346.1,>ENST00000599458.1,>ENST00000403057.1,>ENST00000529222.1,>ENST00000425889.1,>ENST00000512440.1,>ENST00000586304.1,ENSG00000242732.4,>ENST00000542687.1,>ENST00000566116.1,>ENST00000514414.1,>ENST00000444292.2,ENSG00000239744.3,>ENST00000486743.1,>ENST00000582299.2,>ENST00000454315.1,>ENST00000457709.1,>ENST00000416825.1,>ENST00000568379.1,>ENST00000515830.1,>ENST00000605568.1,>ENST00000446057.1,>ENST00000435250.1,>ENST00000440115.1,ENSG00000186881.3,>ENST00000413867.1,>ENST00000420914.1,>ENST00000404612.1,>ENST00000503353.1,>ENST00000406231.1,>ENST00000517893.1,>ENST00000435622.1,>ENST00000450880.1,>ENST00000508439.2,>ENST00000502989.1,>ENST00000458741.2,>ENST00000518544.1,>ENST00000527568.1,>ENST00000426269.3,>ENST00000531834.1,>ENST00000390462.1
>ENST00000435309.1,0.0,11.0,8.0,10.0,12.0,10.0,8.0,10.0,8.0,10.0,10.0,8.0,11.0,10.0,9.0,11.0,12.0,10.0,11.0,10.0,10.0,8.0,11.0,11.0,11.0,10.0,9.0,10.0,9.0,8.0,10.0,11.0,10.0,11.0,9.0,9.0,11.0,9.0,9.0,9.0,12.0,10.0,10.0,8.0,11.0,10.0,10.0,9.0,9.0,12.0
>ENST00000427719.1,11.0,0.0,7.0,9.0,12.0,9.0,10.0,8.0,8.0,11.0,9.0,11.0,10.0,9.0,9.0,9.0,13.0,11.0,11.0,9.0,9.0,9.0,9.0,11.0,11.0,9.0,10.0,10.0,10.0,10.0,12.0,9.0,10.0,11.0,9.0,8.0,10.0,14.0,9.0,11.0,10.0,11.0,9.0,9.0,9.0,9.0,9.0,8.0,11.0,10.0
>ENST00000429577.1,8.0,7.0,0.0,7.0,8.0,7.0,9.0,8.0,8.0,9.0,6.0,8.0,7.0,8.0,7.0,9.0,9.0,9.0,9.0,10.0,8.0,7.0,10.0,11.0,10.0,7.0,6.0,8.0,8.0,7.0,7.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,9.0,7.0,8.0,10.0,9.0,7.0,7.0,8.0,7.0,7.0,6.0,7.0
>ENST00000600255.1,10.0,9.0,7.0,0.0,10.0,8.0,9.0,10.0,10.0,10.0,9.0,11.0,10.0,10.0,10.0,11.0,10.0,9.0,12.0,11.0,10.0,9.0,11.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,9.0,10.0,9.0,9.0,9.0,8.0,10.0,11.0,8.0,9.0,10.0,9.0,9.0,9.0,9.0
>ENST00000508806.1,12.0,12.0,8.0,10.0,0.0,9.0,9.0,11.0,8.0,9.0,10.0,10.0,10.0,10.0,11.0,9.0,12.0,12.0,13.0,8.0,11.0,10.0,12.0,10.0,11.0,10.0,11.0,12.0,11.0,9.0,11.0,9.0,8.0,10.0,8.0,10.0,9.0,12.0,9.0,10.0,10.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,11.0
>ENST00000496450.1,10.0,9.0,7.0,8.0,9.0,0.0,10.0,10.0,8.0,10.0,10.0,10.0,11.0,11.0,9.0,9.0,11.0,9.0,12.0,7.0,11.0,8.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,7.0,9.0,8.0,8.0,8.0,9.0,9.0,9.0,8.0,12.0,10.0,10.0,9.0,8.0,8.0,11.0,9.0,9.0,7.0,8.0,9.0
>ENST00000421819.1,8.0,10.0,9.0,9.0,9.0,10.0,0.0,9.0,10.0,11.0,8.0,11.0,8.0,10.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,9.0,15.0,9.0,9.0,10.0,13.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,7.0,8.0,9.0,8.0,9.0,11.0,10.0
>ENST00000593540.1,10.0,8.0,8.0,10.0,11.0,10.0,9.0,0.0,10.0,9.0,9.0,11.0,12.0,9.0,9.0,9.0,9.0,8.0,12.0,9.0,10.0,8.0,10.0,9.0,10.0,9.0,7.0,24.0,10.0,8.0,8.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0
>ENST00000415878.1,8.0,8.0,8.0,10.0,8.0,8.0,10.0,10.0,0.0,9.0,7.0,9.0,8.0,7.0,9.0,9.0,10.0,8.0,10.0,8.0,12.0,8.0,10.0,10.0,8.0,8.0,7.0,8.0,10.0,14.0,12.0,11.0,9.0,8.0,9.0,9.0,7.0,10.0,12.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,9.0,8.0,9.0,8.0
>ENST00000497346.1,10.0,11.0,9.0,10.0,9.0,10.0,11.0,9.0,9.0,0.0,9.0,10.0,10.0,8.0,12.0,10.0,12.0,10.0,10.0,10.0,9.0,9.0,10.0,13.0,10.0,10.0,8.0,10.0,13.0,11.0,9.0,10.0,9.0,11.0,11.0,9.0,9.0,11.0,12.0,10.0,11.0,10.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,9.0
>ENST00000599458.1,10.0,9.0,6.0,9.0,10.0,10.0,8.0,9.0,7.0,9.0,0.0,10.0,8.0,9.0,8.0,8.0,9.0,9.0,10.0,10.0,8.0,7.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0,11.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,8.0,9.0,9.0,7.0,9.0,9.0
>ENST00000403057.1,8.0,11.0,8.0,11.0,10.0,10.0,11.0,11.0,9.0,10.0,10.0,0.0,10.0,9.0,10.0,10.0,12.0,11.0,9.0,10.0,12.0,10.0,12.0,10.0,11.0,8.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,10.0,11.0,8.0,9.0,12.0,10.0,11.0,12.0,9.0,11.0,8.0,8.0,9.0,9.0,9.0,10.0,11.0
>ENST00000529222.1,11.0,10.0,7.0,10.0,10.0,11.0,8.0,12.0,8.0,10.0,8.0,10.0,0.0,11.0,8.0,8.0,10.0,9.0,11.0,8.0,9.0,9.0,11.0,11.0,9.0,10.0,9.0,11.0,10.0,9.0,10.0,10.0,9.0,8.0,10.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,8.0,11.0,9.0,9.0,9.0,10.0,9.0,8.0
>ENST00000425889.1,10.0,9.0,8.0,10.0,10.0,11.0,10.0,9.0,7.0,8.0,9.0,9.0,11.0,0.0,8.0,11.0,10.0,8.0,10.0,9.0,10.0,8.0,9.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,10.0,11.0,8.0,12.0,7.0,9.0,8.0,9.0,9.0,11.0,10.0,11.0,9.0,7.0,11.0,9.0,10.0,10.0,9.0,10.0
>ENST00000512440.1,9.0,9.0,7.0,10.0,11.0,9.0,8.0,9.0,9.0,12.0,8.0,10.0,8.0,8.0,0.0,9.0,9.0,10.0,9.0,10.0,10.0,7.0,11.0,9.0,9.0,10.0,9.0,8.0,9.0,9.0,9.0,9.0,8.0,12.0,8.0,8.0,9.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,7.0,9.0,8.0,9.0,11.0,9.0
>ENST00000586304.1,11.0,9.0,9.0,11.0,9.0,9.0,10.0,9.0,9.0,10.0,8.0,10.0,8.0,11.0,9.0,0.0,12.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,11.0,10.0,8.0,9.0,11.0,9.0,12.0,12.0,11.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,13.0,10.0,11.0,11.0,9.0,10.0,10.0,8.0,8.0,11.0
ENSG00000242732.4,12.0,13.0,9.0,10.0,12.0,11.0,10.0,9.0,10.0,12.0,9.0,12.0,10.0,10.0,9.0,12.0,0.0,10.0,12.0,11.0,10.0,11.0,11.0,13.0,11.0,10.0,11.0,10.0,13.0,11.0,11.0,11.0,9.0,12.0,10.0,9.0,9.0,12.0,10.0,12.0,13.0,11.0,10.0,12.0,12.0,10.0,9.0,11.0,10.0,12.0
>ENST00000542687.1,10.0,11.0,9.0,9.0,12.0,9.0,8.0,8.0,8.0,10.0,9.0,11.0,9.0,8.0,10.0,11.0,10.0,0.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,8.0,9.0,9.0,8.0,9.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,10.0,9.0,8.0,9.0,9.0,10.0,8.0,10.0,10.0
>ENST00000566116.1,11.0,11.0,9.0,12.0,13.0,12.0,9.0,12.0,10.0,10.0,10.0,9.0,11.0,10.0,9.0,10.0,12.0,10.0,0.0,11.0,11.0,13.0,11.0,13.0,10.0,9.0,10.0,11.0,12.0,9.0,13.0,9.0,11.0,10.0,9.0,11.0,10.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,9.0,12.0,10.0,13.0,10.0,10.0
>ENST00000514414.1,10.0,9.0,10.0,11.0,8.0,7.0,10.0,9.0,8.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,11.0,8.0,11.0,0.0,9.0,8.0,10.0,10.0,10.0,10.0,8.0,10.0,11.0,8.0,9.0,9.0,8.0,9.0,8.0,9.0,10.0,12.0,10.0,10.0,10.0,10.0,8.0,9.0,8.0,8.0,11.0,10.0,10.0,10.0
>ENST00000444292.2,10.0,9.0,8.0,10.0,11.0,11.0,9.0,10.0,12.0,9.0,8.0,12.0,9.0,10.0,10.0,10.0,10.0,9.0,11.0,9.0,0.0,8.0,11.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,10.0,11.0,10.0,10.0,12.0,10.0,13.0,9.0,12.0,10.0,10.0,12.0,12.0,8.0
ENSG00000239744.3,8.0,9.0,7.0,9.0,10.0,8.0,9.0,8.0,8.0,9.0,7.0,10.0,9.0,8.0,7.0,9.0,11.0,10.0,13.0,8.0,8.0,0.0,9.0,12.0,8.0,11.0,8.0,9.0,11.0,8.0,9.0,7.0,8.0,10.0,13.0,9.0,7.0,8.0,8.0,10.0,10.0,9.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0
>ENST00000486743.1,11.0,9.0,10.0,11.0,12.0,9.0,9.0,10.0,10.0,10.0,9.0,12.0,11.0,9.0,11.0,10.0,11.0,10.0,11.0,10.0,11.0,9.0,0.0,11.0,11.0,10.0,8.0,10.0,12.0,9.0,11.0,11.0,9.0,12.0,9.0,11.0,9.0,13.0,11.0,10.0,12.0,10.0,10.0,9.0,10.0,13.0,10.0,9.0,10.0,9.0
>ENST00000582299.2,11.0,11.0,11.0,11.0,10.0,10.0,10.0,9.0,10.0,13.0,9.0,10.0,11.0,9.0,9.0,10.0,13.0,10.0,13.0,10.0,11.0,12.0,11.0,0.0,12.0,11.0,10.0,10.0,9.0,9.0,9.0,10.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,9.0,10.0,12.0,10.0,12.0,12.0,9.0,10.0,10.0,10.0,9.0
>ENST00000454315.1,11.0,11.0,10.0,10.0,11.0,8.0,9.0,10.0,8.0,10.0,10.0,11.0,9.0,9.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,8.0,11.0,12.0,0.0,9.0,9.0,11.0,11.0,8.0,9.0,10.0,8.0,10.0,9.0,8.0,8.0,10.0,11.0,10.0,10.0,11.0,9.0,10.0,8.0,9.0,10.0,9.0,11.0,8.0
