,>ENST00000447491.1,>ENST00000379752.5,>ENST00000421214.1,>ENST00000508134.1,>ENST00000508073.2,>ENST00000622154.1,>ENST00000584733.1,>ENST00000524837.1,>ENST00000605094.1,>ENST00000604232.1,>ENST00000603849.1,>ENST00000464002.1,>ENST00000492022.1,>ENST00000423903.1,>ENST00000460451.1,>ENST00000586818.1,>ENST00000404382.1,>ENST00000453021.1,>ENST00000514077.2,>ENST00000617362.1,>ENST00000449689.2,>ENST00000454390.2,>ENST00000429219.1,>ENST00000605126.1,>ENST00000455509.1,>ENST00000519012.1,>ENST00000444901.1,>ENST00000421633.1,>ENST00000518378.1,>ENST00000405826.1,>ENST00000468439.2,>ENST00000447471.1,>ENST00000434979.1,>ENST00000438948.1,ENSG00000221537.1,>ENST00000469174.1,>ENST00000445763.1,>ENST00000438302.1,>ENST00000465034.1,>ENST00000442243.1,>ENST00000525174.1,>ENST00000439462.1,>ENST00000426312.2,>ENST00000424037.1,>ENST00000622219.1,>ENST00000532342.1,>ENST00000456370.6,>ENST00000580230.1,>ENST00000518463.1,>ENST00000512540.2,>ENST00000447284.2,>ENST00000457615.1,>ENST00000425245.1
>ENST00000447491.1,0.0,11.0,13.0,9.0,10.0,10.0,12.0,11.0,8.0,11.0,9.0,11.0,9.0,10.0,10.0,10.0,10.0,13.0,9.0,12.0,11.0,13.0,9.0,11.0,12.0,8.0,11.0,10.0,11.0,9.0,12.0,15.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,11.0,10.0,9.0,8.0,11.0,9.0,10.0,10.0,8.0,9.0,10.0,11.0
>ENST00000379752.5,11.0,0.0,11.0,12.0,10.0,9.0,11.0,11.0,9.0,10.0,9.0,8.0,9.0,10.0,12.0,9.0,10.0,10.0,10.0,8.0,11.0,10.0,11.0,10.0,12.0,10.0,12.0,10.0,12.0,10.0,10.0,12.0,9.0,10.0,9.0,9.0,10.0,10.0,11.0,9.0,11.0,11.0,10.0,9.0,8.0,11.0,10.0,10.0,10.0,8.0,9.0,10.0,11.0
>ENST00000421214.1,13.0,11.0,0.0,13.0,10.0,9.0,8.0,11.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,11.0,9.0,10.0,10.0,8.0,11.0,11.0,12.0,9.0,12.0,9.0,10.0,9.0,8.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,11.0,7.0,10.0,8.0,11.0,8.0,8.0,9.0,11.0,10.0
>ENST00000508134.1,9.0,12.0,13.0,0.0,9.0,8.0,10.0,10.0,8.0,11.0,8.0,8.0,10.0,9.0,10.0,9.0,11.0,10.0,11.0,8.0,9.0,11.0,10.0,9.0,10.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0,12.0,11.0,8.0,9.0,8.0,10.0,10.0,9.0,10.0,7.0,11.0,10.0,8.0
>ENST00000508073.2,10.0,10.0,10.0,9.0,0.0,9.0,11.0,10.0,9.0,9.0,10.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,10.0,11.0,10.0,12.0,10.0,8.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,7.0,9.0,9.0,9.0,10.0,8.0,9.0,10.0,10.0,11.0,7.0,10.0,8.0,9.0,9.0,8.0,12.0,12.0,9.0
>ENST00000622154.1,10.0,9.0,9.0,8.0,9.0,0.0,10.0,9.0,10.0,7.0,9.0,8.0,8.0,7.0,7.0,10.0,10.0,9.0,10.0,11.0,9.0,11.0,8.0,8.0,10.0,9.0,9.0,8.0,11.0,9.0,11.0,9.0,9.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,6.0,9.0,8.0,10.0,8.0,6.0,9.0,10.0,8.0
>ENST00000584733.1,12.0,11.0,8.0,10.0,11.0,10.0,0.0,10.0,8.0,10.0,11.0,9.0,9.0,12.0,10.0,11.0,8.0,10.0,10.0,9.0,12.0,11.0,8.0,9.0,11.0,11.0,11.0,13.0,10.0,8.0,10.0,10.0,8.0,12.0,6.0,9.0,10.0,9.0,9.0,11.0,10.0,10.0,9.0,8.0,8.0,9.0,11.0,9.0,11.0,11.0,11.0,10.0,12.0
>ENST00000524837.1,11.0,11.0,11.0,10.0,10.0,9.0,10.0,0.0,11.0,9.0,9.0,8.0,10.0,8.0,10.0,10.0,11.0,12.0,12.0,8.0,10.0,10.0,8.0,9.0,10.0,9.0,11.0,9.0,10.0,8.0,12.0,10.0,12.0,9.0,7.0,13.0,9.0,10.0,11.0,9.0,11.0,11.0,10.0,9.0,8.0,14.0,8.0,11.0,8.0,9.0,11.0,10.0,10.0
>ENST00000605094.1,8.0,9.0,9.0,8.0,9.0,10.0,8.0,11.0,0.0,9.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,7.0,9.0,11.0,7.0,7.0,11.0,10.0,9.0,11.0,10.0,8.0,8.0,9.0,7.0,9.0,6.0,11.0,8.0,9.0,9.0,8.0,8.0,8.0,11.0,8.0,6.0,8.0,8.0,10.0,9.0,7.0,8.0,9.0,9.0
>ENST00000604232.1,11.0,10.0,9.0,11.0,9.0,7.0,10.0,9.0,9.0,0.0,8.0,8.0,9.0,9.0,12.0,11.0,10.0,10.0,9.0,7.0,12.0,11.0,10.0,10.0,11.0,8.0,10.0,11.0,10.0,11.0,13.0,10.0,10.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,11.0,10.0,12.0,9.0,8.0,9.0,10.0,11.0
