,>ENST00000622735.1,>ENST00000428250.1,>ENST00000447755.1,>ENST00000417143.3,>ENST00000549521.1,>ENST00000468625.1,>ENST00000511420.2,>ENST00000406553.1,>ENST00000526173.1,ENSG00000179144.4,>ENST00000498840.1,>ENST00000528859.1,>ENST00000502685.1,ENSG00000252933.1,>ENST00000402398.1,>ENST00000606504.1,>ENST00000603479.1,>ENST00000529326.2,>ENST00000603920.1,>ENST00000474255.1,>ENST00000407101.1,>ENST00000442572.1,>ENST00000517442.1,>ENST00000525882.1,>ENST00000522505.1,>ENST00000548943.1
>ENST00000622735.1,0.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,10.0,9.0,12.0,9.0,9.0,9.0,9.0,10.0
>ENST00000428250.1,7.0,0.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,9.0,9.0,8.0,7.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,8.0,9.0,7.0,9.0,7.0,8.0
>ENST00000447755.1,9.0,9.0,0.0,11.0,10.0,10.0,9.0,10.0,11.0,11.0,10.0,10.0,9.0,7.0,11.0,9.0,10.0,11.0,10.0,10.0,11.0,12.0,9.0,11.0,9.0,11.0
>ENST00000417143.3,9.0,8.0,11.0,0.0,11.0,11.0,9.0,9.0,10.0,13.0,11.0,11.0,9.0,10.0,12.0,10.0,13.0,10.0,10.0,11.0,12.0,11.0,11.0,9.0,10.0,12.0
>ENST00000549521.1,9.0,8.0,10.0,11.0,0.0,9.0,8.0,12.0,9.0,11.0,12.0,11.0,9.0,12.0,9.0,10.0,9.0,10.0,11.0,9.0,11.0,9.0,8.0,10.0,10.0,11.0
>ENST00000468625.1,9.0,9.0,10.0,11.0,9.0,0.0,8.0,10.0,10.0,11.0,10.0,11.0,9.0,8.0,9.0,8.0,8.0,10.0,11.0,14.0,9.0,8.0,8.0,9.0,9.0,12.0
>ENST00000511420.2,8.0,8.0,9.0,9.0,8.0,8.0,0.0,7.0,7.0,11.0,8.0,11.0,8.0,8.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,9.0,9.0,10.0,8.0,9.0
>ENST00000406553.1,9.0,8.0,10.0,9.0,12.0,10.0,7.0,0.0,10.0,10.0,10.0,10.0,7.0,8.0,8.0,7.0,8.0,12.0,9.0,8.0,10.0,9.0,7.0,10.0,7.0,11.0
>ENST00000526173.1,11.0,8.0,11.0,10.0,9.0,10.0,7.0,10.0,0.0,10.0,10.0,9.0,7.0,6.0,9.0,9.0,10.0,9.0,11.0,10.0,8.0,8.0,9.0,9.0,10.0,11.0
ENSG00000179144.4,9.0,9.0,11.0,13.0,11.0,11.0,11.0,10.0,10.0,0.0,12.0,12.0,11.0,9.0,10.0,10.0,11.0,10.0,10.0,11.0,14.0,10.0,10.0,12.0,11.0,14.0
>ENST00000498840.1,9.0,9.0,10.0,11.0,12.0,10.0,8.0,10.0,10.0,12.0,0.0,10.0,8.0,8.0,10.0,8.0,9.0,9.0,9.0,9.0,11.0,9.0,9.0,11.0,8.0,10.0
>ENST00000528859.1,8.0,8.0,10.0,11.0,11.0,11.0,11.0,10.0,9.0,12.0,10.0,0.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,11.0,9.0,8.0,10.0,10.0,9.0
>ENST00000502685.1,8.0,7.0,9.0,9.0,9.0,9.0,8.0,7.0,7.0,11.0,8.0,8.0,0.0,7.0,8.0,8.0,9.0,10.0,11.0,10.0,8.0,8.0,7.0,9.0,8.0,9.0
ENSG00000252933.1,9.0,8.0,7.0,10.0,12.0,8.0,8.0,8.0,6.0,9.0,8.0,10.0,7.0,0.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,6.0,7.0,6.0,9.0
>ENST00000402398.1,8.0,9.0,11.0,12.0,9.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0,8.0,8.0,0.0,9.0,8.0,10.0,9.0,11.0,9.0,9.0,7.0,9.0,9.0,11.0
>ENST00000606504.1,8.0,7.0,9.0,10.0,10.0,8.0,8.0,7.0,9.0,10.0,8.0,9.0,8.0,7.0,9.0,0.0,8.0,9.0,9.0,10.0,8.0,8.0,9.0,9.0,9.0,10.0
>ENST00000603479.1,8.0,9.0,10.0,13.0,9.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,8.0,8.0,8.0,0.0,9.0,8.0,9.0,8.0,10.0,10.0,10.0,8.0,10.0
>ENST00000529326.2,8.0,9.0,11.0,10.0,10.0,10.0,9.0,12.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0,9.0,0.0,10.0,10.0,10.0,11.0,10.0,10.0,8.0,12.0
>ENST00000603920.1,10.0,8.0,10.0,10.0,11.0,11.0,9.0,9.0,11.0,10.0,9.0,10.0,11.0,7.0,9.0,9.0,8.0,10.0,0.0,11.0,8.0,9.0,10.0,9.0,8.0,9.0
>ENST00000474255.1,9.0,8.0,10.0,11.0,9.0,14.0,8.0,8.0,10.0,11.0,9.0,9.0,10.0,8.0,11.0,10.0,9.0,10.0,11.0,0.0,10.0,9.0,8.0,9.0,8.0,10.0
>ENST00000407101.1,12.0,8.0,11.0,12.0,11.0,9.0,8.0,10.0,8.0,14.0,11.0,11.0,8.0,8.0,9.0,8.0,8.0,10.0,8.0,10.0,0.0,9.0,8.0,10.0,9.0,13.0
>ENST00000442572.1,9.0,9.0,12.0,11.0,9.0,8.0,9.0,9.0,8.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,10.0,11.0,9.0,9.0,9.0,0.0,8.0,10.0,10.0,10.0
>ENST00000517442.1,9.0,7.0,9.0,11.0,8.0,8.0,9.0,7.0,9.0,10.0,9.0,8.0,7.0,6.0,7.0,9.0,10.0,10.0,10.0,8.0,8.0,8.0,0.0,9.0,8.0,8.0
>ENST00000525882.1,9.0,9.0,11.0,9.0,10.0,9.0,10.0,10.0,9.0,12.0,11.0,10.0,9.0,7.0,9.0,9.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,0.0,8.0,11.0
>ENST00000522505.1,9.0,7.0,9.0,10.0,10.0,9.0,8.0,7.0,10.0,11.0,8.0,10.0,8.0,6.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,10.0,8.0,8.0,0.0,10.0
>ENST00000548943.1,10.0,8.0,11.0,12.0,11.0,12.0,9.0,11.0,11.0,14.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,12.0,9.0,10.0,13.0,10.0,8.0,11.0,10.0,0.0
