,>ENST00000434721.1,>ENST00000456932.6,>ENST00000405924.1,>ENST00000508013.3,>ENST00000524051.1,>ENST00000559699.2,>ENST00000554239.2,>ENST00000474162.1,>ENST00000491913.2,>ENST00000513297.2,ENSG00000200591.1,>ENST00000404167.1,>ENST00000580496.1,>ENST00000527404.1,>ENST00000558732.2,>ENST00000423096.1,>ENST00000416440.2,>ENST00000427545.1,>ENST00000426134.1,>ENST00000525856.1,>ENST00000450866.1,>ENST00000509325.1,>ENST00000413320.1,>ENST00000427342.3,>ENST00000519284.1,>ENST00000449657.1,>ENST00000603780.1,>ENST00000468816.1,>ENST00000543668.1,ENSG00000222364.1,>ENST00000580252.1,>ENST00000421321.2,>ENST00000504977.1,>ENST00000442076.2,>ENST00000503471.1,>ENST00000616703.1,>ENST00000446518.1,>ENST00000553776.1,>ENST00000517690.1,>ENST00000435089.1,>ENST00000485187.1,>ENST00000612768.1,>ENST00000545713.1,>ENST00000424331.1,>ENST00000445254.1,>ENST00000617417.1,>ENST00000450967.1,>ENST00000477975.2,>ENST00000431120.1
>ENST00000434721.1,0.0,11.0,8.0,9.0,11.0,9.0,10.0,10.0,8.0,11.0,7.0,8.0,10.0,10.0,9.0,13.0,10.0,12.0,9.0,9.0,8.0,11.0,10.0,8.0,7.0,10.0,9.0,8.0,9.0,8.0,8.0,8.0,7.0,11.0,10.0,8.0,10.0,10.0,9.0,10.0,8.0,9.0,10.0,12.0,10.0,12.0,10.0,9.0,10.0
>ENST00000456932.6,11.0,0.0,9.0,11.0,10.0,10.0,11.0,13.0,11.0,12.0,9.0,11.0,12.0,12.0,12.0,10.0,13.0,12.0,11.0,12.0,10.0,11.0,14.0,10.0,11.0,13.0,9.0,11.0,10.0,8.0,14.0,10.0,10.0,13.0,10.0,11.0,12.0,11.0,10.0,11.0,10.0,11.0,11.0,11.0,11.0,12.0,10.0,11.0,9.0
>ENST00000405924.1,8.0,9.0,0.0,9.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,8.0,9.0,12.0,8.0,9.0,7.0,9.0,8.0,11.0,7.0,9.0,8.0,7.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,8.0,9.0,9.0,7.0,7.0,8.0,8.0,8.0,6.0,6.0,6.0,8.0
>ENST00000508013.3,9.0,11.0,9.0,0.0,8.0,7.0,10.0,11.0,8.0,9.0,7.0,8.0,9.0,11.0,10.0,9.0,8.0,11.0,9.0,8.0,9.0,10.0,11.0,10.0,8.0,11.0,9.0,8.0,10.0,7.0,9.0,9.0,10.0,11.0,9.0,8.0,9.0,11.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,11.0,8.0,8.0,9.0
>ENST00000524051.1,11.0,10.0,8.0,8.0,0.0,9.0,13.0,10.0,11.0,11.0,8.0,8.0,9.0,10.0,8.0,12.0,11.0,12.0,9.0,8.0,7.0,10.0,9.0,10.0,9.0,9.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,10.0,7.0,8.0,10.0,10.0,8.0,9.0,9.0,8.0,8.0,8.0,8.0,9.0,9.0,7.0,8.0
>ENST00000559699.2,9.0,10.0,6.0,7.0,9.0,0.0,9.0,10.0,7.0,9.0,6.0,7.0,9.0,10.0,8.0,8.0,8.0,9.0,9.0,7.0,7.0,9.0,10.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0,9.0,8.0,7.0,9.0,8.0,6.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,6.0,8.0,8.0,7.0
>ENST00000554239.2,10.0,11.0,7.0,10.0,13.0,9.0,0.0,10.0,8.0,9.0,7.0,7.0,10.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,10.0,9.0,9.0,10.0,9.0,9.0,9.0,7.0,9.0,9.0,8.0,11.0,8.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,9.0,9.0,8.0,8.0,9.0,9.0
>ENST00000474162.1,10.0,13.0,8.0,11.0,10.0,10.0,10.0,0.0,10.0,11.0,9.0,11.0,11.0,12.0,8.0,10.0,11.0,12.0,10.0,10.0,9.0,11.0,15.0,9.0,10.0,9.0,10.0,9.0,11.0,8.0,11.0,11.0,9.0,12.0,9.0,9.0,8.0,11.0,11.0,12.0,8.0,8.0,11.0,12.0,10.0,9.0,8.0,9.0,10.0
>ENST00000491913.2,8.0,11.0,8.0,8.0,11.0,7.0,8.0,10.0,0.0,10.0,8.0,13.0,9.0,10.0,12.0,7.0,10.0,10.0,10.0,8.0,8.0,8.0,8.0,9.0,7.0,9.0,8.0,8.0,9.0,8.0,8.0,8.0,8.0,11.0,8.0,9.0,10.0,11.0,8.0,10.0,8.0,7.0,11.0,8.0,9.0,9.0,9.0,13.0,10.0
>ENST00000513297.2,11.0,12.0,8.0,9.0,11.0,9.0,9.0,11.0,10.0,0.0,8.0,8.0,10.0,11.0,10.0,9.0,9.0,11.0,10.0,9.0,9.0,10.0,11.0,10.0,8.0,12.0,9.0,10.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,11.0,10.0,10.0,9.0,8.0,9.0,10.0,11.0,9.0,10.0,9.0,10.0
ENSG00000200591.1,7.0,9.0,7.0,7.0,8.0,6.0,7.0,9.0,8.0,8.0,0.0,7.0,8.0,12.0,7.0,7.0,8.0,12.0,8.0,6.0,9.0,8.0,8.0,8.0,6.0,9.0,6.0,9.0,8.0,6.0,7.0,7.0,7.0,9.0,8.0,7.0,7.0,8.0,6.0,8.0,6.0,7.0,8.0,7.0,7.0,7.0,8.0,6.0,7.0
