,>ENST00000528393.1,>ENST00000624939.1,>ENST00000391360.2,>ENST00000596933.1,>ENST00000457262.1,>ENST00000596594.1,>ENST00000450626.1,ENSG00000163283.6,>ENST00000440852.1,>ENST00000422311.1,>ENST00000332270.6,>ENST00000417412.1,>ENST00000523314.1,>ENST00000535362.2,>ENST00000444413.1,>ENST00000524110.1,>ENST00000512350.1,>ENST00000515543.1,>ENST00000431953.1,>ENST00000566127.1,>ENST00000398259.2,>ENST00000391992.3,>ENST00000634369.1,>ENST00000395439.3,>ENST00000484195.1,>ENST00000468681.1,>ENST00000569208.2,>ENST00000614465.1,>ENST00000404262.2,>ENST00000461599.1,>ENST00000458075.1,>ENST00000605225.1,>ENST00000567885.1,>ENST00000522101.2,>ENST00000554689.1,>ENST00000420252.1,>ENST00000418680.1,>ENST00000533722.1,>ENST00000427780.1,>ENST00000622460.1,>ENST00000514295.5,>ENST00000440356.1,>ENST00000447621.1
>ENST00000528393.1,0.0,8.0,10.0,10.0,11.0,12.0,9.0,13.0,10.0,12.0,11.0,10.0,9.0,9.0,11.0,12.0,9.0,13.0,10.0,12.0,11.0,11.0,11.0,11.0,10.0,12.0,10.0,10.0,10.0,11.0,11.0,9.0,13.0,11.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,12.0
>ENST00000624939.1,8.0,0.0,8.0,7.0,9.0,8.0,8.0,11.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,9.0,9.0,12.0,8.0,10.0,7.0,8.0,10.0,8.0,7.0,7.0,8.0,8.0,8.0,7.0,9.0,11.0,8.0,10.0,9.0,8.0,8.0,9.0,9.0,7.0,10.0
>ENST00000391360.2,10.0,8.0,0.0,8.0,10.0,12.0,8.0,11.0,10.0,9.0,8.0,10.0,9.0,9.0,11.0,10.0,11.0,10.0,10.0,11.0,9.0,9.0,8.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,8.0,12.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,10.0,8.0,10.0
>ENST00000596933.1,10.0,7.0,8.0,0.0,8.0,10.0,7.0,10.0,7.0,10.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,11.0,7.0,11.0,8.0,8.0,6.0,7.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,10.0,7.0,8.0,8.0,7.0
>ENST00000457262.1,11.0,9.0,10.0,8.0,0.0,12.0,10.0,11.0,10.0,9.0,11.0,9.0,9.0,12.0,12.0,8.0,13.0,9.0,10.0,10.0,10.0,10.0,8.0,9.0,9.0,12.0,10.0,9.0,9.0,13.0,8.0,10.0,11.0,9.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,10.0,10.0
>ENST00000596594.1,12.0,8.0,12.0,10.0,12.0,0.0,8.0,11.0,12.0,10.0,10.0,10.0,9.0,8.0,10.0,9.0,8.0,10.0,10.0,10.0,11.0,10.0,8.0,10.0,13.0,12.0,9.0,9.0,9.0,9.0,9.0,9.0,11.0,9.0,8.0,9.0,9.0,10.0,11.0,9.0,10.0,11.0,11.0
>ENST00000450626.1,9.0,8.0,8.0,7.0,10.0,8.0,0.0,11.0,10.0,8.0,8.0,9.0,11.0,10.0,10.0,10.0,9.0,9.0,9.0,10.0,8.0,8.0,10.0,8.0,12.0,9.0,10.0,10.0,9.0,10.0,8.0,8.0,10.0,9.0,10.0,9.0,8.0,12.0,9.0,10.0,10.0,7.0,8.0
ENSG00000163283.6,13.0,11.0,11.0,10.0,11.0,11.0,11.0,0.0,11.0,10.0,11.0,13.0,11.0,14.0,12.0,10.0,10.0,9.0,11.0,13.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,14.0,10.0,14.0,13.0,11.0,12.0,10.0,12.0,11.0,11.0,13.0,12.0,11.0,11.0,10.0,13.0
>ENST00000440852.1,10.0,8.0,10.0,7.0,10.0,12.0,10.0,11.0,0.0,9.0,10.0,9.0,10.0,13.0,10.0,9.0,9.0,8.0,11.0,9.0,10.0,10.0,8.0,11.0,11.0,9.0,9.0,10.0,8.0,10.0,8.0,7.0,11.0,12.0,8.0,10.0,9.0,11.0,10.0,10.0,10.0,10.0,9.0
>ENST00000422311.1,12.0,7.0,9.0,10.0,9.0,10.0,8.0,10.0,9.0,0.0,12.0,9.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,10.0,9.0,12.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,11.0,8.0,8.0,10.0,9.0,12.0,11.0,13.0,9.0,12.0,10.0,10.0,10.0,14.0
>ENST00000332270.6,11.0,9.0,8.0,8.0,11.0,10.0,8.0,11.0,10.0,12.0,0.0,9.0,8.0,10.0,12.0,9.0,10.0,10.0,10.0,11.0,11.0,10.0,9.0,9.0,9.0,11.0,9.0,9.0,9.0,12.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,8.0,11.0,8.0,10.0
>ENST00000417412.1,10.0,9.0,10.0,7.0,9.0,10.0,9.0,13.0,9.0,9.0,9.0,0.0,8.0,9.0,10.0,8.0,11.0,7.0,9.0,11.0,9.0,9.0,8.0,8.0,9.0,10.0,10.0,10.0,9.0,11.0,9.0,8.0,11.0,9.0,10.0,8.0,10.0,11.0,11.0,9.0,10.0,9.0,9.0
>ENST00000523314.1,9.0,9.0,9.0,8.0,9.0,9.0,11.0,11.0,10.0,11.0,8.0,8.0,0.0,11.0,9.0,9.0,9.0,10.0,10.0,12.0,11.0,11.0,10.0,8.0,9.0,10.0,9.0,10.0,9.0,10.0,8.0,10.0,11.0,8.0,11.0,12.0,8.0,10.0,10.0,10.0,9.0,9.0,8.0
>ENST00000535362.2,9.0,9.0,9.0,8.0,12.0,8.0,10.0,14.0,13.0,9.0,10.0,9.0,11.0,0.0,10.0,9.0,11.0,8.0,10.0,10.0,9.0,10.0,8.0,10.0,10.0,10.0,10.0,11.0,8.0,10.0,8.0,9.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,12.0,9.0,10.0,9.0
