,>ENST00000603319.1,>ENST00000583878.1,>ENST00000400284.2,>ENST00000401004.2,ENSG00000221291.1,>ENST00000417615.1,ENSG00000242673.3,>ENST00000503108.1,>ENST00000472255.1,>ENST00000504283.1,>ENST00000425692.6,>ENST00000423332.1
>ENST00000603319.1,0.0,11.0,10.0,9.0,7.0,10.0,9.0,7.0,10.0,12.0,9.0,10.0
>ENST00000583878.1,11.0,0.0,10.0,8.0,7.0,9.0,7.0,7.0,8.0,10.0,10.0,9.0
>ENST00000400284.2,10.0,10.0,0.0,9.0,8.0,10.0,14.0,9.0,8.0,10.0,11.0,9.0
>ENST00000401004.2,9.0,8.0,9.0,0.0,8.0,10.0,8.0,8.0,8.0,9.0,10.0,11.0
ENSG00000221291.1,7.0,7.0,8.0,8.0,0.0,7.0,7.0,7.0,7.0,7.0,8.0,8.0
>ENST00000417615.1,10.0,9.0,10.0,10.0,7.0,0.0,8.0,9.0,9.0,10.0,11.0,11.0
ENSG00000242673.3,9.0,7.0,14.0,8.0,7.0,8.0,0.0,8.0,9.0,8.0,9.0,8.0
>ENST00000503108.1,7.0,7.0,9.0,8.0,7.0,9.0,8.0,0.0,9.0,8.0,12.0,10.0
>ENST00000472255.1,10.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,0.0,9.0,9.0,10.0
>ENST00000504283.1,12.0,10.0,10.0,9.0,7.0,10.0,8.0,8.0,9.0,0.0,9.0,9.0
>ENST00000425692.6,9.0,10.0,11.0,10.0,8.0,11.0,9.0,12.0,9.0,9.0,0.0,13.0
>ENST00000423332.1,10.0,9.0,9.0,11.0,8.0,11.0,8.0,10.0,10.0,9.0,13.0,0.0
