,ENSG00000252523.1,ENSG00000202233.2,ENSG00000252680.1,ENSG00000242102.3,ENSG00000196368.4,ENSG00000240863.3
ENSG00000252523.1,0.0,6.0,6.0,8.0,12.0,7.0
ENSG00000202233.2,6.0,0.0,6.0,7.0,9.0,7.0
ENSG00000252680.1,6.0,6.0,0.0,8.0,9.0,8.0
ENSG00000242102.3,8.0,7.0,8.0,0.0,13.0,24.0
ENSG00000196368.4,12.0,9.0,9.0,13.0,0.0,15.0
ENSG00000240863.3,7.0,7.0,8.0,24.0,15.0,0.0
